Page,Date,Species,Plot,Tag,Stms,Fl_straight,Fl_curled,Fl_done,Q,Note
47,7/5/20,Campanula rotundifolia,48,1535,1,0,1,0,,OUTSIDE NW
47,7/5/20,Campanula rotundifolia,1,1504,1,1,0,0,,
47,7/5/20,Campanula rotundifolia,1,1533,3,0,0,0,x,3pv? Check stems
47,7/5/20,Campanula rotundifolia,1,1532,1,1,0,0,,
47,7/5/20,Campanula rotundifolia,2,1513,2,0,0,0,,2pv
47,7/5/20,Campanula rotundifolia,6,1526,6,3,0,0,,
54,7/9/20,Campanula rotundifolia,1,1504,1,0,1,0,,
54,7/9/20,Campanula rotundifolia,1,1533,3,0,2,1,,
54,7/9/20,Campanula rotundifolia,1,1532,1,0,1,0,,
54,7/9/20,Campanula rotundifolia,1,1565,2,0,2,0,,
54,7/9/20,Campanula rotundifolia,1,1568,1,0,1,0,,
54,7/9/20,Campanula rotundifolia,1,1536,1,1,0,0,,
54,7/9/20,Campanula rotundifolia,2,1513,3,1,1,0,,
54,7/9/20,Campanula rotundifolia,2,1561,2,0,1,0,,
54,7/9/20,Campanula rotundifolia,2,1530,1,1,0,0,,
54,7/9/20,Campanula rotundifolia,6,1526,1,0,0,1,,
54,7/9/20,Campanula rotundifolia,6,1563,7,1,1,4,,
54,7/9/20,Campanula rotundifolia,14,1511,1,1,0,0,,1 budding stem
54,7/9/20,Campanula rotundifolia,46,1562,3,2,0,0,,
54,7/9/20,Campanula rotundifolia,48,1535,1,0,0,1,,pv
54,7/9/20,Campanula rotundifolia,49,1551,3,0,0,0,,2pv
54,7/9/20,Campanula rotundifolia,50,1534,1,1,0,0,,
54,7/9/20,Campanula rotundifolia,50,1501,3,0,0,0,,is not 1505; pv
54,7/9/20,Campanula rotundifolia,50,1505,2,0,0,0,,is not 1501; pv
54,7/9/20,Campanula rotundifolia,71,1520,2,0,0,0,,1pv
54,7/9/20,Campanula rotundifolia,71,1557,1,0,0,0,,pv
54,7/9/20,Campanula rotundifolia,71,1567,2,0,0,0,,1pv
54,7/9/20,Campanula rotundifolia,31,1527,1,0,0,0,,pv
54,7/9/20,Campanula rotundifolia,31,1509,1,0,0,0,,pv; will open tomorrow
61,7/13/20,Campanula rotundifolia,1,1537,1,0,0,1,x,pre-existing tag
61,7/13/20,Campanula rotundifolia,1,1591,1,1,0,0,,
61,7/13/20,Campanula rotundifolia,2,1611,4,1,1,3,,
61,7/13/20,Campanula rotundifolia,2,1590,1,0,0,1,,a possibly grazed 2nd stem
61,7/13/20,Campanula rotundifolia,2,1588,1,0,0,0,,pv
61,7/13/20,Campanula rotundifolia,2,1598,1,0,0,1,,
61,7/13/20,Campanula rotundifolia,6,1515,2,0,0,0,,pv
61,7/13/20,Campanula rotundifolia,17,1594,2,0,0,0,,pv
61,7/13/20,Campanula rotundifolia,74,1599,1,0,0,0,,pv
61,7/13/20,Campanula rotundifolia,71,1512,2,0,1,0,,1pv
61,7/13/20,Campanula rotundifolia,2,1506,1,1,0,0,,
61,7/13/20,Campanula rotundifolia,9,1561,2,0,0,0,,1pv
61,7/13/20,Campanula rotundifolia,9,1613,1,0,0,0,,pv
61,7/13/20,Campanula rotundifolia,78,1603,1,0,0,0,,pv
61,7/13/20,Campanula rotundifolia,25,1560,1,0,0,0,,pv
61,7/13/20,Campanula rotundifolia,31,1553,1,1,0,0,,
61,7/13/20,Campanula rotundifolia,31,1510,1,1,0,0,,
61,7/13/20,Campanula rotundifolia,31,1530,1,1,0,0,,
61,7/13/20,Campanula rotundifolia,31,1507,1,1,2,0,,2 rosettes
61,7/13/20,Campanula rotundifolia,31,1564,1,1,0,0,,
61,7/13/20,Campanula rotundifolia,31,1589,2,0,0,0,,2pv
61,7/13/20,Campanula rotundifolia,32,1554,1,0,0,0,,1pv
61,7/13/20,Campanula rotundifolia,32,1595,2,0,0,0,,1pv
61,7/13/20,Campanula rotundifolia,32,1614,1,0,0,0,,1pv
