"Page","Date","Species","Plot","Tag","Stms","Fl_straight","Fl_curled","Fl_done","Q","Note"
54,2020-07-09,"Campanula rotundifolia",2,1561,"2",0,1,0,"",""
60,2020-07-13,"Campanula rotundifolia",2,1561,NA,0,0,2,"",""
63,2020-07-17,"Campanula rotundifolia",2,1561,"1",0,0,1,NA,"no sign of 2nd done"
73,2020-07-21,"Campanula rotundifolia",2,1561,NA,0,0,1,"",""
77,2020-07-28,"Campanula rotundifolia",2,1561,NA,0,0,1,NA,""
85,2020-08-02,"Campanula rotundifolia",2,1561,NA,0,0,0,"","grazed"
61,2020-07-13,"Campanula rotundifolia",9,1561,"2",0,0,0,"","1pv"
71,2020-07-17,"Campanula rotundifolia",9,1561,"2",0,0,1,"","1pv; old tag"
77,2020-07-21,"Campanula rotundifolia",9,1561,"2",0,1,0,"","old tag"
95,2020-08-02,"Campanula rotundifolia",9,1561,"2",0,0,2,"","old tag"
78,2020-07-21,"Campanula rotundifolia",32,1543,"1",0,0,1,"",""
79,2020-07-28,"Campanula rotundifolia",32,1543,NA,0,0,1,NA,""
88,2020-08-02,"Campanula rotundifolia",32,1543,NA,0,0,1,"",""
99,2020-08-06,"Campanula rotundifolia",32,1543,NA,0,0,1,"",""
78,2020-07-21,"Campanula rotundifolia",33,1543,"1",0,0,1,"","old tag; mc"
