"Page","Date","Species","Plot","Tag","Racemes","Infl_spread","Infl_done","Twist.ties","Q","Note"
1,2020-05-30,"Thermopsis divaricarpa",1,1018,5,0,0,"NULL","NULL",""
3,2020-06-02,"Thermopsis divaricarpa",12,1018,2,0,0,"NULL","NULL","1b; 1 dry b"
2,2020-05-30,"Thermopsis divaricarpa",21,1033,1,0,0,"NULL","NULL",""
18,2020-06-21,"Thermopsis divaricarpa",21,1033,2,0,0,"","","1yv"
19,2020-06-24,"Thermopsis divaricarpa",21,1033,NA,0,0,"","","yv"
26,2020-06-27,"Thermopsis divaricarpa",21,1033,NA,0,0,"","x","tag is 1044; yv"
34,2020-07-01,"Thermopsis divaricarpa",21,1033,NA,3,0,"","","is 1044; collected tag 1044"
42,2020-07-05,"Thermopsis divaricarpa",21,1033,NA,0,3,NA,"",""
49,2020-07-09,"Thermopsis divaricarpa",21,1033,NA,0,3,NA,"",""
3,2020-06-02,"Thermopsis divaricarpa",22,1056,2,0,0,"NULL","NULL","1b"
18,2020-06-21,"Thermopsis divaricarpa",22,1056,2,0,0,"","","1yv"
19,2020-06-24,"Thermopsis divaricarpa",22,1056,NA,0,0,"","","yv"
26,2020-06-27,"Thermopsis divaricarpa",22,1056,NA,0,0,"","","no fl?"
34,2020-07-01,"Thermopsis divaricarpa",22,1056,NA,0,0,"","","no flw"
3,2020-06-02,"Thermopsis divaricarpa",31,1098,2,0,0,"NULL","NULL","1b"
6,2020-06-08,"Thermopsis divaricarpa",31,1098,2,0,0,"NULL","NULL","1 rac snapped"
5,2020-06-05,"Thermopsis divaricarpa",47,1033,4,0,0,"NULL","NULL",""
10,2020-06-14,"Thermopsis divaricarpa",48,1056,3,1,2,NA,"",""
14,2020-06-21,"Thermopsis divaricarpa",48,1056,NA,NA,NA,"","","can't find"
37,2020-07-01,"Thermopsis divaricarpa",48,1056,NA,NA,NA,"","","can't find"
45,2020-07-05,"Thermopsis divaricarpa",48,1056,NA,NA,NA,NA,"","can't find; is 1036?"
52,2020-07-09,"Thermopsis divaricarpa",48,1056,NA,NA,NA,NA,"",""
58,2020-07-13,"Thermopsis divaricarpa",48,1056,NA,NA,NA,NA,"",""
10,2020-06-14,"Thermopsis divaricarpa",48,1098,1,0,4,NA,"",""
15,2020-06-21,"Thermopsis divaricarpa",48,1098,NA,NA,NA,"","","can't find"
21,2020-06-24,"Thermopsis divaricarpa",48,1098,NA,NA,NA,"","","can't find"
29,2020-06-27,"Thermopsis divaricarpa",48,1098,NA,NA,NA,"","","can't find"
37,2020-07-01,"Thermopsis divaricarpa",48,1098,NA,NA,NA,"","","can't find"
45,2020-07-05,"Thermopsis divaricarpa",48,1098,NA,NA,NA,NA,"","can't find"
52,2020-07-09,"Thermopsis divaricarpa",48,1098,NA,NA,NA,NA,"",""
58,2020-07-13,"Thermopsis divaricarpa",48,1098,NA,NA,NA,NA,"",""
