Page,Date,Species,Plot,Tag,Racemes,Infl_spread,Infl_done,Twist.ties,Q,Note
48,7/9/20,Thermopsis divaricarpa,1,1239,,0,0,,,
48,7/9/20,Thermopsis divaricarpa,2,1008,,0,9,,,
48,7/9/20,Thermopsis divaricarpa,2,1015,,0,1,,,
48,7/9/20,Thermopsis divaricarpa,2,1054,,0,2,,,
48,7/9/20,Thermopsis divaricarpa,2,1247,,,,,,improve
48,7/9/20,Thermopsis divaricarpa,2,1262,,0,2,,,seed is huge
48,7/9/20,Thermopsis divaricarpa,3,1073,,0,4,,,
48,7/9/20,Thermopsis divaricarpa,3,1186,,3,2,,,
48,7/9/20,Thermopsis divaricarpa,3,1188,,3,0,,,
48,7/9/20,Thermopsis divaricarpa,3,1200,,3,6,,,
48,7/9/20,Thermopsis divaricarpa,5,1129,,1,0,,,
48,7/9/20,Thermopsis divaricarpa,5,1197,,0,7,,,
48,7/9/20,Thermopsis divaricarpa,8,1005,,0,5,,,
48,7/9/20,Thermopsis divaricarpa,10,1042,,0,4,,,
48,7/9/20,Thermopsis divaricarpa,10,1273,,0,1,,,
48,7/9/20,Thermopsis divaricarpa,12,1048,,,,,,
48,7/9/20,Thermopsis divaricarpa,12,1146,,,,,,
48,7/9/20,Thermopsis divaricarpa,13,1193,,0,4,,,
48,7/9/20,Thermopsis divaricarpa,13,1252,,0,7,,,
48,7/9/20,Thermopsis divaricarpa,13,1261,,0,8,,,
48,7/9/20,Thermopsis divaricarpa,13,1302,,0,4,,,
49,7/9/20,Thermopsis divaricarpa,18,1223,,0,1,,,
49,7/9/20,Thermopsis divaricarpa,18,1258,,0,8,,,
49,7/9/20,Thermopsis divaricarpa,19,1227,,0,6,,,
49,7/9/20,Thermopsis divaricarpa,20,1306,,1,0,,,
49,7/9/20,Thermopsis divaricarpa,21,1033,,0,3,,,
49,7/9/20,Thermopsis divaricarpa,22,1025,,0,3,,,
49,7/9/20,Thermopsis divaricarpa,22,1055,,0,5,,,
49,7/9/20,Thermopsis divaricarpa,22,1166,,0,2,,,
49,7/9/20,Thermopsis divaricarpa,22,1283,,0,2,,,
49,7/9/20,Thermopsis divaricarpa,22,1284,,0,4,,,
49,7/9/20,Thermopsis divaricarpa,22,1297,,0,7,,,
49,7/9/20,Thermopsis divaricarpa,23,1272,,0,19,,,OUTSIDE NE
49,7/9/20,Thermopsis divaricarpa,24,1064,,0,1,,,
49,7/9/20,Thermopsis divaricarpa,24,1289,,0,1,,,
49,7/9/20,Thermopsis divaricarpa,24,1315,,0,2,,,
49,7/9/20,Thermopsis divaricarpa,25,1081,,,,,,mistyped 1080?
49,7/9/20,Thermopsis divaricarpa,25,1106,1,0,0,,q,mistyped prev. record? No evidence of fl
50,7/9/20,Thermopsis divaricarpa,26,1173,,,,,,
50,7/9/20,Thermopsis divaricarpa,27,1076,,0,15,,,
50,7/9/20,Thermopsis divaricarpa,27,1092,,0,22,,,
50,7/9/20,Thermopsis divaricarpa,27,1097,,0,10,,,
50,7/9/20,Thermopsis divaricarpa,27,1108,,0,13,,,
50,7/9/20,Thermopsis divaricarpa,27,1179,,2,6,,,
50,7/9/20,Thermopsis divaricarpa,27,1195,,0,9,,,
50,7/9/20,Thermopsis divaricarpa,27,1249,,0,8,,,
50,7/9/20,Thermopsis divaricarpa,27,1254,,0,5,,,
50,7/9/20,Thermopsis divaricarpa,27,1276,,0,6,,,
50,7/9/20,Thermopsis divaricarpa,27,1280,,0,6,,,
50,7/9/20,Thermopsis divaricarpa,27,1286,,,,,,[forgotten?]
50,7/9/20,Thermopsis divaricarpa,27,1298,,0,6,,,
50,7/9/20,Thermopsis divaricarpa,28,1251,,0,5,,,OUTSIDE SW
50,7/9/20,Thermopsis divaricarpa,29,1260,,0,5,,,
50,7/9/20,Thermopsis divaricarpa,29,1300,,3,1,,,
50,7/9/20,Thermopsis divaricarpa,30,1194,,8,0,,,
50,7/9/20,Thermopsis divaricarpa,30,1255,,0,6,,,
50,7/9/20,Thermopsis divaricarpa,31,1099,,,,,,likely is 1094
50,7/9/20,Thermopsis divaricarpa,31,1100,,0,3,,,
50,7/9/20,Thermopsis divaricarpa,31,1107,,0,19,,,
50,7/9/20,Thermopsis divaricarpa,32,1109,,0,13,,,
50,7/9/20,Thermopsis divaricarpa,32,1126,,0,3,,,spider web
50,7/9/20,Thermopsis divaricarpa,32,1309,,8,0,,x,tag is 1209; mprove
50,7/9/20,Thermopsis divaricarpa,32,1316,,0,2,,,
51,7/9/20,Thermopsis divaricarpa,33,1266,,0,4,,,
51,7/9/20,Thermopsis divaricarpa,42,1141,,,,,,ignore
51,7/9/20,Thermopsis divaricarpa,42,1309,,0,3,,,
51,7/9/20,Thermopsis divaricarpa,43,1203,,0,1,,,
51,7/9/20,Thermopsis divaricarpa,43,1246,,0,5,,,
51,7/9/20,Thermopsis divaricarpa,43,1268,,0,1,,,
51,7/9/20,Thermopsis divaricarpa,43,1278,,0,2,,,
51,7/9/20,Thermopsis divaricarpa,43,1285,,0,1,,,
51,7/9/20,Thermopsis divaricarpa,43,1290,,0,8,,,
51,7/9/20,Thermopsis divaricarpa,43,1292,,0,2,,,
51,7/9/20,Thermopsis divaricarpa,43,1293,,0,6,,,
51,7/9/20,Thermopsis divaricarpa,43,1299,,0,2,,,
51,7/9/20,Thermopsis divaricarpa,43,1311,,0,5,,,
51,7/9/20,Thermopsis divaricarpa,45,1207,,0,4,,,
51,7/9/20,Thermopsis divaricarpa,45,1265,,0,1,,,
51,7/9/20,Thermopsis divaricarpa,45,1287,,,,,,is 1257?
51,7/9/20,Thermopsis divaricarpa,47,1072,,0,7,,,
51,7/9/20,Thermopsis divaricarpa,47,1093,,0,3,,,
51,7/9/20,Thermopsis divaricarpa,47,1118,,1,7,,,
52,7/9/20,Thermopsis divaricarpa,47,1156,2,0,3,,,
52,7/9/20,Thermopsis divaricarpa,47,1229,,,,,,is in 48; bad record
52,7/9/20,Thermopsis divaricarpa,47,1235,,0,3,,,
52,7/9/20,Thermopsis divaricarpa,48,1056,,,,,,
52,7/9/20,Thermopsis divaricarpa,48,1098,,,,,,
52,7/9/20,Thermopsis divaricarpa,48,1181,,,,,,
52,7/9/20,Thermopsis divaricarpa,49,1221,,,,,,
52,7/9/20,Thermopsis divaricarpa,49,1231,,,,,,
52,7/9/20,Thermopsis divaricarpa,49,1234,,0,0,,,
52,7/9/20,Thermopsis divaricarpa,49,1241,,,,,,
52,7/9/20,Thermopsis divaricarpa,49,1243,,,,,,
52,7/9/20,Thermopsis divaricarpa,49,1282,,,,,,
53,7/9/20,Thermopsis divaricarpa,50,1028,,0,2,,,
