Page,Date,Species,Plot,Tag,Stms,Fl_straight,Fl_curled,Fl_done,Q,Note
85,8/2/20,Campanula rotundifolia,1,1504,,0,0,4,,
85,8/2/20,Campanula rotundifolia,1,1532,,0,0,3,,
85,8/2/20,Campanula rotundifolia,1,1533,4,0,0,4,,is 1565 and 1694; improve
85,8/2/20,Campanula rotundifolia,1,1536,,0,0,1,,
85,8/2/20,Campanula rotundifolia,1,1537,,0,0,0,,
85,8/2/20,Campanula rotundifolia,1,1548,,0,0,1,,
85,8/2/20,Campanula rotundifolia,1,1565,,0,0,3,,
85,8/2/20,Campanula rotundifolia,1,1568,,,,,,
85,8/2/20,Campanula rotundifolia,1,1582,,,,,,
85,8/2/20,Campanula rotundifolia,1,1591,,0,0,1,,
85,8/2/20,Campanula rotundifolia,1,1667,,0,0,4,,
85,8/2/20,Campanula rotundifolia,1,1694,,,,,,is 1533; collected
85,8/2/20,Campanula rotundifolia,1,1724,,0,0,2,,
85,8/2/20,Campanula rotundifolia,2,1506,,0,0,2,,
85,8/2/20,Campanula rotundifolia,2,1513,5,0,0,6,,
85,8/2/20,Campanula rotundifolia,2,1561,,0,0,0,,grazed
85,8/2/20,Campanula rotundifolia,2,1570,,0,0,2,,
85,8/2/20,Campanula rotundifolia,2,1588,,0,0,1,,
85,8/2/20,Campanula rotundifolia,2,1590,,0,0,2,,
85,8/2/20,Campanula rotundifolia,2,1598,,0,0,1,,
85,8/2/20,Campanula rotundifolia,2,1611,4,0,0,4,,
85,8/2/20,Campanula rotundifolia,2,1669,,,,,,can't find
85,8/2/20,Campanula rotundifolia,2,1679,,,,,,unattached and collected
85,8/2/20,Campanula rotundifolia,2,1727,,0,0,1,,
85,8/2/20,Campanula rotundifolia,3,1541,,0,0,2,,1pv
85,8/2/20,Campanula rotundifolia,3,1596,1,0,0,1,,only found 1 stem
85,8/2/20,Campanula rotundifolia,3,1607,,1,0,0,,1 stem grazed; bomb. Visit
85,8/2/20,Campanula rotundifolia,3,1690,2,1,1,2,,2pv tomorrow
85,8/2/20,Campanula rotundifolia,3,1691,3,0,5,1,,
85,8/2/20,Campanula rotundifolia,3,1692,1,0,0,3,,
86,,,3,1693,0,0,0,0,,no pla
86,,,3,1695,3,0,1,3,,
86,,,3,1698,,0,3,2,,1pv tomorrow
86,,,3,1700,,,,,,no pla
86,,,3,1716,,0,0,1,,
86,,,5,1549,,0,0,3,,
86,,,5,1605,,1,0,1,,2pv
86,,,5,1637,,0,0,1,,
86,,,5,1680,,0,0,1,,no sign of 2nd flower
86,,,5,1684,,0,0,1,,
86,,,5,1701,,,,,x,loose; collected (is 1871?)
86,,,5,1717,,,,,,loose; collected
86,,,5,1722,,,,,,loose; collected
86,,,5,1738,2,0,1,1,,
86,,,5,1758,,0,0,1,,
86,,,6,1515,,0,0,2,,
86,,,6,1526,,0,2,4,,prev was miscount? Check
86,,,6,1563,8,0,2,22,,
86,,,6,1689,,0,0,2,,
86,,,7,1736,,,,,,gone
86,,,8,1639,,0,0,7,,
86,,,9,1613,,0,0,2,,
86,,,9,1658,,,,,,grazed
86,,,9,1661,,0,0,1,,
86,,,9,1783,,0,0,1,,pv
86,,,10,1525,,0,0,1,,
86,,,13,1699,2,0,0,2,,
86,,,14,1511,,0,0,4,,
86,,,17,1594,,0,0,6,,
86,,,17,1681,,0,0,1,,
86,,,18,1566,2,1,0,4,,
87,,,18,1575,,0,1,4,,
87,,,18,1652,1,0,1,1,,
87,,,18,1655,2,2,2,2,,
87,,,18,1665,,0,0,1,,
87,,,18,1673,,0,0,7,,
87,,,18,1685,,0,0,2,,
87,,,18,1687,3,1,3,3,,
87,,,18,1697,,0,0,1,,1pv tomorrow
87,,,18,1703,2,0,0,1,,2pv
87,,,18,1725,,0,0,2,,
87,,,19,1657,2,1,0,4,,1pv; OUTSIDE SW
87,,,20,1772,,0,0,1,,
87,,,22,1608,1,0,1,1,,
87,,,22,1643,2,0,0,1,,1pv
87,,,22,1654,,0,0,1,,
87,,,22,1656,1,0,0,1,,
87,,,22,1659,,0,0,1,,
87,,,22,1678,,0,0,2,,
87,,,22,1682,2,0,0,2,,
87,,,22,1686,,0,0,1,,
87,,,22,1688,,0,0,2,,
87,,,22,1721,,0,0,1,,
87,,,22,1752,,0,0,1,,
87,,,22,1753,,0,0,1,,
87,,,22,1784,4,1,0,3,,
87,,,23,1677,,0,0,1,,
87,,,23,1773,1,0,1,0,,
87,,,25,1560,,,,,,
87,,,25,1569,,,,,,untagged SE is 1;0;1;0
87,,,27,1744,,,,,,can't find or gone
88,,,28,1776,,,,,,iggy; go to 1867 instad
88,,,29,1750,2,0,0,1,,1pv
88,,,31,1502,,0,1,1,,
88,,,31,1507,,0,0,5,,
88,,,31,1509,,0,0,1,,
88,,,31,1510,,0,0,1,,
88,,,31,1527,,0,0,2,,
88,,,31,1530,,0,0,2,,
88,,,31,1544,,0,0,1,,
88,,,31,1553,,0,0,1,,
88,,,31,1564,,0,1,3,,
88,,,31,1589,,0,0,2,,
88,,,31,1631,,0,0,1,,
88,,,32,1543,,0,0,1,,
88,,,32,1546,4,2,2,8,,
88,,,32,1554,,0,0,3,,
88,,,32,1595,3,0,2,7,,
88,,,32,1614,,0,0,4,,
88,,,32,1618,4,0,1,6,,
88,,,32,1627,,0,0,2,,
88,,,32,1635,11,2,6,22,,
88,,,32,1649,1,0,0,1,,
88,,,32,1651,,1,3,8,,is 1672; combne
88,,,32,1672,,,,,,is 1651; collected
88,,,32,1676,2,0,2,1,,1pv
88,,,32,1696,2,2,0,2,,
88,,,32,1707,,0,0,1,,
88,,,32,1712,,0,0,1,,
88,,,32,1731,,0,0,2,,1pv
88,,,32,1764,,0,0,1,,
89,,,32,1768,,0,1,1,,
89,,,32,1778,,0,0,1,,
89,,,33,1503,,0,0,5,,
89,,,33,1508,,0,0,0,,grazed
89,,,33,1516,,0,0,4,,
89,,,33,1518,,0,0,4,,
89,,,33,1521,,1,2,1,,
89,,,33,1528,3,0,3,6,,
89,,,33,1529,2,0,0,7,,
89,,,33,1540,1,0,0,4,,
89,,,33,1547,,0,0,3,,
89,,,33,1550,2,1,0,2,,
89,,,33,1552,,,,,,
89,,,33,1555,,0,0,5,,
89,,,33,1558,,0,1,5,,
89,,,33,1576,,0,0,1,,
89,,,33,1578,,0,2,5,,1pv
89,,,33,1593,,0,0,3,,
89,,,33,1597,,,,,,collected
89,,,33,1602,,0,0,4,,
89,,,33,1616,2,0,0,2,,
89,,,33,1617,,0,0,1,,
89,,,33,1634,1,0,1,5,,
89,,,33,1640,3,1,2,2,,1pv
89,,,33,1641,,0,0,2,,
89,,,33,1642,,0,0,2,,
89,,,33,1702,,0,0,1,,
89,,,33,1704,,0,0,1,,
