Page,Date,Species,Plot,Tag,Racemes,Infl_spread,Infl_done,Twist.ties,Q,Note
55,7/13/20,Thermopsis divaricarpa,3,1186,,0,5,,,
55,7/13/20,Thermopsis divaricarpa,3,1188,,0,3,,,
55,7/13/20,Thermopsis divaricarpa,3,1200,,0,8,,,
55,7/13/20,Thermopsis divaricarpa,5,1129,,0,1,,,
55,7/13/20,Thermopsis divaricarpa,5,1197,,0,7,,,
55,7/13/20,Thermopsis divaricarpa,13,1193,,0,1,,,
55,7/13/20,Thermopsis divaricarpa,13,1252,,0,7,,,
55,7/13/20,Thermopsis divaricarpa,13,1261,,0,8,,,
55,7/13/20,Thermopsis divaricarpa,13,1302,,0,4,,,
55,7/13/20,Thermopsis divaricarpa,18,1258,,0,9,,,
55,7/13/20,Thermopsis divaricarpa,20,1306,,0,1,,,
56,7/13/20,Thermopsis divaricarpa,22,1166,,0,2,,,
56,7/13/20,Thermopsis divaricarpa,22,1284,,0,4,,,
56,7/13/20,Thermopsis divaricarpa,23,1272,,0,17,,,OUTSIDE NE
56,7/13/20,Thermopsis divaricarpa,24,1289,,0,0,,,grazed?
56,7/13/20,Thermopsis divaricarpa,24,1315,,0,2,,,spider web
56,7/13/20,Thermopsis divaricarpa,25,1081,,,,,,
56,7/13/20,Thermopsis divaricarpa,27,1092,,0,21,,,
56,7/13/20,Thermopsis divaricarpa,27,1108,,0,13,,,
56,7/13/20,Thermopsis divaricarpa,27,1179,,0,8,,,
56,7/13/20,Thermopsis divaricarpa,27,1195,,0,9,,,
56,7/13/20,Thermopsis divaricarpa,27,1249,,0,8,,,
56,7/13/20,Thermopsis divaricarpa,27,1254,,0,5,,,
56,7/13/20,Thermopsis divaricarpa,27,1276,,0,6,,,
56,7/13/20,Thermopsis divaricarpa,27,1280,,0,7,,,
56,7/13/20,Thermopsis divaricarpa,29,1260,,0,5,,,
56,7/13/20,Thermopsis divaricarpa,29,1300,,0,4,,,
57,7/13/20,Thermopsis divaricarpa,30,1194,,1,7,,,
57,7/13/20,Thermopsis divaricarpa,30,1255,,0,0,,,
57,7/13/20,Thermopsis divaricarpa,31,1099,,,,,,1094 likely; check
57,7/13/20,Thermopsis divaricarpa,31,1107,,0,18,,,
57,7/13/20,Thermopsis divaricarpa,32,1109,,0,13,,,
57,7/13/20,Thermopsis divaricarpa,32,1126,,0,3,,,spider web
57,7/13/20,Thermopsis divaricarpa,32,1309,,0,8,,x,is 1209; improve
57,7/13/20,Thermopsis divaricarpa,42,1141,,0,1,,,
57,7/13/20,Thermopsis divaricarpa,42,1309,,0,8,,,
57,7/13/20,Thermopsis divaricarpa,43,1246,,0,5,,,
57,7/13/20,Thermopsis divaricarpa,43,1290,,0,8,,,
57,7/13/20,Thermopsis divaricarpa,43,1293,,0,6,,,
57,7/13/20,Thermopsis divaricarpa,43,1299,,0,2,,,
57,7/13/20,Thermopsis divaricarpa,43,1311,,0,5,,,
58,7/13/20,Thermopsis divaricarpa,45,1287,,,,,,
58,7/13/20,Thermopsis divaricarpa,47,1118,,0,8,,,
58,7/13/20,Thermopsis divaricarpa,47,1229,,,,,,
58,7/13/20,Thermopsis divaricarpa,47,1235,,0,3,,,
58,7/13/20,Thermopsis divaricarpa,48,1056,,,,,,
58,7/13/20,Thermopsis divaricarpa,48,1098,,,,,,
58,7/13/20,Thermopsis divaricarpa,48,1181,,,,,,is 1161? Check
58,7/13/20,Thermopsis divaricarpa,49,1221,,,,,,
58,7/13/20,Thermopsis divaricarpa,49,1231,,,,,,
58,7/13/20,Thermopsis divaricarpa,49,1241,,0,15,,,
58,7/13/20,Thermopsis divaricarpa,49,1243,,,,,,
58,7/13/20,Thermopsis divaricarpa,49,1282,,0,5,,,
58,7/13/20,Thermopsis divaricarpa,50,1183,,,,,,can't find
58,7/13/20,Thermopsis divaricarpa,50,1247,,,,,,can't find
58,7/13/20,Thermopsis divaricarpa,52,1307,,0,2,,,
58,7/13/20,Thermopsis divaricarpa,53,1314,,0,6,,,OUTSIDE SW
59,7/13/20,Thermopsis divaricarpa,61,1125,,0,6,,,
59,7/13/20,Thermopsis divaricarpa,61,1170,,0,9,,,
59,7/13/20,Thermopsis divaricarpa,61,1288,,,,,,
59,7/13/20,Thermopsis divaricarpa,61,1294,,0,10,,,
59,7/13/20,Thermopsis divaricarpa,61,1295,,,,,,
59,7/13/20,Thermopsis divaricarpa,61,1303,,0,2,,,
59,7/13/20,Thermopsis divaricarpa,65,1130,,0,4,,,
59,7/13/20,Thermopsis divaricarpa,69,1305,,1,2,,,
