"Date","Pl","Tag","Q","Spr","Dne","Tt","Spread","Done","Note","Old_Note"
"06-24",2,1007,"",4,0,"",,,,""
"06-24",2,1008,"",1,0,"",,,,""
"06-24",2,1009,"",6,0,"",,,,""
"06-24",2,1054,"",1,2,"",,,,"2duds"
"06-24",3,1073,"",0,0,"",,,,"yv"
"06-24",6,1001,"",2,2,"",,,,""
"06-24",8,1005,"",0,0,"",,,,"yv"
"06-24",10,1042,"",2,0,"",,,,""
"06-24",10,1233,"",4,2,"",,,,""
"06-24",10,1259,"",2,0,"",,,,""
"06-21",12,1048,"",,,"",,,,"can'tfind"
"06-14",12,1146,"",0,0,,,,,"OUTSIDENW;1yv"
"06-24",13,1252,"",0,0,"",,,,"yv"
"06-24",13,1261,"",0,0,"",,,,"1yv"
"06-24",14,1070,"",0,6,"whdone",,,,""
"06-24",14,1077,"",4,11,"",,,,""
"06-24",14,1081,"",0,6,"",,,,""
"06-24",14,1120,"",1,11,"",,,,""
"06-24",14,1160,"",0,6,"",,,,"1seedbrokenoffwhenIarrived"
"06-24",14,1174,"",3,5,"whdone",,,,""
"06-24",14,1212,"",1,4,"whdone",,,,""
"06-24",14,1218,"",0,3,"",,,,"1aborted"
"06-24",14,1219,"",5,3,"",,,,""
"06-24",18,1258,"",3,0,"",,,,""
"06-24",21,1033,"",0,0,"",,,,"yv"
"06-24",22,1025,"",3,0,"",,,,""
"06-14",22,1043,"",1,0,,,,,"1yv"
"06-24",22,1055,"",4,0,"",,,,""
"06-24",22,1056,"",0,0,"",,,,"yv"
"06-24",22,1057,"",8,0,"",,,,""
"06-24",22,1060,"",0,0,"",,,,"yv"
"06-24",22,1065,"",2,0,"",,,,""
"06-24",22,1077,"",2,0,"",,,,"tagis1071"
"06-24",22,1079,"",0,0,"",,,,"yv"
"06-24",22,1084,"",3,0,"whop",,,,""
"06-21",22,1119,"",0,0,"",,,,"1yv"
"06-24",22,1284,"",0,0,"",,,,"yv"
"06-24",22,1297,"",1,0,"",,,,"flis1"
"06-24",23,1272,"",1,0,"",,,,""
"06-24",24,1064,"",0,0,"",,,,"1yv"
"06-21",24,1296,"",0,0,"",,,,"3yv;OUTSIDENE"
"06-24",25,1075,"",0,1,"",,,,""
"06-24",25,1081,"",,,"",,,,"can'tfind"
"06-08",25,1105,"",0,0,"",,,,"1yv"
"06-24",25,1106,"",4,2,"whdone",,,,"ttpedunclebroken"
"06-24",25,1113,"",1,2,"",,,,""
"06-24",25,1116,"",0,1,"",,,,"1gone/lostuncounted"
"06-24",26,1082,"",3,0,"",,,,""
"06-24",26,1250,"",1,0,"",,,,""
"06-24",27,1061,"",2,2,"",,,,""
"06-24",27,1076,"",10,0,"",,,,""
"06-24",27,1092,"x",11,0,"",,,,"checkraccount;2counted"
"06-24",27,1249,"",0,0,"",,,,"yv"
"06-24",27,1254,"",0,0,"",,,,"2yv"
"06-24",27,1276,"x",0,0,"",,,,"1yv;couldbe1076"
"06-24",27,1280,"",0,0,"",,,,"1yv"
"06-24",27,1286,"",0,0,"",,,,"1yv"
"06-24",27,1298,"",0,0,"",,,,"1yv"
"06-24",28,1251,"",3,0,"whop",,,,"OUTSIDESW"
"06-24",29,1260,"",0,0,"",,,,"yv"
"06-24",30,1255,"",0,0,"",,,,"yv"
"06-24",31,1094,"",7,3,"whdone",,,,"spider;ants"
"06-14",31,1099,"",1,0,"wh1",,,,""
"06-24",31,1100,"",2,0,"",,,,""
"06-24",31,1101,"",3,3,"whdone",,,,""
"06-24",31,1107,"",8,0,"",,,,"ants"
"06-24",31,1238,"",,,"",,,,"can'tfind"
"06-24",32,1109,"",0,0,"",,,,"OUTIDESE;1yv"
"06-24",33,1059,"",8,0,"whop",,,,""
"06-24",33,1266,"",0,0,"",,,,"1yv"
"06-24",43,1246,"",0,0,"",,,,"1yv"
"06-24",43,1278,"",0,0,"",,,,"1yv"
"06-24",43,1285,"",0,0,"",,,,"yv"
"06-24",43,1290,"",0,0,"",,,,"yv"
"06-24",43,1292,"",0,0,"",,,,"yv"
"06-24",43,1293,"",3,0,"",,,,""
"06-24",44,1154,"",1,2,"whdone",,,,""
"06-24",45,1257,"",2,0,"",,,,""
"06-24",45,1264,"",2,0,"",,,,"1dud"
"06-24",45,1265,"",0,0,"",,,,"yv"
"06-24",45,1275,"",3,0,"",,,,""
"06-24",46,1029,"",0,5,"whdone",,,,""
