"Date","Pl","Tag","Q","Stms","Str","Crl","Dne","Straight","Curled","Done","Note","Old_note"
2020-08-02,1,1504,"",,0,0,4,,,,,""
2020-08-02,1,1533,"","4",0,0,4,,,,,"is 1565 and 1694; improve"
2020-08-06,1,1548,"",,0,0,2,,,,,""
2020-08-10,1,1565,"",,0,0,2,,,,,""
2020-08-10,1,1667,"",,0,0,2,,,,,""
2020-08-02,1,1724,"",,0,0,2,,,,,""
2020-08-06,1,1837,"",,0,0,1,,,,,""
2020-08-10,1,1854,"",,0,0,2,,,,,""
2020-08-02,2,1513,"","5",0,0,6,,,,,""
2020-08-02,2,1669,"",,,,,,,,,"can't find"
2020-08-02,2,1727,"",,0,0,1,,,,,""
2020-08-10,3,1541,"",,0,0,3,,,,,""
2020-08-02,3,1596,"","1",0,0,1,,,,,"only found 1 stem"
2020-08-06,3,1607,"",,0,0,0,,,,,"grazed"
2020-08-10,3,1690,"",,0,0,6,,,,,""
2020-08-10,3,1691,"","2",1,0,6,,,,,"2pv tomorrow"
2020-08-02,3,1692,"","1",0,0,3,,,,,""
2020-08-10,3,1694,"",,0,0,4,,,,,""
2020-08-06,3,1695,"",,0,0,4,,,,,""
2020-08-10,3,1698,"",,0,0,7,,,,,"bud"
2020-08-02,3,1716,"",,0,0,1,,,,,""
2020-08-10,3,1823,"x","1",1,0,0,,,,,"near u tag 1699 but no other flowering stems visible; check"
2020-08-10,3,1830,"","2",1,0,1,,,,,""
2020-08-10,3,1852,"",,0,0,1,,,,,""
2020-08-10,5,1605,"",,0,0,4,,,,,""
2020-08-02,5,1680,"",,0,0,1,,,,,"no sign of 2nd flower"
2020-08-02,5,1684,"",,0,0,1,,,,,""
2020-08-06,5,1738,"",,0,0,0,,,,,"grazed"
2020-08-02,5,1758,"",,0,0,1,,,,,""
2020-08-06,5,1789,"",,0,0,2,,,,,""
2020-08-06,5,1871,"",,0,0,0,,,,,"grazed"
2020-08-10,6,1515,"",,0,0,1,,,,,""
2020-08-06,6,1526,"","1",0,0,6,,,,,"is 1563? Merge?"
2020-08-10,6,1563,"",,0,0,7,,,,,"grazed/dropped seeds"
2020-08-10,8,1639,"",,0,0,17,,,,,""
2020-08-02,9,1658,"",,,,,,,,,"grazed"
2020-08-10,9,1783,"",,0,0,2,,,,,""
2020-08-10,11,1836,"","1",2,1,1,,,,,""
2020-08-02,13,1699,"","2",0,0,2,,,,,""
2020-08-10,16,1663,"",,0,0,1,,,,,""
2020-08-10,16,1774,"",,0,0,1,,,,,""
2020-08-02,17,1594,"",,0,0,6,,,,,""
2020-08-06,18,1566,"",,,,,,,,,"found unattached outside plot; gone"
2020-08-06,18,1652,"",,,,,,,,,"found unattached outside plot"
2020-08-10,18,1655,"",,1,0,9,,,,,"1 done today"
2020-08-02,18,1665,"",,0,0,1,,,,,""
2020-08-10,18,1673,"","3",1,0,7,,,,,"1 done today"
2020-08-10,18,1697,"",,0,0,2,,,,,""
2020-08-10,18,1703,"",,0,0,3,,,,,""
2020-08-02,18,1725,"",,0,0,2,,,,,""
2020-08-06,18,1808,"",,0,0,1,,,,,""
2020-08-06,19,1657,"",,0,0,6,,,,,""
2020-08-02,20,1772,"",,0,0,1,,,,,""
2020-08-06,20,1797,"",,0,0,1,,,,,"tag is correct"
2020-08-10,20,1800,"",,0,0,1,,,,,""
2020-08-10,21,1845,"",,0,0,2,,,,,""
2020-08-10,21,1862,"",,0,1,0,,,,,""
2020-08-06,22,1608,"",,0,0,2,,,,,""
2020-08-10,22,1643,"",,0,0,2,,,,,""
2020-08-02,22,1721,"",,0,0,1,,,,,""
2020-08-02,22,1752,"",,0,0,1,,,,,""
2020-08-02,22,1753,"",,0,0,1,,,,,""
2020-08-10,22,1784,"","5",0,0,6,,,,,"merged/merge with 1656"
2020-08-02,22,1814,"","1",0,0,1,,,,,""
2020-08-10,22,1843,"x","1",1,0,0,,,,,"is possibly neighbor; measure"
2020-08-06,23,1709,"x","1",0,0,1,,,,,"prev missed? On boundary"
2020-08-06,23,1759,"x","1",0,0,1,,,,,"prev missed? On boundary"
2020-08-06,23,1773,"",,0,0,1,,,,,""
2020-08-10,27,1744,"",,0,0,0,,,,,"grazed"
2020-08-10,27,1785,"","2",1,0,1,,,,,""
2020-08-06,27,1840,"","1",0,0,1,,,,,"done today"
2020-08-06,28,1867,"",,0,0,2,,,,,"OUTSIDE SW"
2020-08-10,29,1750,"","2",0,0,2,,,,,""
2020-08-06,31,1502,"",,0,0,2,,,,,"might be 1564"
2020-08-06,31,1507,"",,0,0,6,,,,,""
2020-08-02,31,1530,"",,0,0,2,,,,,""
2020-08-10,31,1564,"",,0,0,3,,,,,""
2020-08-06,32,1546,"",,,,,,,,,"can't find; no tag; grazed?"
2020-08-02,32,1554,"",,0,0,3,,,,,""
2020-08-10,32,1595,"",,0,0,2,,,,,"1 stem grazed"
2020-08-06,32,1614,"",,,,,,,,,"grazed"
2020-08-10,32,1618,"",,0,0,17,,,,,"pv"
2020-08-02,32,1627,"",,0,0,2,,,,,""
2020-08-06,32,1635,"",,,,,,,,,"can't find; no tag; grazed?"
2020-08-10,32,1676,"","2",0,0,5,,,,,""
2020-08-10,32,1696,"","2",0,1,4,,,,,""
2020-08-02,32,1712,"",,0,0,1,,,,,""
2020-08-10,32,1731,"",,,,,,,,,""
2020-08-06,32,1764,"",,0,0,2,,,,,""
2020-08-06,32,1768,"",,0,0,2,,,,,""
2020-08-02,32,1778,"",,0,0,1,,,,,""
2020-08-10,32,1801,"",,0,0,1,,,,,""
2020-08-06,32,1802,"",,0,0,1,,,,,""
2020-08-06,32,1803,"",,0,0,2,,,,,""
