Date,Pl,Tag,Q,Spr,Dne,Tt,Spread,Done,Note,Old_Note
1-Jul,1,1239,,,,,,,,can'tfind
1-Jul,2,1007,,0,5,,,,,
1-Jul,2,1008,,8,1,,,,,
1-Jul,2,1009,,0,8,,,,,
1-Jul,2,1023,,0,7,,,,,
1-Jul,2,1054,,8,2,,,,,stemsnapped
1-Jul,2,1247,x,,,,,,,can'tfind;inplot14;improvethisnephew
1-Jul,2,1262,,,,,,,,can'tfind
1-Jul,3,1073,,4,0,,,,,
1-Jul,5,1197,,2,0,,,,,
1-Jul,6,1001,,0,4,,,,,
1-Jul,8,1005,,3,2,,,,,1and2aredone
1-Jul,9,1253,,0,1,,,,,
1-Jul,10,1042,,2,2,,,,,
1-Jul,10,1233,,0,4,,,,,
1-Jul,10,1259,,0,2,,,,,
1-Jul,10,1273,,1,1,,,,,
1-Jul,12,1048,,,,,,,,can'tfind
1-Jul,12,1146,,,,,,,,can'tfind
1-Jul,13,1252,,7,0,,,,,
1-Jul,13,1261,,3,0,,,,,
27-Jun,14,1070,,0,5,,-9,-9,,
1-Jul,14,1077,,0,4,,-9,-9,,
27-Jun,14,1081,,0,5,,-9,-9,,
1-Jul,14,1120,,0,8,,-9,-9,,
27-Jun,14,1160,,0,1,,-9,-9,,
1-Jul,14,1174,,0,8,,-9,-9,,
1-Jul,14,1212,,0,3,,-9,-9,,
27-Jun,14,1218,,0,3,,-9,-9,,
1-Jul,14,1219,,0,4,,-9,-9,,1aborted
1-Jul,14,1247,,0,1,,-9,-9,,
1-Jul,18,1223,,1,0,,,,,
1-Jul,18,1258,,9,1,,,,,
1-Jul,19,1227,,1,5,,,,,OUTSIDENE;spiderweb
1-Jul,21,1033,,3,0,,,,,is1044;collectedtag1044
1-Jul,22,1065,,0,1,,-9,-9,,seed
1-Jul,22,1025,x,1,2,,,,,prevflwwhere?
1-Jul,22,1055,,3,2,,,,,
1-Jul,22,1057,,0,9,,,,,3pedscars?
1-Jul,22,1071,x,0,2,,,,,likelyis1077;lookforothertagsinimprove
27-Jun,22,1077,,2,0,,,,,
1-Jul,22,1079,,0,4,,,,,
1-Jul,22,1084,,0,3,whdone,,,,
27-Jun,22,1119,,,,,,,,can'tfind
1-Jul,22,1166,,2,0,,,,,
1-Jul,22,1271,,0,3,,,,,
1-Jul,22,1283,,1,1,,,,,
1-Jul,22,1284,,4,0,,,,,
1-Jul,22,1297,,1,7,,,,,
1-Jul,23,1272,,13,2,,,,,
1-Jul,24,1045,,0,4,,,,,
1-Jul,24,1064,,1,0,,,,,
1-Jul,24,1289,,0,0,,,,,yv
27-Jun,25,1075,,0,1,,-9,-9,,
1-Jul,25,1113,,0,3,,-9,-9,,
27-Jun,25,1116,,0,1,,-9,-9,,
1-Jul,25,1081,,,,,,,,can'tfind
1-Jul,25,1106,,0,4,,,,,
1-Jul,26,1082,,0,3,,-9,-9,,
1-Jul,26,1250,,0,1,,-9,-9,,
1-Jul,26,1173,,,,,,,,can'tfind
1-Jul,27,1061,,0,3,,-9,-9,,
1-Jul,27,1076,,10,6,,,,,
1-Jul,27,1092,,18,4,whdone,,,,snapped/kinkedstem
1-Jul,27,1097,,4,6,,,,,
1-Jul,27,1108,,7,5,,,,,
1-Jul,27,1179,,5,0,,,,,
1-Jul,27,1195,,6,0,,,,,
1-Jul,27,1249,,6,0,,,,,
1-Jul,27,1254,,5,0,,,,,
1-Jul,27,1276,,6,0,,,,,
1-Jul,27,1280,,7,0,,,,,
1-Jul,27,1286,,1,0,,,,,
1-Jul,27,1298,,6,0,,,,,
1-Jul,28,1251,,1,4,whdone,,,,OUTSIDESW
1-Jul,29,1260,,5,0,,,,,forgotthison6/27:(
1-Jul,30,1255,,6,0,,,,,
1-Jul,31,1094,,0,9,,-9,-9,,
1-Jul,31,1101,,0,5,,-9,-9,,
27-Jun,31,1099,x,,,,,,,is1094?Mustbe;otherwisecan'tfind
1-Jul,31,1100,,1,2,,,,,
1-Jul,31,1107,,9,10,,,,,someseeding
1-Jul,31,1248,,0,1,,,,,
1-Jul,32,1109,,9,1,,,,,isinsideplot
1-Jul,33,1059,,0,8,,,,,1fllost(petalpresentrestgone)
1-Jul,33,1266,,2,2,,,,,
1-Jul,42,1141,,0,0,,,,,yvOUTSIDESE
1-Jul,43,1203,,1,0,,,,,1dud
1-Jul,43,1246,,2,0,,,,,
1-Jul,43,1268,,1,0,,,,,
1-Jul,43,1278,,2,0,,,,,
1-Jul,43,1285,,2,0,,,,,
1-Jul,43,1290,,6,1,,,,,
1-Jul,43,1292,,2,0,,,,,
1-Jul,43,1293,,1,6,,,,,
1-Jul,44,1154,,0,2,,,,,seed;OUTSIDENW
1-Jul,45,1207,,1,3,,,,,
1-Jul,45,1257,,0,3,,,,,
1-Jul,45,1264,,0,2,,,,,
1-Jul,45,1265,,1,0,,,,,
1-Jul,45,1275,,0,3,,,,,
1-Jul,45,1287,,,,,,,,can'tfind;checktags
1-Jul,46,1087,,0,13,,-9,-9,,seeds
1-Jul,46,1089,,0,4,,-9,-9,,
1-Jul,46,1224,,0,1,,-9,-9,,seedsnotready
1-Jul,46,1029,,0,2,,,,,
1-Jul,47,1066,,0,2,,,,,
1-Jul,47,1072,,3,4,,,,,
1-Jul,47,1086,,0,2,,,,,
1-Jul,47,1093,,3,0,,,,,
1-Jul,47,1118,,5,0,,,,,
1-Jul,47,1156,,7,3,,,,,
1-Jul,47,1229,,,,,,,,can'tfind
1-Jul,47,1235,,3,0,,,,,
1-Jul,48,1012,,0,13,,-9,-9,,
27-Jun,48,1031,,0,8,,-9,-9,,
1-Jul,48,1036,,0,9,,-9,-9,,only3seedsleft
27-Jun,48,1069,,0,1,,-9,-9,,
1-Jul,48,1083,,0,6,,-9,-9,,
1-Jul,48,1085,,0,6,,-9,-9,,
27-Jun,48,1090,,0,6,,-9,-9,,
27-Jun,48,1102,,0,1,,-9,-9,,
27-Jun,48,1178,,0,5,,-9,-9,,
27-Jun,48,1180,,0,2,,-9,-9,,
27-Jun,48,1182,,0,5,,-9,-9,,
1-Jul,48,1184,,0,7,,-9,-9,,
27-Jun,48,1189,,0,1,,-9,-9,,
27-Jun,48,1229,,0,8,,-9,-9,,
1-Jul,48,1240,,0,2,,-9,-9,,
1-Jul,48,1274,,0,2,,-9,-9,,
1-Jul,48,1056,,,,,,,,can'tfind
1-Jul,48,1098,,,,,,,,can'tfind
1-Jul,48,1181,,,,,,,,can'tfind
1-Jul,49,1104,,0,5,,-9,-9,,
1-Jul,49,1121,,0,4,,-9,-9,,seeds
27-Jun,49,1161,,0,5,,-9,-9,,
1-Jul,49,1171,,0,4,,-9,-9,,
1-Jul,49,1215,,0,16,,-9,-9,,
1-Jul,49,1228,,0,2,,-9,-9,,
27-Jun,49,1232,,0,3,,-9,-9,,severalgone
27-Jun,49,1236,,0,1,,-9,-9,,
27-Jun,49,1245,,0,2,,-9,-9,,
27-Jun,49,1270,,0,4,,-9,-9,,
1-Jul,49,1279,,0,2,,-9,-9,,
1-Jul,49,1221,,,,,,,,can'tfind
1-Jul,49,1231,,,,,,,,can'tfind
1-Jul,49,1234,,,,,,,,can'tfind
1-Jul,49,1241,,1,15,,,,,
1-Jul,49,1243,,,,,,,,can'tfind
1-Jul,49,1282,,4,0,,,,,
27-Jun,50,1155,,0,1,,-9,-9,,
1-Jul,50,1167,,0,2,,-9,-9,,seedsgone
1-Jul,50,1169,,0,3,,-9,-9,,
