"Date","Plot","Tag","Fl_stems","Fl_open","Fl_done","Q","Prev","Prev_note"
,1,1636,,,,,"1;0;1",""
,1,1731,,,,,"1;0;1",""
,1,1797,,,,,"0;0;0","pv"
,2,1803,,,,,"2;2;0","pv"
,3,1665,,,,,"1;1;0",""
,3,1805,,,,,"1;0;1",""
,3,1811,,,,,"1;1;0",""
,3,1835,,,,,"1;1;0",""
,6,1561,,,,,"2;2;7","pv"
,6,1585,,,,,"1;0;1","bud"
,6,1669,,,,,"0;0;0","grazed"
,6,1818,,,,,"2;0;4","pv"
,6,1848,,,,,"3;1;3",""
,6,1894,,,,,"1;2;1","pv"
,6,1903,,,,,"2;1;1",""
,7,1625,,,,,"2;3;2",""
,7,1647,,,,,"2;8;2",""
,7,1683,,,,,"1;0;1",""
,7,1730,,,,,"3;0;3",""
,7,1822,,,,,"1;1;1",""
,7,1864,,,,,"2;1;2",""
,7,1870,,,,,"5;2;3",""
,7,1885,,,,,"7;5;2",""
,7,1888,,,,,"2;0;2","pv"
,7,1891,,,,,"1;0;1","pv"
,8,1559,,,,,"1;0;1",""
,10,1620,,,,,"2;0;2","pv"
,10,1727,,,,,"1;1;0",""
,10,1750,,,,,"0;0;0","pv"
,10,1798,,,,,"6;5;1","pv"
,10,1800,,,,,"1;1;0",""
,10,1889,,,,,"2;1;1","pv"
,17,1626,,,,,"1;0;1","pv"
,17,1673,,,,,"0;0;0","pv"
,17,1746,,,,,"4;0;9","pv"
,17,1832,,,,,"12;14;8","pv"
,23,1507,,,,,"1;1;0",""
,23,1549,,,,,"1;1;0",""
,26,1901,,,,,"0;0;0","pv"
,34,1569,,,,,"1;0;1","bud"
,37,1780,,,,,"2;1;3",""
,37,1794,,,,,"1;0;1","pv"
,38,1502,,,,,"1;0;1",""
,38,1630,,,,,"3;1;3","pv"
,38,1808,,,,,"0;0;0","pv"
,42,1709,,,,,"0;0;0","pv"
,42,1793,,,,,"1;1;0","pv"
,42,1858,,,,,"2;2;0","old tag data entry error?"
,45,1883,,,,,"2;4;1","pv"
,53,1732,,,,,"0;0;0","pv"
,53,1796,,,,,"1;0;1",""
,53,1826,,,,,"1;0;1",""
,53,1856,,,,,"NA;NA;NA","can't find"
,53,1857,,,,,"2;2;0",""
,53,1860,,,,,"1;1;0",""
,53,1882,,,,,"2;0;2","pv"
,53,1892,,,,,"1;1;0",""
,53,1906,,,,,"NA;NA;NA","can't find"
,53,1907,,,,,"NA;NA;NA","can't find"
,53,1910,,,,,"NA;NA;NA","can't find"
,57,1530,,,,,"0;0;0","pv"
,58,1553,,,,,"0;0;0","2pv"
,58,1639,,,,,"1;1;0","2pv"
,66,1557,,,,,"1;1;0",""
,66,1853,,,,,"1;0;1",""
,66,1875,,,,,"2;1;1",""
,67,1904,,,,,"3;1;2","2pv"
,70,1589,,,,,"1;1;0","pv"
,70,1594,,,,,"0;0;0","2pv"
,70,1790,,,,,"0;0;0","2pv"
,70,1841,,,,,"1;1;0",""
,70,1887,,,,,"0;0;0","grazed"
,71,1708,,,,,"1;1;1","pv; old tag; improve?"
,71,1779,,,,,"1;0;2","pv; entry error?"
,71,1807,,,,,"2;1;1","pv; entry error?"
,71,1809,,,,,"2;0;2","pv; entry error?"
,71,1820,,,,,"NA;NA;NA","can't find; chewed and destroyed tag found unattached"
,71,1833,,,,,"1;1;1","3pv; old tag; improve?"
,71,1837,,,,,"NA;NA;NA","1833?"
,71,1839,,,,,"2;1;1",""
,71,1844,,,,,"NA;NA;NA","can't find; chewed and destroyed tag found unattached"
,74,1714,,,,,"1;2;1",""
,74,1895,,,,,"NA;NA;NA","can't find"
,74,1905,,,,,"3;3;9","pv"
,79,1614,,,,,"0;0;0","pv"
,79,1684,,,,,"0;0;0","3pv"
,79,1824,,,,,"2;1;1","originally entered as 74 but is 79; fixed"
,82,1604,,,,,"2;0;2","pv"
,82,1742,,,,,"2;0;2","p+H76"
,82,1806,,,,,"3;1;2","pv"
,82,1825,,,,,"1;2;2","no second stem; pv"
,82,1886,,,,,"1;0;1","old tag"
