"Date","Plot","Tag","Fl_stems","Fl_open","Fl_done","Q","Prev","Prev_date","Prev_note"
,1,1725,,,,,"1;1;1",2021-08-09,""
,1,1797,,,,,"2;0;2",2021-08-09,""
,2,1564,,,,,"3;2;1",2021-08-09,""
,2,1753,,,,,"1;0;1",2021-08-09,""
,2,1785,,,,,"0;0;0",2021-08-09,"pv"
,2,1803,,,,,"3;0;3",2021-08-09,"pv"
,3,1835,,,,,"1;1;1",2021-08-09,""
,5,1879,,,,,"2;2;0",2021-08-09,""
,6,1561,,,,,"2;0;10",2021-08-09,"bud"
,6,1585,,,,,"2;2;1",2021-08-09,""
,6,1802,,,,,"1;0;1",2021-08-09,""
,6,1818,,,,,"2;1;6",2021-08-09,""
,6,1903,,,,,"2;0;4",2021-08-09,""
,7,1625,,,,,"3;0;6",2021-08-09,""
,7,1673,,,,,"1;0;1",2021-08-09,""
,7,1822,,,,,"1;0;3",2021-08-09,""
,7,1870,,,,,"4;1;4",2021-08-09,""
,7,1885,,,,,"7;1;7",2021-08-09,"pv"
,7,1888,,,,,"2;1;3",2021-08-09,""
,7,1891,,,,,"2;1;2",2021-08-09,""
,10,1620,,,,,"2;0;4",2021-08-09,"pv"
,10,1750,,,,,"3;4;3",2021-08-09,"3pv"
,10,1798,,,,,"10;8;9",2021-08-09,"2pv"
,10,1800,,,,,"1;0;1",2021-08-09,"pv"
,10,1889,,,,,"3;5;6",2021-08-09,""
,16,1638,,,,,"1;1;0",2021-08-09,"snapped stem (oops!)"
,16,1814,,,,,"0;0;0",2021-08-09,"pv"
,17,1626,,,,,"2;1;2",2021-08-09,""
,17,1746,,,,,"4;1;11",2021-08-09,""
,17,1832,,,,,"12;8;30",2021-08-09,"pv"
,20,1643,,,,,"2;0;2",2021-08-09,"bud"
,23,1507,,,,,"1;2;1",2021-08-09,""
,23,1549,,,,,"1;0;1",2021-08-09,"pv"
,23,1691,,,,,"1;0;1",2021-08-09,"pv"
,23,1707,,,,,"1;0;1",2021-08-09,""
,25,1541,,,,,"1;1;0",2021-08-09,""
,25,1689,,,,,"2;2;0",2021-08-09,""
,25,1843,,,,,"0;0;0",2021-08-09,"pv"
,25,1867,,,,,"1;1;0",2021-08-09,""
,28,1660,,,,,"1;1;0",2021-08-09,""
,28,1721,,,,,"1;1;0",2021-08-09,""
,29,1676,,,,,"2;2;0",2021-08-09,""
,32,1680,,,,,"0;0;0",2021-08-09,"pv"
,34,1569,,,,,"1;0;1",2021-08-09,"pv"
,34,1663,,,,,"1;1;0",2021-08-09,""
,34,1774,,,,,"1;1;0",2021-08-09,""
,35,1710,,,,,"1;1;0",2021-08-09,""
,37,1794,,,,,"2;0;4",2021-08-09,"bud"
,38,1630,,,,,"2;1;6",2021-08-09,"pv"
,38,1678,,,,,"1;0;1",2021-08-09,""
,38,1808,,,,,"1;1;1",2021-08-09,""
,38,1855,,,,,"1;0;1",2021-08-09,""
,40,1699,,,,,"1;1;0",2021-08-09,""
,40,1871,,,,,"0;0;0",2021-08-09,"pv"
,42,1579,,,,,"4;1;3",2021-08-09,""
,45,1883,,,,,"4;11;10",2021-08-09,"3pv"
,53,1682,,,,,"2;1;1",2021-08-09,"pv; N neighb is out"
,53,1775,,,,,"2;1;2",2021-08-09,"pv"
,53,1882,,,,,"2;2;2",2021-08-09,""
,54,1824,,,,,"0;0;0",2021-08-05,"pv"
,55,1525,,,,,"0;0;0",2021-08-09,"2pv"
,55,1655,,,,,"0;0;0",2021-08-09,"pv"
,57,1789,,,,,"NA;NA;NA",2021-08-09,"can't find"
,58,1553,,,,,"2;0;2",2021-08-09,"pv"
,61,1548,,,,,"1;1;0",2021-08-09,""
,63,1812,,,,,"0;0;0",2021-08-05,"pv"
,63,1878,,,,,"0;0;0",2021-08-09,"pv"
,67,1904,,,,,"4;6;7",2021-08-09,""
,70,1589,,,,,"2;1;3",2021-08-09,""
,70,1841,,,,,"1;0;1",2021-08-09,""
,71,1637,,,,,"1;1;2",2021-08-09,"old plant w/ lost tag; eclude from start date analysis"
,71,1712,,,,,"2;0;2",2021-08-09,""
,71,1768,,,,,"1;0;1",2021-08-09,""
,71,1807,,,,,"2;0;4",2021-08-09,""
,71,1809,,,,,"2;1;2",2021-08-05,"pv"
,72,1506,,,,,"1;0;1",2021-08-09,""
,72,1627,,,,,"2;2;0",2021-08-09,"pv"
,72,1696,,,,,"1;1;0",2021-08-09,""
,74,1714,,,,,"1;0;3",2021-08-09,"pv"
,74,1905,,,,,"1;0;3",2021-08-09,""
,79,1614,,,,,"1;0;1",2021-08-09,""
,82,1604,,,,,"3;0;3",2021-08-09,""
,82,1742,,,,,"2;0;3",2021-08-09,""
,82,1806,,,,,"4;0;4",2021-08-09,""
,82,1825,,,,,"1;0;5",2021-08-09,""
