"Date","Plot","Tag","Fl_stems","Fl_open","Fl_done","Q","Prev","Prev_note"
,1,1636,,,,,"1;1;0",""
,1,1731,,,,,"1;1;0",""
,2,1803,,,,,"0;0;0","2pv"
,3,1805,,,,,"1;1;0",""
,3,1811,,,,,"1;1;0",""
,3,1835,,,,,"0;0;0","pv"
,6,1561,,,,,"2;2;5",""
,6,1585,,,,,"1;0;1",""
,6,1669,,,,,"0;0;0","grazed"
,6,1818,,,,,"2;0;3","bud"
,6,1848,,,,,"2;1;1","pv"
,6,1894,,,,,"0;0;0","pv"
,6,1903,,,,,"1;0;1","bud"
,7,1625,,,,,"2;2;1","pv"
,7,1647,,,,,"2;1;1",""
,7,1683,,,,,"1;1;0",""
,7,1730,,,,,"3;2;1",""
,7,1751,,,,,"3;0;3",""
,7,1822,,,,,"1;0;1","pv"
,7,1864,,,,,"3;3;0",""
,7,1865,,,,,"1;0;1",""
,7,1870,,,,,"3;2;1","2pv"
,7,1885,,,,,"5;5;0","pv"
,7,1888,,,,,"2;0;2","bud"
,7,1891,,,,,"1;0;1","bud"
,8,1559,,,,,"1;1;0",""
,10,1620,,,,,"2;2;0",""
,10,1798,,,,,"3;3;0","4pv"
,10,1889,,,,,"1;1;0","pv"
,17,1626,,,,,"1;0;1","bud"
,17,1746,,,,,"4;5;4","pv"
,17,1832,,,,,"11;5;5","pv"
,26,1901,,,,,"0;0;0","pv"
,34,1569,,,,,"1;1;0",""
,37,1780,,,,,"2;0;3","pv"
,37,1794,,,,,"1;1;0","pv"
,37,1900,,,,,"2;0;2",""
,38,1630,,,,,"3;3;0",""
,45,1883,,,,,"1;1;0","pv"
,53,1629,,,,,"0;0;0","no sign of fl. Stem present"
,53,1732,,,,,"0;0;0","pv"
,53,1796,,,,,"1;1;0",""
,53,1826,,,,,"1;1;0",""
,53,1856,,,,,"2;2;0",""
,53,1857,,,,,"0;0;0","pv"
,53,1860,,,,,"0;0;0","pv"
,53,1876,,,,,"2;0;2",""
,53,1882,,,,,"2;0;2","bud"
,53,1892,,,,,"0;0;0","pv"
,53,1906,,,,,"NA;NA;NA","can't find"
,53,1907,,,,,"NA;NA;NA",""
,53,1910,,,,,"1;1;0","2pv"
,66,1853,,,,,"1;1;0",""
,66,1875,,,,,"1;0;1","pv"
,67,1904,,,,,"2;2;0","2pv"
,70,1790,,,,,"0;0;0","2pv"
,70,1841,,,,,"0;0;0","pv"
,70,1887,,,,,"2;1;1",""
,71,1779,,,,,"1;5;1","pv"
,71,1807,,,,,"1;1;0","pv"
,71,1809,,,,,"2;0;2","pv"
,71,1820,,,,,"1;1;0",""
,71,1837,,,,,"1;0;1","2pv"
,71,1839,,,,,"1;0;1","a grazed stem; pv"
,71,1844,,,,,"1;1;0",""
,71,1902,,,,,"1;0;1",""
,71,1909,,,,,"1;0;1",""
,73,1720,,,,,"3;0;3",""
,73,1810,,,,,"1;0;1",""
,74,1714,,,,,"1;0;1","pv"
,74,1824,,,,,"2;2;0","plot illegible on datasheet"
,74,1895,,,,,"NA;NA;NA","can't find"
,74,1905,,,,,"3;4;5","pv"
,82,1604,,,,,"1;1;0","pv"
,82,1742,,,,,"1;1;0","pv"
,82,1806,,,,,"2;2;0","pv"
,82,1825,,,,,"2;2;0",""
