"Tag","Fruit_no","Full_fruit_wt","Total_n_seeds","Full__n_seeds","All_seeds__wt","Date_counted","Notes"
1233,1,NA,NA,NA,NA,NA,NA
1233,2,NA,NA,NA,NA,NA,NA
1233,3,NA,NA,NA,NA,NA,NA
1233,4,NA,NA,NA,NA,NA,NA
1233,5,NA,NA,NA,NA,NA,NA
1233,6,NA,NA,NA,NA,NA,NA
1233,7,NA,NA,NA,NA,NA,NA
1233,8,NA,NA,NA,NA,NA,NA
1125,1,NA,NA,NA,NA,NA,NA
1125,2,NA,NA,NA,NA,NA,NA
1083,1,NA,NA,NA,NA,NA,NA
1083,2,NA,NA,NA,NA,NA,NA
1083,3,NA,NA,NA,NA,NA,NA
1083,4,NA,NA,NA,NA,NA,NA
1083,5,NA,NA,NA,NA,NA,NA
1043,1,NA,NA,NA,NA,NA,NA
1043,2,NA,NA,NA,NA,NA,NA
1043,3,NA,NA,NA,NA,NA,NA
1043,4,NA,NA,NA,NA,NA,NA
1043,5,NA,NA,NA,NA,NA,NA
1043,6,NA,NA,NA,NA,NA,NA
1315,1,NA,NA,NA,NA,NA,NA
1315,2,NA,NA,NA,NA,NA,NA
1315,3,NA,NA,NA,NA,NA,NA
1107,1,NA,NA,NA,NA,NA,NA
1107,2,NA,NA,NA,NA,NA,NA
1107,3,NA,NA,NA,NA,NA,NA
1107,4,NA,NA,NA,NA,NA,NA
1316,1,NA,NA,NA,NA,NA,NA
1316,2,NA,NA,NA,NA,NA,NA
1316,3,NA,NA,NA,NA,NA,NA
1316,4,NA,NA,NA,NA,NA,NA
1316,5,NA,NA,NA,NA,NA,NA
1316,6,NA,NA,NA,NA,NA,NA
1050,1,NA,NA,NA,NA,NA,NA
1050,2,NA,NA,NA,NA,NA,NA
1050,3,NA,NA,NA,NA,NA,NA
1050,4,NA,NA,NA,NA,NA,NA
1050,5,NA,NA,NA,NA,NA,NA
1147,1,NA,NA,NA,NA,NA,NA
1147,2,NA,NA,NA,NA,NA,NA
1122,1,NA,NA,NA,NA,NA,NA
1122,2,NA,NA,NA,NA,NA,NA
1122,3,NA,NA,NA,NA,NA,NA
1122,4,NA,NA,NA,NA,NA,NA
1122,5,NA,NA,NA,NA,NA,NA
1122,6,NA,NA,NA,NA,NA,NA
1122,7,NA,NA,NA,NA,NA,NA
1150,1,NA,NA,NA,NA,NA,NA
1150,2,NA,NA,NA,NA,NA,NA
1150,3,NA,NA,NA,NA,NA,NA
1150,4,NA,NA,NA,NA,NA,NA
1150,5,NA,NA,NA,NA,NA,NA
1150,6,NA,NA,NA,NA,NA,NA
1150,7,NA,NA,NA,NA,NA,NA
1051,1,NA,NA,NA,NA,NA,NA
1051,2,NA,NA,NA,NA,NA,NA
1041,1,NA,NA,NA,NA,NA,NA
1078,1,NA,NA,NA,NA,NA,NA
1078,2,NA,NA,NA,NA,NA,NA
