"Plot","Tag","Toothpick","Q","Fl_stems","Fl_open","Fl_done","Done","Last_date","Old_info","Old_q","Old_note"
2,1011,"r",,,,,,"7/5/21","1;1;2","",""
2,1160,"x",,,,,,"7/5/21","1;1;0","",""
2,1291,"wg",,,,,,"7/5/21","2;4;0","",""
4,1186,"w",,,,,,"7/5/21","1;2;0","",""
5,1159,"wb",,,,,"done","7/5/21","2;0;5","",""
6,1149,"gw",,,,,"done","7/5/21","0;0;0","",""
6,1138,"w",,,,,,"7/5/21","1;0;3","",""
6,1152,"",,,,,,"7/5/21","2;1;14","",""
6,1300,"r",,,,,,"7/5/21","1;0;5","",""
7,1136,"",,,,,"done","7/5/21","1;0;5","",""
7,1144,"",,,,,"done","7/5/21","1;0;3","",""
7,1198,"yw",,,,,"done","7/5/21","1;0;6","",""
7,1210,"",,,,,"done","7/5/21","1;0;1","",""
8,1168,"b",,,,,"done","7/5/21","1;0;1","",""
8,1201,"gg",,,,,"done","7/5/21","1;0;1","",""
8,1307,"wro",,,,,"done","7/5/21","1;0;2","i",""
8,1153,"o",,,,,,"7/5/21","1;3;5","",""
8,1205,"",,,,,,"7/5/21","2;3;4","",""
8,1288,"gg",,,,,,"7/5/21","1;6;0","q","is dupe? Check 1201"
9,1049,"w",,,,,,"7/5/21","2;10;7","",""
9,1218,"y",,,,,,"7/5/21","1;5;1","",""
9,1316,"",,,,,,"7/5/21","1;8;0","",""
10,1217,"",,,,,,"7/5/21","2;1;12","",""
20,1196,"",,,,,,"7/5/21","1;1;0","",""
21,1172,"w",,,,,,"7/5/21","2;4;4","",""
24,1192,"b",,,,,,"7/5/21","1;2;0","",""
25,1083,"yw",,,,,,"7/5/21","0;0;0","","yv"
27,1202,"o",,,,,"done","7/5/21","1;0;4","",""
28,1158,"",,,,,"done","7/5/21","1;0;3","",""
28,1286,"w",,,,,,"7/5/21","2;4;1","",""
34,1124,"",,,,,,"7/5/21","1;1;6","",""
36,1051,"y",,,,,,"7/5/21","1;0;3","",""
37,1137,"",,,,,"done","7/5/21","1;0;12","",""
37,1190,"",,,,,"done","7/5/21","2;0;8","",""
37,1310,"",,,,,"done","7/5/21","1;0;1","",""
37,1082,"b",,,,,,"7/5/21","1;1;0","",""
37,1312,"",,,,,,"7/5/21","1;0;9","",""
38,1224,"bo",,,,,,"7/5/21","1;5;4","",""
57,1057,"ww",,,,,,"7/5/21","1;1;2","",""
57,1251,"y",,,,,,"7/5/21","1;3;0","",""
58,1080,"ww",,,,,"done","7/5/21","1;0;2","",""
58,1188,"w",,,,,,"7/5/21","1;1;9","",""
59,1055,"y",,,,,"done","7/5/21","1;0;1","",""
59,1142,"ww",,,,,"done","7/5/21","1;0;7","",""
59,1145,"b",,,,,"done","7/5/21","2;0;8","",""
59,1301,"g",,,,,"done","7/5/21","2;0;25","",""
59,1147,"o",,,,,,"7/5/21","1;0;7","",""
59,1199,"r",,,,,,"7/5/21","1;1;9","",""
60,1100,"go",,,,,"done","7/5/21","1;0;1","",""
60,1178,"wg",,,,,,"7/5/21","0;0;0","","yv"
60,1249,"yg",,,,,,"7/5/21","1;4;0","",""
60,1274,"wo",,,,,,"7/5/21","0;0;0","","yv"
62,1031,"g",,,,,"done","7/5/21","1;0;2","",""
62,1065,"wyr",,,,,"done","7/5/21","1;0;2","",""
62,1166,"wrb",,,,,"done","7/5/21","1;0;4","","1 uncounted dud"
62,1181,"",,,,,"done","7/5/21","1;0;3","","an empty calyx"
62,1194,"wgr",,,,,"done","7/5/21","4;0;21","","broke off one done (counted)"
62,1276,"wry",,,,,"done","7/5/21","2;0;9","",""
62,1040,"wgb",,,,,,"7/5/21","1;0;5","",""
62,1060,"",,,,,,"7/5/21","1;2;6","",""
62,1068,"wry",,,,,,"7/5/21","1;3;0","",""
62,1070,"ggg",,,,,,"7/5/21","1;3;8","",""
62,1084,"www",,,,,,"7/5/21","2;0;12","",""
62,1126,"",,,,,,"7/5/21","1;3;1","",""
62,1150,"",,,,,,"7/5/21","2;5;6","",""
62,1151,"",,,,,,"7/5/21","1;0;10","","1 empty calyx"
62,1220,"yo",,,,,,"7/5/21","4;3;24","i","is 1134; merge"
62,1260,"wo",,,,,,"7/5/21","1;0;2","",""
62,1315,"b",,,,,,"7/5/21","1;0;11","",""
66,1269,"b",,,,,,"7/5/21","1;6;1","",""
66,1306,"y",,,,,,"7/5/21","1;1;1","",""
70,1032,"y",,,,,,"7/5/21","2;1;6","",""
70,1095,"w",,,,,,"7/5/21","0;0;0","","yv"
70,1248,"wr",,,,,,"7/5/21","1;5;6","",""
71,1005,"wro",,,,,"done","7/5/21","1;0;2","",""
71,1041,"yr",,,,,"done","7/5/21","2;0;5","",""
71,1052,"r",,,,,"done","7/5/21","1;0;6","",""
71,1078,"rro",,,,,"done","7/5/21","1;0;4","",""
71,1289,"ygg",,,,,"done","7/5/21","1;0;4","",""
71,1016,"bo",,,,,,"7/5/21","1;1;3","",""
71,1019,"y",,,,,,"7/5/21","2;8;3","",""
71,1050,"wggr",,,,,,"7/5/21","2;0;13","",""
71,1106,"yy",,,,,,"7/5/21","2;1;9","",""
71,1308,"oy",,,,,,"7/5/21","1;0;8","",""
73,1039,"ygo",,,,,"done","7/5/21","1;0;5","",""
73,1107,"",,,,,"done","7/5/21","1;0;4","",""
73,1108,"y",,,,,"done","7/5/21","1;0;4","",""
73,1132,"",,,,,"done","7/5/21","1;0;6","",""
73,1280,"rr",,,,,"done","7/5/21","1;0;8","",""
73,1067,"wr",,,,,,"7/5/21","1;3;6","",""
73,1069,"yg",,,,,,"7/5/21","0;0;0","","yv; broke gtp so now only y"
73,1103,"or",,,,,,"7/5/21","3;1;20","",""
74,1021,"wb",,,,,"done","7/5/21","1;0;5","",""
74,1033,"y",,,,,"done","7/5/21","2;0;3","",""
74,1054,"",,,,,"done","7/5/21","1;0;8","","a grazed stem"
74,1055,"w",,,,,"done","7/5/21","1;0;6","",""
74,1071,"by",,,,,"done","7/5/21","2;0;12","",""
74,1113,"bo",,,,,"done","7/5/21","1;0;4","c","check; no sign of other six fl"
74,1122,"",,,,,"done","7/5/21","1;0;9","c","check tp; is 1043?"
74,1129,"bwo",,,,,"done","7/5/21","1;0;5","",""
74,1200,"wwg",,,,,"done","7/5/21","1;0;6","",""
74,1223,"rob",,,,,"done","7/5/21","1;0;10","",""
74,1227,"",,,,,"done","7/5/21","1;0;2","",""
74,1229,"gy",,,,,"done","7/5/21","1;0;1","",""
74,1233,"www",,,,,"done","7/5/21","4;0;18","",""
74,1258,"ro",,,,,"done","7/5/21","1;0;4","","stem broke"
74,1007,"yyy",,,,,,"7/5/21","1;4;5","",""
74,1009,"x",,,,,,"7/5/21","2;1;10","",""
74,1043,"wy",,,,,,"7/5/21","1;2;6","c","check tp date; is 1122?"
74,1046,"bb",,,,,,"7/5/21","5;3;31","",""
74,1056,"ry",,,,,,"7/5/21","1;0;7","","1 uncounted dud"
74,1058,"wg",,,,,,"7/5/21","NA;NA;NA","",""
74,1073,"oo",,,,,,"7/5/21","1;5;1","",""
74,1088,"wwb",,,,,,"7/5/21","1;2;5","",""
74,1131,"",,,,,,"7/5/21","2;1;11","",""
74,1170,"x",,,,,,"7/5/21","1;0;6","",""
74,1214,"rrr",,,,,,"7/5/21","1;0;8","",""
