Plot,Tag,Toothpick,Q,Fl_stems,Fl_open,Fl_done,Last_date,Old_info,Old_q,Old_note
6,1128,,,,,,6/17/21,1;4;0,,1 counted fl is dud
6,1152,yv,,,,,6/17/21,0;0;0,,yv
6,1165,w,,,,,6/17/21,1;2;0,,not spread but pollen is visible
6,1211,w,,,,,6/17/21,0;0;0,,yv; CHECK TPs
7,1133,b,,,,,6/17/21,0;0;0,,yv
7,1136,wg,,,,,6/17/21,0;0;0,,yv
7,1210,w,,,,,6/17/21,0;0;0,,yv
8,1139,,,,,,6/17/21,1;1;0,,
8,1143,gw,,,,,6/17/21,1;2;0,,
8,1157,,,,,,6/17/21,1;1;0,,
8,1205,wy,,,,,6/17/21,0;0;0,,yv
8,1307,wro,,,,,6/17/21,0;0;0,,yv
8,1313,g,,,,,6/17/21,0;0;0,,yv
10,1217,y,,,,,6/17/21,0;0;0,,
28,1158,w,,,,,6/17/21,0;0;0,,yv
34,1124,g,,,,,6/17/21,0;0;0,,yv
37,1137,,,,,,6/17/21,1;6;0,,
37,1140,,,,,,6/17/21,1;3;0,,
37,1185,gg,,,,,6/17/21,0;0;0,,yv
37,1190,wo,,,,,6/17/21,0;0;0,,yv
37,1310,ww,,,,,6/17/21,0;0;0,,yv
37,1312,wyo,,,,,6/17/21,0;0;0,,yv
59,,b,,,,,6/17/21,0;0;0,,2yv
59,,g,,,,,6/17/21,0;0;0,,3yv
59,,o,,,,,6/17/21,0;0;0,,yv
59,,w,,,,,6/17/21,0;0;0,,yv
59,,ww,,,,,6/17/21,0;0;0,,yv
62,1134,,,,,,6/17/21,1;3;0,,1yv
62,1150,,,,,,6/17/21,1;1;0,,
62,1151,,,,,,6/17/21,2;4;0,,
62,1189,wg,,,,,6/14/21,0;0;0,,yv
62,1220,yo,,,,,6/17/21,1;2;0,,is 1134? Chck tp dates
62,,g,,,,,6/17/21,0;0;0,,yv
62,,r,,,,,6/17/21,0;0;0,,yv
62,,wo,,,,,6/17/21,0;0;0,,3yv
62,,wrr,,,,,6/17/21,0;0;0,,yv
62,,wry,,,,,6/17/21,0;0;0,,3yv
71,1050,wggr,,,,,6/17/21,1;1;0,,spreading today
71,1308,oy,,,,,6/17/21,1;1;0,,
71,,ro,,,,,6/17/21,0;0;0,,yv; tag shortage
71,,ygg,,,,,6/17/21,0;0;0,,yv; tag shortage
71,,yr,,,,,6/17/21,0;0;0,,yv; tag shortage
73,1127,,,,,,6/17/21,1;3;0,,
73,1132,,,,,,6/17/21,1;2;0,,
73,1135,wb,,,,,6/14/21,0;0;0,,yv
73,,or,,,,,6/17/21,0;0;0,,yv
73,,rr,,,,,6/17/21,0;0;0,,yv
73,,wwo,,,,,6/17/21,0;0;0,q,yv
73,,y,,,,,6/17/21,0;0;0,,yv; by 1135 tp broke
74,1122,,,,,,6/17/21,1;1;0,,
74,1131,,,,,,6/17/21,1;2;0,,
74,,bb,,,,,6/17/21,0;0;0,,2yv
74,,bo,,,,,6/17/21,0;0;0,,yv
74,,by,,,,,6/17/21,0;0;0,,yv
74,,rob,,,,,6/17/21,0;0;0,,yv
74,,ry,,,,,6/17/21,0;0;0,,2yv
74,,w,,,,,6/17/21,0;0;0,,yv
74,,wwg,,,,,6/17/21,0;0;0,,yv
74,,www,,,,,6/17/21,0;0;0,,yv
74,,wy,,,,,6/17/21,0;0;0,,yv
74,,wyy,,,,,6/17/21,0;0;0,,2yv
