"Plot","Tag","Toothpick","Q","Fl_stems","Fl_open","Fl_done","Last_date","Old_info","Old_q","Old_note"
2,1011,"r",,,,,"6/24/21","0;0;0","","yv"
2,1160,"x",,,,,"6/24/21","0;0;0","","yv"
4,1186,"w",,,,,"6/24/21","0;0;0","","yv"
5,1159,"wb",,,,,"6/24/21","1;3;0","","yv"
6,1128,"",,,,,"6/24/21","1;0;3","",""
6,1138,"w",,,,,"6/24/21","1;2;0","",""
6,1149,"gw",,,,,"6/24/21","0;0;0","","fl gone"
6,1152,"",,,,,"6/24/21","1;8;2","","1yv"
6,1165,"ww",,,,,"6/24/21","1;0;4","",""
6,1211,"",,,,,"6/24/21","1;0;4","",""
6,1300,"r",,,,,"6/24/21","1;5;0","",""
7,1136,"",,,,,"6/24/21","1;4;0","",""
7,1144,"",,,,,"6/24/21","1;6;0","",""
7,1198,"yw",,,,,"6/24/21","1;1;0","",""
7,1210,"",,,,,"6/24/21","1;0;1","",""
8,1139,"",,,,,"6/24/21","1;0;2","",""
8,1143,"",,,,,"6/24/21","1;0;2","",""
8,1153,"o",,,,,"6/24/21","1;5;0","",""
8,1157,"",,,,,"6/24/21","1;0;1","",""
8,1168,"b",,,,,"6/24/21","1;1;0","",""
8,1201,"gg",,,,,"6/24/21","1;1;0","","yv"
8,1205,"",,,,,"6/24/21","1;4;0","","yv"
8,1307,"wro",,,,,"6/24/21","1;1;1","i","tag is 1303"
8,1313,"",,,,,"6/24/21","1;0;2","",""
9,1049,"w",,,,,"6/24/21","1;5;0","","yv"
9,1218,"y",,,,,"6/24/21","0;0;0","","yv"
9,1316,"",,,,,"6/24/21","0;0;0","","yv; can't find tp; one beneath shrub"
10,1217,"",,,,,"6/24/21","2;11;0","",""
20,1196,"",,,,,"6/24/21","0;0;0","","yv"
21,1172,"w",,,,,"6/24/21","2;7;0","",""
24,1192,"b",,,,,"6/24/21","0;0;0","","yv"
27,1202,"o",,,,,"6/24/21","1;4;0","",""
28,1158,"",,,,,"6/24/21","1;3;0","",""
28,1286,"w",,,,,"6/24/21","2;9;0","",""
34,1124,"",,,,,"6/24/21","1;5;0","",""
36,1051,"y",,,,,"6/24/21","1;1;0","",""
37,1082,"b",,,,,"6/24/21","0;0;0","","yv"
37,1137,"",,,,,"6/24/21","1;3;8","",""
37,1140,"",,,,,"6/24/21","1;0;2","","grazed?"
37,1148,"rg",,,,,"6/24/21","0;0;0","","dud or grazed"
37,1185,"",,,,,"6/24/21","0;0;0","","grazed?"
37,1190,"",,,,,"6/24/21","1;3;2","",""
37,1310,"",,,,,"6/24/21","1;1;0","",""
37,1312,"",,,,,"6/24/21","1;10;0","",""
38,1224,"bo",,,,,"6/24/21","1;4;0","",""
57,1057,"ww",,,,,"6/24/21","1;1;0","",""
57,1251,"y",,,,,"6/24/21","0;0;0","","yv"
58,1080,"ww",,,,,"6/24/21","0;0;0","","yv"
58,1188,"w",,,,,"6/24/21","0;0;0","","yv"
59,1025,"w",,,,,"6/24/21","0;0;0","","grazed"
