"Tag","Harvest_Date","Plot","Fruit_Pres","Fruit_Coll","Last_Date","Last_Info","Last_Note","Harvest_Note"
1159,,5,,,"7/8/21","2:5","",
1138,,6,,,"7/8/21","0:0","grazed",
1300,,6,,,"7/8/21","0:0","grazed",
1136,,7,,,"7/8/21","1:5","",
1144,,7,,,"7/8/21","1:3","",
1198,,7,,,"7/8/21","1:6","",
1168,,8,,,"7/8/21","1:1","",
1201,,8,,,"7/8/21","1:1","",
1202,,27,,,"7/8/21","1:4","",
1158,,28,,,"7/8/21","1:3","",
1051,,36,,,"7/8/21","1:2","",
1137,,37,,,"7/5/21","1:12","",
1190,,37,,,"7/8/21","2:8","",
1310,,37,,,"7/8/21","1:1","",
1312,,37,,,"7/8/21","1:8","incl. an empty calyx",
1080,,58,,,"7/8/21","1:2","",
1055,,59,,,"7/8/21","1:1","",
1147,,59,,,"7/8/21","1:6","",
1301,,59,,,"7/8/21","2:25","",
1100,,60,,,"7/8/21","1:1","",
1031,,62,,,"7/8/21","1:2","",
1040,,62,,,"7/8/21","1:4","",
1065,,62,,,"7/8/21","1:2","",
1084,,62,,,"7/8/21","2:10","",
1151,,62,,,"7/8/21","1:5","",
1166,,62,,,"7/8/21","1:4","counted an empty calyx",
1260,,62,,,"7/8/21","0:0","grazed",
1315,,62,,,"7/8/21","1:10","",
1005,,71,,,"7/8/21","1:2","",
1041,,71,,,"7/8/21","2:5","",
1050,,71,,,"7/8/21","2:4","",
1052,,71,,,"7/8/21","1:6","",
1078,,71,,,"7/8/21","1:4","",
1289,,71,,,"7/8/21","1:4","",
1308,,71,,,"7/8/21","1:7","",
1039,,73,,,"7/8/21","1:5","",
1108,,73,,,"7/8/21","1:4","",
1280,,73,,,"7/5/21","1:8","",
1021,,74,,,"7/8/21","1:5","",
1033,,74,,,"7/8/21","1:3","",
1054,,74,,,"7/8/21","1:8","",
1055,,74,,,"7/8/21","1:6","",
1056,,74,,,"7/8/21","1:6","",
1113,,74,,,"7/8/21","1:4","confused w/ 1227 in prev record",
1129,,74,,,"7/8/21","1:5","check tp date; could be 1046?",
1170,,74,,,"7/8/21","1:5","",
1200,,74,,,"7/8/21","1:6","",
1214,,74,,,"7/8/21","1:7","",
1227,,74,,,"7/8/21","1:2","",
1229,,74,,,"7/8/21","1:1","",
1297,,74,,,"7/8/21","2:15","second stem (1;0;2) is probably 1056É",
1094,,76,,,"7/8/21","1:2","",
1284,,76,,,"7/8/21","1:3","",
1283,,79,,,"7/8/21","1:3","",
