"Plot","Tag","Treatment","Extra","Treated","Flowers_treated","Flowers","Note"
111,2028,"Control","Extra",,,,
118,2016,"Control","",,,,
118,2024,"Addition","",,,,
118,2025,"Addition","",,,,
127,2001,"Control","Extra",,,,
127,2027,"Control","",,,,
149,2010,"Addition","Extra",,,,
149,2073,"Control","",,,,
149,2093,"Control","",,,,
152,2018,"Addition","",,,,
152,2072,"Control","Extra",,,,
154,2043,"Addition","Extra",,,,
154,2090,"Addition","Extra",,,,
163,2035,"Control","",,,,
163,2088,"Control","",,,,
164,2003,"Control","",,,,
164,2050,"Control","",,,,
164,2071,"Addition","",,,,
169,2006,"Control","",,,,
169,2021,"Control","",,,,
169,2023,"Addition","",,,,
169,2034,"Addition","",,,,
169,2067,"Addition","",,,,
169,2080,"Addition","",,,,
169,2086,"Addition","",,,,
170,2008,"Control","",,,,
170,2013,"Addition","Extra",,,,
170,2032,"Addition","",,,,
170,2037,"Addition","",,,,
170,2042,"Control","",,,,
170,2066,"Addition","",,,,
170,2077,"Control","Extra",,,,
