Plot,Tag,Treatment,Extra,Treated,Flowers_treated,Flowers,Note
104,2049,Control,,,,,
104,2062,Addition,,,,,
104,2091,Control,,,,,
152,2018,Control,,,,,
152,2030,Addition,,,,,
152,2033,Control,Extra4,,,,
152,2063,Control,,,,,
152,2070,Addition,,,,,
152,2073,Control,,,,,
152,2119,Addition,Extra3,,,,
154,2047,Addition,,,,,
163,2038,Addition,Extra1,,,,
163,2076,Control,,,,,
163,2082,Control,Extra2,,,,
163,2084,Addition,,,,,
163,2103,Addition,,,,,
163,2106,Control,,,,,
164,2003,Control,,,,,
164,2031,Addition,,,,,
164,2048,Control,,,,,
164,2050,Addition,,,,,
164,2054,Addition,,,,,
169,2022,Addition,,,,,
169,2078,Control,,,,,
169,2124,Control,Extra6,,,,
170,2008,Addition,,,,,
170,2011,Control,,,,,
170,2042,Addition,,,,,
170,2085,Addition,Extra5,,,,
170,2105,Control,,,,,
