"Plot","Tag","Q","N_infl","Fl_open","Fl_done","Last_date","Old_info","Old_q","Old_notes"
104,2019,,,,,"6/16/22","1;1;3",,""
104,2026,,,,,"6/16/22","1;1;1",,"yv"
104,2049,,,,,"6/16/22","1;0;2",,""
104,2055,,,,,"6/19/22","0;0;0",,"yv"
104,2060,,,,,"6/19/22","0;0;0",,"yv"
104,2062,,,,,"6/19/22","0;0;0",,"yv"
111,2028,,,,,"6/16/22","1;2;0",,""
118,2007,,,,,"6/9/22","0;0;0",,"yv"
118,2016,,,,,"6/9/22","1;2;0",,"yv"
118,2024,,,,,"6/9/22","1;3;0",,"2yv"
118,2025,,,,,"6/9/22","0;0;0",,"2yv"
118,2029,,,,,"6/16/22","1;4;0",,""
118,2041,,,,,"6/16/22","2;4;0",,""
127,2001,,,,,"6/16/22","1;1;0",,"2yv"
127,2027,,,,,"6/16/22","1;2;0",,"1 yv; weevil picture"
149,2010,,,,,"6/19/22","1;1;0",,""
149,2056,,,,,"6/19/22","0;0;0",,"yv"
149,2063,,,,,"6/19/22","0;0;0",,"2yv"
149,2068,,,,,"6/19/22","7;2;0",,""
149,2069,,,,,"6/19/22","2;1;0",,"2yv"
149,2073,,,,,"6/19/22","0;0;0",,"2yv"
149,2093,,,,,"6/19/22","0;0;0",,"yv"
152,2018,,,,,"6/16/22","1;3;0",,""
152,2030,,,,,"6/16/22","1;1;0",,""
152,2033,,,,,"6/16/22","1;2;0",,""
152,2070,,,,,"6/19/22","0;0;0",,"yv"
152,2072,,,,,"6/19/22","0;0;0",,"yv"
154,2043,,,,,"6/16/22","0;0;0",,"2yv"
154,2047,,,,,"6/16/22","0;0;0",,"yv"
154,2090,,,,,"6/19/22","0;0;0",,"yv"
163,2035,,,,,"6/16/22","0;0;0",,""
163,2038,,,,,"6/16/22","0;0;0",,""
163,2075,,,,,"6/19/22","0;0;0",,"2yv"
163,2076,,,,,"6/19/22","0;0;0",,"yv"
163,2082,,,,,"6/19/22","0;0;0",,"2yv"
163,2084,,,,,"6/19/22","0;0;0",,"2yv"
163,2088,,,,,"6/19/22","0;0;0",,"yv"
163,2098,,,,,"6/19/22","0;0;0",,"2yv"
164,2003,,,,,"6/16/22","1;3;0",,""
164,2020,,,,,"6/16/22","3;6;0",,""
164,2031,,,,,"6/16/22","2;12;0",,""
164,2036,,,,,"6/16/22","1;3;0",,"obs pol (black bee)"
164,2039,,,,,"6/16/22","1;2;0",,""
164,2045,,,,,"6/16/22","1;3;0",,""
164,2046,,,,,"6/16/22","NA;NA;NA",,"can't find"
164,2048,,,,,"6/16/22","1;3;0",,""
164,2050,,,,,"6/16/22","1;1;0",,""
164,2071,,,,,"6/19/22","1;1;0",,""
164,2081,,,,,"6/19/22","0;0;0",,"yv"
164,2083,,,,,"6/19/22","0;0;0",,"yv"
169,2004,,,,,"6/9/22","0;0;0",,"yv; kinked stem"
169,2006,,,,,"6/9/22","0;0;0",,"yv"
169,2014,,,,,"6/9/22","0;0;0",,"yv"
169,2021,,,,,"6/9/22","0;0;0",,"2yv"
169,2022,,,,,"6/16/22","1;1;0",,""
169,2023,,,,,"6/9/22","0;0;0",,"yv"
169,2034,,,,,"6/16/22","1;2;0",,"ant"
169,2067,,,,,"6/19/22","3;1;0",,""
169,2080,,,,,"6/19/22","0;0;0",,"yv"
169,2086,,,,,"6/19/22","0;0;0",,"yv"
170,2002,,,,,"6/16/22","2;3;0",,"2yv"
170,2005,,,,,"6/16/22","1;5;0",,""
170,2008,,,,,"6/16/22","1;2;0",,""
170,2011,,,,,"6/16/22","0;0;0",,"3yv"
170,2012,,,,,"6/16/22","1;3;1",,""
170,2013,,,,,"6/16/22","0;0;0",TRUE,""
170,2017,,,,,"6/16/22","2;7;2",,""
170,2032,,,,,"6/16/22","2;4;1",,""
170,2037,,,,,"6/16/22","1;1;0",,""
170,2040,,,,,"6/16/22","3;4;2",TRUE,""
170,2042,,,,,"6/16/22","0;0;0",,""
170,2044,,,,,"6/16/22","1;6;0",,""
170,2052,,,,,"6/19/22","0;0;0",,"yv"
170,2057,,,,,"6/19/22","0;0;0",,"yv"
170,2066,,,,,"6/19/22","0;0;0",,"yv"
170,2077,,,,,"6/19/22","0;0;0",,"yv"
170,2085,,,,,"6/19/22","0;0;0",,"yv"
