"Plot","Tag","Q","N_infl","Fl_open","Fl_done","Done","Last_date","Old_info","Old_q","Old_notes"
104,2089,,,,,,"6/30/22","1;2;0",,""
104,2091,,,,,,"6/30/22","1;0;2",,""
104,2026,,,,,"done","6/27/22","2;0;3",,""
104,2055,,,,,"done","6/30/22","1;0;1",,""
104,2060,,,,,"done","6/27/22","1;0;2",,""
104,2062,,,,,"done","6/30/22","1;0;3",,""
105,2101,,,,,,"6/30/22","0;0;0",,"yv"
105,2114,,,,,,"6/30/22","0;0;0",,"yv"
105,2129,,,,,,"6/30/22","0;0;0",,"yv"
105,2142,,,,,,"6/30/22","0;0;0",,"yv"
105,2149,,,,,,"6/30/22","0;0;0",,"yv"
107,2118,,,,,,"6/30/22","1;6;1",,""
109,2107,,,,,,"6/30/22","NA;NA;NA",,"dud"
111,2028,,,,,"done","6/27/22","1;0;3",,""
118,2041,,,,,,"6/30/22","2;0;11",,""
118,2029,,,,,"done","6/30/22","1;0;6",,""
123,2097,,,,,,"6/30/22","1;4;1",,""
127,2001,,,,,,"6/30/22","3;11;11",,""
127,2027,,,,,,"6/30/22","2;4;13",,""
130,2112,,,,,,"6/30/22","1;3;0",,""
130,2140,,,,,,"6/30/22","0;0;0",,"yv"
138,2053,,,,,,"6/30/22","1;7;0",,""
146,2141,,,,,,"6/30/22","0;0;0",,"yv"
146,2145,,,,,,"6/30/22","0;0;0",,"yv"
146,2148,,,,,,"6/30/22","0;0;0",,"yv"
147,2099,,,,,,"6/30/22","1;7;0",,""
149,2056,,,,,,"6/30/22","1;0;6",,""
149,2059,,,,,,"6/30/22","1;1;4",,""
149,2061,,,,,,"6/30/22","1;1;0",,""
149,2069,,,,,,"6/30/22","4;6;13",,""
149,2093,,,,,,"6/30/22","1;0;3",,""
149,2094,,,,,,"6/30/22","1;0;5",,""
149,2111,,,,,,"6/30/22","0;0;0",,"yv"
149,2133,,,,,,"6/30/22","0;0;0",,"yv"
149,2068,,,,,"done","6/27/22","2;0;9",,""
150,2128,,,,,,"6/30/22","0;0;0",,"yv"
151,2110,,,,,,"6/30/22","0;0;0",,"yv"
151,2121,,,,,,"6/30/22","0;0;0",,"yv"
152,2033,,,,,,"6/30/22","1;0;7",,""
152,2051,,,,,,"6/30/22","2;5;2",,"one completely florivorized"
152,2063,,,,,,"6/30/22","2;1;7",,""
152,2065,,,,,,"6/30/22","2;8;4",,"one completely florivorized"
152,2070,,,,,,"6/30/22","2;3;5",,""
152,2072,,,,,,"6/30/22","2;2;7",,""
152,2073,,,,,,"6/30/22","2;0;4",,""
152,2095,,,,,,"6/30/22","1;3;0",,""
152,2100,,,,,,"6/30/22","1;1;0",,""
152,2108,,,,,,"6/30/22","1;0;1",,""
152,2119,,,,,,"6/30/22","1;4;0",,""
152,2127,,,,,,"6/30/22","1;1;0",,""
152,2132,,,,,,"6/30/22","0;0;0",,"yv"
152,2018,,,,,"done","6/30/22","1;0;8",,""
152,2030,,,,,"done","6/27/22","1;0;1",,"stem kinked"
153,2115,,,,,,"6/30/22","1;3;0",,""
154,2043,,,,,,"6/30/22","2;7;6",,""
154,2047,,,,,,"6/30/22","1;4;5",,""
154,2074,,,,,,"6/30/22","1;1;2",,""
154,2090,,,,,,"6/30/22","1;3;3",,""
154,2102,,,,,,"6/30/22","1;2;0",,""
154,2130,,,,,,"6/30/22","0;0;0",,"yv"
154,2134,,,,,,"6/30/22","1;1;0",,""
162,2026,,,,,,"6/30/22","0;0;0",,"2yv"
163,2009,,,,,,"6/30/22","1;4;0",,"florivory"
163,2035,,,,,,"6/30/22","1;2;4",,""
163,2038,,,,,,"6/30/22","1;1;6",,""
