"Date","Page","Species","Plot","Tag","Stms","Fl_straight","Fl_curled","Fl_done","Q","Note","RecordID"
2020-07-05,47,"Campanula rotundifolia",48,1535,1,0,1,0,"","OUTSIDE NW",20001
2020-07-05,47,"Campanula rotundifolia",1,1504,1,1,0,0,"","",20002
2020-07-05,47,"Campanula rotundifolia",1,1533,3,0,0,0,"","3pv? Check stems; 1533+1565+1568+1694 records merged SN Jan 2021",20003
2020-07-05,47,"Campanula rotundifolia",1,1532,1,1,0,0,"","",20004
2020-07-05,47,"Campanula rotundifolia",2,1513,2,0,0,0,"","2pv",20005
2020-07-05,47,"Campanula rotundifolia",6,1526,6,3,0,0,"","",20006
2020-07-09,54,"Campanula rotundifolia",1,1504,1,0,1,0,"","",20007
2020-07-09,54,"Campanula rotundifolia",1,1533,4,0,3,1,"","; ; 1533+1565+1568+1694 records merged SN Jan 2021",20008
2020-07-09,54,"Campanula rotundifolia",1,1532,1,0,1,0,"","",20009
2020-07-09,54,"Campanula rotundifolia",1,1565,2,0,2,0,"","; 1565+1582 records merged SN Jan 2021",20010
2020-07-09,54,"Campanula rotundifolia",1,1536,1,1,0,0,"","",20012
2020-07-09,54,"Campanula rotundifolia",2,1513,3,1,1,0,"","",20013
2020-07-09,54,"Campanula rotundifolia",2,1561,2,0,1,0,"","",20014
2020-07-09,54,"Campanula rotundifolia",2,1570,1,1,0,0,"","",20015
2020-07-09,54,"Campanula rotundifolia",6,1526,1,0,0,1,"","",20016
2020-07-09,54,"Campanula rotundifolia",6,1563,7,1,1,4,"","",20017
2020-07-09,54,"Campanula rotundifolia",14,1511,1,1,0,0,"","1 budding stem",20018
2020-07-09,54,"Campanula rotundifolia",46,1562,3,2,0,0,"","",20019
2020-07-09,54,"Campanula rotundifolia",48,1535,1,0,0,1,"","pv",20020
2020-07-09,54,"Campanula rotundifolia",49,1551,3,0,0,0,"","2pv",20021
2020-07-09,54,"Campanula rotundifolia",50,1534,1,1,0,0,"","",20022
2020-07-09,54,"Campanula rotundifolia",50,1501,3,0,0,0,"","is not 1505; pv",20023
2020-07-09,54,"Campanula rotundifolia",50,1505,2,0,0,0,"","is not 1501; pv",20024
2020-07-09,54,"Campanula rotundifolia",71,1520,2,0,0,0,"","1pv",20025
2020-07-09,54,"Campanula rotundifolia",71,1557,1,0,0,0,"","pv",20026
2020-07-09,54,"Campanula rotundifolia",71,1567,2,0,0,0,"","1pv",20027
2020-07-09,54,"Campanula rotundifolia",31,1527,1,0,0,0,"","pv",20028
2020-07-09,54,"Campanula rotundifolia",31,1509,1,0,0,0,"","pv; will open tomorrow",20029
2020-07-13,61,"Campanula rotundifolia",1,1537,1,0,0,1,"x","pre-existing tag",20030
2020-07-13,61,"Campanula rotundifolia",1,1591,1,1,0,0,"","",20031
2020-07-13,61,"Campanula rotundifolia",2,1611,4,1,1,3,"","",20032
2020-07-13,61,"Campanula rotundifolia",2,1590,1,0,0,1,"","a possibly grazed 2nd stem",20033
2020-07-13,61,"Campanula rotundifolia",2,1588,1,0,0,0,"","pv",20034
2020-07-13,61,"Campanula rotundifolia",2,1598,1,0,0,1,"","",20035
2020-07-13,61,"Campanula rotundifolia",6,1515,2,0,0,0,"","pv",20036
2020-07-13,61,"Campanula rotundifolia",17,1594,2,0,0,0,"","pv",20037
2020-07-13,61,"Campanula rotundifolia",74,1599,1,0,0,0,"","pv",20038
2020-07-13,61,"Campanula rotundifolia",71,1512,2,0,1,0,"","1pv",20039
2020-07-13,61,"Campanula rotundifolia",2,1506,1,1,0,0,"","",20040
