"Plot","Year","Easting","Northing","svf","Date","Tag","N_infl","Fl_open","Fl_done","Note","JDay"
"10",2020,453776,4431372,0.91191826034882,"2020-06-21",1042,,1,,"",21
"10",2020,453776,4431372,0.91191826034882,"2020-06-21",1233,,2,1,"",21
"10",2020,453776,4431372,0.91191826034882,"2020-07-01",1233,,0,4,"",31
"10",2020,453776,4431372,0.91191826034882,"2020-06-27",1273,1,2,0,"",27
"10",2020,453776,4431372,0.91191826034882,"2020-07-01",1259,,0,2,"",31
"10",2020,453776,4431372,0.91191826034882,"2020-06-21",1259,,1,0,"",21
"10",2020,453776,4431372,0.91191826034882,"2020-07-01",1042,,2,2,"",31
"10",2020,453776,4431372,0.91191826034882,"2020-06-24",1233,,4,2,"",24
"10",2020,453776,4431372,0.91191826034882,"2020-07-05",1273,,0,1,"",35
"10",2020,453776,4431372,0.91191826034882,"2020-06-24",1042,2,2,0,"",24
"10",2020,453776,4431372,0.91191826034882,"2020-07-05",1259,,0,1,"",35
"10",2020,453776,4431372,0.91191826034882,"2020-07-05",1233,,0,4,"",35
"10",2020,453776,4431372,0.91191826034882,"2020-07-05",1042,,0,4,"",35
"10",2020,453776,4431372,0.91191826034882,"2020-06-27",1233,,1,5,"",27
"10",2020,453776,4431372,0.91191826034882,"2020-07-09",1273,,0,1,"",39
"10",2020,453776,4431372,0.91191826034882,"2020-06-24",1259,1,2,0,"",24
"10",2020,453776,4431372,0.91191826034882,"2020-07-09",1042,,0,4,"",39
"10",2020,453776,4431372,0.91191826034882,"2020-06-27",1042,,4,0,"",27
"10",2020,453776,4431372,0.91191826034882,"2020-06-27",1259,,1,1,"",27
"10",2020,453776,4431372,0.91191826034882,"2020-07-01",1273,,1,1,"",31
"10",2020,453776,4431372,0.91191826034882,"2020-06-24",1273,1,2,0,"1 dud/aborted",24
"10",2021,453845,4431337,0.968893300527178,"2021-07-05",1217,2,1,12,"",35
"10",2021,453845,4431337,0.968893300527178,"2021-06-25",1217,2,11,0,"",25
"10",2021,453845,4431337,0.968893300527178,"2021-06-21",1217,1,1,0,"yv",21
"10",2021,453845,4431337,0.968893300527178,"2021-06-28",1217,2,11,0,"",28
"10",2021,453845,4431337,0.968893300527178,"2021-07-08",1217,2,0,12,"[done flower count edited due to note sn jan 2023]",38
"10",2021,453845,4431337,0.968893300527178,"2021-07-15",1217,2,0,12,"",45
"10",2021,453845,4431337,0.968893300527178,"2021-07-01",1217,2,12,1,"",31
"10",2021,453845,4431337,0.968893300527178,"2021-07-12",1217,2,0,12,"second stem likely missed before (2;0;12)",42
"104",2022,453928,4431329,0.960312964526783,"2022-06-16",2019,1,1,3,"",16
"104",2022,453928,4431329,0.960312964526783,"2022-06-27",2089,1,2,0,"",27
"104",2022,453928,4431329,0.960312964526783,"2022-06-20",2055,1,1,0,"",20
"104",2022,453928,4431329,0.960312964526783,"2022-06-23",2019,1,0,4,"",23
"104",2022,453928,4431329,0.960312964526783,"2022-06-27",2091,1,1,0,"",27
"104",2022,453928,4431329,0.960312964526783,"2022-06-20",2060,1,1,1,"",20
"104",2022,453928,4431329,0.960312964526783,"2022-06-20",2062,1,2,0,"",20
"104",2022,453928,4431329,0.960312964526783,"2022-06-13",2019,1,4,0,"",13
"104",2022,453928,4431329,0.960312964526783,"2022-06-30",2091,1,0,2,"",30
"104",2022,453928,4431329,0.960312964526783,"2022-06-27",2062,1,0,4,"",27
"104",2022,453928,4431329,0.960312964526783,"2022-06-30",2055,1,0,1,"",30
"104",2022,453928,4431329,0.960312964526783,"2022-06-30",2062,1,0,3,"",30
"104",2022,453928,4431329,0.960312964526783,"2022-06-27",2060,1,0,2,"",27
"104",2022,453928,4431329,0.960312964526783,"2022-06-20",2019,1,0,4,"",20
"104",2022,453928,4431329,0.960312964526783,"2022-06-23",2026,2,0,3,"prev should be 212",23
"104",2022,453928,4431329,0.960312964526783,"2022-06-16",2026,1,1,1,"yv",16
"104",2022,453928,4431329,0.960312964526783,"2022-06-30",2089,1,2,0,"",30
"104",2022,453928,4431329,0.960312964526783,"2022-06-23",2091,1,2,0,"florivory",23
"104",2022,453928,4431329,0.960312964526783,"2022-06-20",2026,1,1,2,"",20
"104",2022,453928,4431329,0.960312964526783,"2022-06-20",2049,1,0,2,"",20
"104",2022,453928,4431329,0.960312964526783,"2022-06-23",2062,1,4,0,"",23
"104",2022,453928,4431329,0.960312964526783,"2022-06-16",2049,1,0,2,"",16
"104",2022,453928,4431329,0.960312964526783,"2022-07-04",2089,1,0,2,"",34
"104",2022,453928,4431329,0.960312964526783,"2022-07-04",2091,1,0,2,"",34
"104",2022,453928,4431329,0.960312964526783,"2022-06-23",2060,1,0,2,"",23
"104",2022,453928,4431329,0.960312964526783,"2022-06-27",2026,2,0,3,"",27
"104",2022,453928,4431329,0.960312964526783,"2022-06-23",2049,1,0,2,"",23
"104",2022,453928,4431329,0.960312964526783,"2022-06-23",2055,1,1,0,"",23
"104",2022,453928,4431329,0.960312964526783,"2022-06-27",2055,1,0,1,"",27
"104",2022,453928,4431329,0.960312964526783,"2022-07-07",2089,1,0,2,"",37
"105",2022,453919,4431347,0.809293246484331,"2022-07-11",2149,1,0,1,"",41
"105",2022,453919,4431347,0.809293246484331,"2022-07-14",2101,1,0,3,"",44
"105",2022,453919,4431347,0.809293246484331,"2022-07-14",2114,1,0,8,"",44
"105",2022,453919,4431347,0.809293246484331,"2022-07-07",2101,1,3,0,"",37
"105",2022,453919,4431347,0.809293246484331,"2022-07-14",2142,1,0,3,"",44
"105",2022,453919,4431347,0.809293246484331,"2022-07-04",2114,1,5,0,"",34
"105",2022,453919,4431347,0.809293246484331,"2022-07-11",2142,1,0,3,"",41
"105",2022,453919,4431347,0.809293246484331,"2022-07-07",2149,1,1,0,"",37
"105",2022,453919,4431347,0.809293246484331,"2022-07-07",2129,1,1,0,"",37
"105",2022,453919,4431347,0.809293246484331,"2022-07-04",2149,1,1,0,"",34
"105",2022,453919,4431347,0.809293246484331,"2022-07-07",2142,1,3,0,"",37
"105",2022,453919,4431347,0.809293246484331,"2022-07-11",2114,1,0,8,"",41
"105",2022,453919,4431347,0.809293246484331,"2022-07-04",2142,1,3,0,"",34
"105",2022,453919,4431347,0.809293246484331,"2022-07-07",2114,1,8,0,"",37
"105",2022,453919,4431347,0.809293246484331,"2022-07-04",2101,1,2,0,"",34
"105",2022,453919,4431347,0.809293246484331,"2022-07-11",2129,1,0,1,"",41
"105",2022,453919,4431347,0.809293246484331,"2022-07-18",2149,1,0,1,,48
"105",2022,453919,4431347,0.809293246484331,"2022-07-11",2101,1,1,2,"",41
"105",2022,453919,4431347,0.809293246484331,"2022-07-14",2149,1,0,1,"",44
"107",2022,453936,4431366,0.800972791723106,"2022-06-27",2118,1,5,0,"",27
"107",2022,453936,4431366,0.800972791723106,"2022-07-07",2118,1,0,7,"",37
"107",2022,453936,4431366,0.800972791723106,"2022-07-04",2118,1,2,5,"",34
"107",2022,453936,4431366,0.800972791723106,"2022-07-11",2118,1,0,7,"",41
"107",2022,453936,4431366,0.800972791723106,"2022-06-23",2118,1,3,0,"",23
"107",2022,453936,4431366,0.800972791723106,"2022-06-30",2118,1,6,1,"",30
"111",2022,453859,4431324,0.963635278268091,"2022-06-27",2028,1,0,3,"",27
"111",2022,453859,4431324,0.963635278268091,"2022-06-23",2028,1,0,3,"",23
"111",2022,453859,4431324,0.963635278268091,"2022-06-20",2028,1,3,0,"",20
"111",2022,453859,4431324,0.963635278268091,"2022-06-16",2028,1,2,0,"",16
"117",2022,453906,4431429,0.830413839482331,"2022-07-18",2131,1,0,2,,48
"117",2022,453906,4431429,0.830413839482331,"2022-07-11",2131,1,2,0,"",41
"117",2022,453906,4431429,0.830413839482331,"2022-07-21",2131,1,0,2,"",51
"117",2022,453906,4431429,0.830413839482331,"2022-07-14",2131,1,0,2,"",44
"118",2022,453889,4431433,0.852253244833108,"2022-06-20",2029,1,3,2,"",20
"118",2022,453889,4431433,0.852253244833108,"2022-06-20",2025,1,2,2,"",20
"118",2022,453889,4431433,0.852253244833108,"2022-06-23",2007,1,0,2,"",23
"118",2022,453889,4431433,0.852253244833108,"2022-06-13",2007,1,4,0,"kinked stem",13
"118",2022,453889,4431433,0.852253244833108,"2022-06-13",2024,5,26,5,"yv; stem kinked",13
"118",2022,453889,4431433,0.852253244833108,"2022-06-09",2016,1,2,0,"yv",9
"118",2022,453889,4431433,0.852253244833108,"2022-06-23",2024,6,4,19,"",23
"118",2022,453889,4431433,0.852253244833108,"2022-06-27",2029,1,0,6,"",27
"118",2022,453889,4431433,0.852253244833108,"2022-06-20",2024,5,11,11,"",20
"118",2022,453889,4431433,0.852253244833108,"2022-06-20",2016,3,5,7,"",20
"118",2022,453889,4431433,0.852253244833108,"2022-06-13",2029,1,1,0,"",13
"118",2022,453889,4431433,0.852253244833108,"2022-06-13",2016,2,10,1,"",13
"118",2022,453889,4431433,0.852253244833108,"2022-06-30",2029,1,0,6,"",30
"118",2022,453889,4431433,0.852253244833108,"2022-06-23",2029,1,1,5,"",23
"118",2022,453889,4431433,0.852253244833108,"2022-06-23",2016,3,0,12,"",23
"118",2022,453889,4431433,0.852253244833108,"2022-06-23",2025,2,0,5,"",23
"118",2022,453889,4431433,0.852253244833108,"2022-06-16",2024,7,18,15,"",16
"118",2022,453889,4431433,0.852253244833108,"2022-06-09",2024,1,3,0,"2yv",9
"118",2022,453889,4431433,0.852253244833108,"2022-06-16",2041,2,4,0,"",16
"118",2022,453889,4431433,0.852253244833108,"2022-06-23",2041,2,4,7,"",23
"118",2022,453889,4431433,0.852253244833108,"2022-06-20",2007,1,0,3,"",20
"118",2022,453889,4431433,0.852253244833108,"2022-06-16",2029,1,4,0,"",16
"118",2022,453889,4431433,0.852253244833108,"2022-06-20",2041,2,8,0,"",20
"118",2022,453889,4431433,0.852253244833108,"2022-07-04",2041,2,0,11,"",34
"118",2022,453889,4431433,0.852253244833108,"2022-06-16",2025,2,4,1,"",16
"118",2022,453889,4431433,0.852253244833108,"2022-06-16",2016,3,9,6,"accidentally knocked off 2 done (counted)",16
"118",2022,453889,4431433,0.852253244833108,"2022-06-16",2007,1,1,2,"",16
"118",2022,453889,4431433,0.852253244833108,"2022-06-27",2041,2,3,8,"",27
"118",2022,453889,4431433,0.852253244833108,"2022-06-30",2041,2,0,11,"",30
"118",2022,453889,4431433,0.852253244833108,"2022-06-13",2025,1,1,2,"",13
"12",2020,453741,4431377,0.93606252280701,"2020-06-14",1048,2,1,0,"flw looks awful",14
"123",2022,453826,4431464,0.770830943274,"2022-06-30",2097,1,4,1,"",30
"123",2022,453826,4431464,0.770830943274,"2022-07-11",2097,1,0,5,"",41
