"Date","Plot","Tag","N_infl","Fl_open","Fl_done","Q","Page","Notes","RecordID"
2022-06-09,118,2025,0,0,0,NA,"1","2yv",30765
2022-06-09,118,2007,0,0,0,NA,"1","yv",30766
2022-06-09,118,2024,1,3,0,NA,"1","2yv",30767
2022-06-09,118,2016,1,2,0,NA,"1","yv",30768
2022-06-09,169,2014,0,0,0,NA,"1","yv",30769
2022-06-09,169,2004,0,0,0,NA,"1","yv; kinked stem",30770
2022-06-09,169,2006,0,0,0,NA,"1","yv",30771
2022-06-09,169,2023,0,0,0,NA,"1","yv",30772
2022-06-09,169,2021,0,0,0,NA,"1","2yv",30773
2022-06-13,163,2038,0,0,0,NA,"1","yv; 2038/2088 records merged SN Jan 2023",30788
2022-06-13,118,2007,1,4,0,NA,"3","kinked stem",30001
2022-06-13,118,2016,2,10,1,NA,"3","",30002
2022-06-13,118,2024,5,26,5,NA,"3","yv; stem kinked",30003
2022-06-13,118,2025,1,1,2,NA,"3","",30004
2022-06-13,169,2004,1,0,5,NA,"3","seems prematurely done (stem dried)",30005
2022-06-13,169,2006,2,4,0,NA,"3","yv",30006
2022-06-13,169,2014,1,5,0,NA,"3","2yv",30007
2022-06-13,169,2021,2,7,0,NA,"3","",30008
2022-06-13,169,2023,1,4,0,NA,"3","2yv",30009
2022-06-13,104,2026,0,0,0,NA,"1","2yv",30774
2022-06-13,104,2019,1,4,0,NA,"1","",30775
2022-06-13,104,2049,0,0,0,NA,"1","yv",30776
2022-06-13,111,2028,0,0,0,NA,"1","yv",30777
2022-06-13,118,2029,1,1,0,NA,"1","",30778
2022-06-13,118,2041,0,0,0,NA,"1","2yv",30779
2022-06-13,127,2027,0,0,0,NA,"1","2yv",30780
2022-06-13,127,2001,0,0,0,NA,"1","yv",30781
2022-06-13,152,2018,0,0,0,NA,"1","yv",30782
2022-06-13,152,2030,0,0,0,NA,"1","yv",30783
2022-06-13,152,2033,0,0,0,NA,"1","yv",30784
2022-06-13,154,2047,0,0,0,NA,"1","yv",30785
2022-06-13,154,2043,0,0,0,NA,"1","yv; in gopher mound",30786
2022-06-13,163,2035,0,0,0,NA,"1","yv",30787
2022-06-13,164,2036,0,0,0,NA,"1","yv",30789
2022-06-13,164,2045,0,0,0,NA,"1","yv",30790
2022-06-13,164,2020,0,0,0,NA,"1","2yv",30791
2022-06-13,164,2003,0,0,0,NA,"1","yv",30792
2022-06-13,164,2039,0,0,0,NA,"1","yv",30793
2022-06-13,164,2031,1,3,0,NA,"1","2yv; observed pollination",30794
2022-06-13,164,2050,0,0,0,NA,"1","yv",30795
2022-06-13,164,2048,0,0,0,NA,"1","2y",30796
2022-06-13,164,2046,0,0,0,NA,"1","2yv; N neighbor is out",30797
2022-06-13,169,2022,0,0,0,NA,"2","yv",30798
2022-06-13,169,2034,0,0,0,NA,"2","yv; kinked stem",30799
2022-06-13,170,2005,1,2,0,NA,"2","N neighbors are out",30800
2022-06-13,170,2042,0,0,0,NA,"2","yv",30801
2022-06-13,170,2012,0,0,0,NA,"2","yv",30802
2022-06-13,170,2044,0,0,0,NA,"2","yv",30803
2022-06-13,170,2040,0,0,0,NA,"2","4yv",30804
2022-06-13,170,2013,0,0,0,NA,"2","yv",30805
2022-06-13,170,2002,0,0,0,NA,"2","3yv",30806
2022-06-13,170,2037,0,0,0,NA,"2","yv",30807
2022-06-13,170,2202,1,3,0,NA,"2","[dupe tag changed 2035->2202 jan 2023]",30808
2022-06-13,170,2032,2,4,0,NA,"2","",30809
2022-06-13,170,2017,1,2,0,NA,"2","yv",30810
2022-06-13,170,2011,0,0,0,NA,"2","yv",30811
2022-06-13,170,2008,0,0,0,NA,"2","yv",30812
2022-06-16,163,2038,0,0,0,NA,"5;4",";yv; 2038/2088 records merged SN Jan 2023",30028
2022-06-16,104,2019,1,1,3,NA,"5","",30010
2022-06-16,104,2026,1,1,1,NA,"5","yv",30011
2022-06-16,104,2049,1,0,2,NA,"5","",30012
2022-06-16,111,2028,1,2,0,NA,"5","",30013
2022-06-16,118,2007,1,1,2,NA,"5","",30014
2022-06-16,118,2016,3,9,6,NA,"5","accidentally knocked off 2 done (counted)",30015
2022-06-16,118,2024,7,18,15,NA,"5","",30016
2022-06-16,118,2025,2,4,1,NA,"5","",30017
2022-06-16,118,2029,1,4,0,NA,"5","",30018
2022-06-16,118,2041,2,4,0,NA,"5","",30019
2022-06-16,127,2001,1,1,0,NA,"5","2yv",30020
2022-06-16,127,2027,1,2,0,NA,"5","1 yv; weevil picture",30021
2022-06-16,152,2018,1,3,0,NA,"5","",30022
2022-06-16,152,2030,1,1,0,NA,"5","",30023
2022-06-16,152,2033,1,2,0,NA,"5","",30024
2022-06-16,154,2043,0,0,0,NA,"5","2yv",30025
2022-06-16,154,2047,0,0,0,NA,"5","yv",30026
2022-06-16,163,2035,0,0,0,NA,"5","",30027
