Page,Date,Species,Plot,Tag,Racemes,Infl_spread,Infl_done,Twist.ties,Q,Note
19,6/24/20,Thermopsis divaricarpa,2,1007,,4,0,,,
19,6/24/20,Thermopsis divaricarpa,2,1008,,1,0,,,
19,6/24/20,Thermopsis divaricarpa,2,1009,,6,0,,,
19,6/24/20,Thermopsis divaricarpa,2,1054,,1,2,,,2 duds
19,6/24/20,Thermopsis divaricarpa,6,1001,,2,2,,,
19,6/24/20,Thermopsis divaricarpa,10,1233,,4,2,,,
19,6/24/20,Thermopsis divaricarpa,12,1048,,,,,x,wrong plot?
19,6/24/20,Thermopsis divaricarpa,12,1146,,,,,x,wrong plot?
19,6/24/20,Thermopsis divaricarpa,14,1070,,0,6,whdone,,
19,6/24/20,Thermopsis divaricarpa,14,1077,,4,11,,,
19,6/24/20,Thermopsis divaricarpa,14,1081,,0,6,,,
19,6/24/20,Thermopsis divaricarpa,14,1120,,1,11,,,
19,6/24/20,Thermopsis divaricarpa,14,1160,,0,6,,,1 seed broken off when I arrived
19,6/24/20,Thermopsis divaricarpa,14,1174,,3,5,whdone,,
19,6/24/20,Thermopsis divaricarpa,14,1212,,1,4,whdone,,
19,6/24/20,Thermopsis divaricarpa,14,1218,,0,3,,,1 aborted
19,6/24/20,Thermopsis divaricarpa,14,1219,,5,3,,,
19,6/24/20,Thermopsis divaricarpa,21,1033,,0,0,,,yv
19,6/24/20,Thermopsis divaricarpa,22,1043,,0,0,,,aborted
19,6/24/20,Thermopsis divaricarpa,22,1056,,0,0,,,yv
19,6/24/20,Thermopsis divaricarpa,22,1060,,0,0,,,yv
19,6/24/20,Thermopsis divaricarpa,22,1065,,2,0,,,
19,6/24/20,Thermopsis divaricarpa,22,1077,,2,0,,,tag is 1071
19,6/24/20,Thermopsis divaricarpa,22,1079,,0,0,,,yv
19,6/24/20,Thermopsis divaricarpa,22,1119,,0,0,,,
19,6/24/20,Thermopsis divaricarpa,22,1297,,1,0,,,fl is 1
19,6/24/20,Thermopsis divaricarpa,23,1272,2,1,0,,,
19,6/24/20,Thermopsis divaricarpa,24,1296,,,,,,
19,6/24/20,Thermopsis divaricarpa,25,1075,,0,1,,,
19,6/24/20,Thermopsis divaricarpa,25,1081,,,,,,can't find
20,6/24/20,Thermopsis divaricarpa,25,1105,,,,,,grazed; collected
20,6/24/20,Thermopsis divaricarpa,25,1106,,4,2,whdone,,tt peduncle broken
20,6/24/20,Thermopsis divaricarpa,25,1113,,1,2,,,
20,6/24/20,Thermopsis divaricarpa,25,1116,,0,1,,,1 gone/lost uncounted
20,6/24/20,Thermopsis divaricarpa,26,1250,,1,0,,,
20,6/24/20,Thermopsis divaricarpa,27,1061,,2,2,,,
20,6/24/20,Thermopsis divaricarpa,27,1092,2,11,0,,x,check rac count; 2 counted
20,6/24/20,Thermopsis divaricarpa,30,1255,,0,0,,,yv
20,6/24/20,Thermopsis divaricarpa,31,1094,,7,3,whdone,,spider; ants
20,6/24/20,Thermopsis divaricarpa,31,1099,,,,,,grazed; collected
20,6/24/20,Thermopsis divaricarpa,31,1100,,2,0,,,
20,6/24/20,Thermopsis divaricarpa,31,1101,,3,3,whdone,,
20,6/24/20,Thermopsis divaricarpa,31,1107,,8,0,,,ants
20,6/24/20,Thermopsis divaricarpa,31,1238,,,,,,can't find
20,6/24/20,Thermopsis divaricarpa,33,1059,,8,0,whop,,
20,6/24/20,Thermopsis divaricarpa,33,1266,,0,0,,,1yv
20,6/24/20,Thermopsis divaricarpa,43,1246,,0,0,,,1yv
20,6/24/20,Thermopsis divaricarpa,43,1278,,0,0,,,1yv
20,6/24/20,Thermopsis divaricarpa,43,1285,,0,0,,,yv
20,6/24/20,Thermopsis divaricarpa,43,1290,,0,0,,,yv
20,6/24/20,Thermopsis divaricarpa,43,1292,,0,0,,,yv
20,6/24/20,Thermopsis divaricarpa,43,1293,,3,0,,,
20,6/24/20,Thermopsis divaricarpa,44,1154,,1,2,whdone,,
20,6/24/20,Thermopsis divaricarpa,45,1257,,2,0,,,
20,6/24/20,Thermopsis divaricarpa,45,1264,,2,0,,,1 dud
20,6/24/20,Thermopsis divaricarpa,45,1265,,0,0,,,yv
20,6/24/20,Thermopsis divaricarpa,45,1275,,3,0,,,
20,6/24/20,Thermopsis divaricarpa,46,1029,,0,5,whdone,,
20,6/24/20,Thermopsis divaricarpa,46,1087,,10,8,,x,[record hard to read]
20,6/24/20,Thermopsis divaricarpa,46,1115,,0,3,,,
21,6/24/20,Thermopsis divaricarpa,46,1224,2,1,0,,x,where are dones from prev record?
21,6/24/20,Thermopsis divaricarpa,47,1066,,2,0,,,
21,6/24/20,Thermopsis divaricarpa,47,1083,,,,,,bad records
21,6/24/20,Thermopsis divaricarpa,47,1085,,,,,,bad records
21,6/24/20,Thermopsis divaricarpa,47,1086,,2,0,,,
21,6/24/20,Thermopsis divaricarpa,47,1093,,0,0,,,yv
21,6/24/20,Thermopsis divaricarpa,47,1095,,,,,,bad records
21,6/24/20,Thermopsis divaricarpa,47,1102,,,,,,bad records
21,6/24/20,Thermopsis divaricarpa,47,1117,,,,,,bad records
21,6/24/20,Thermopsis divaricarpa,47,1118,,1,0,,,
21,6/24/20,Thermopsis divaricarpa,47,1156,,7,0,,,
21,6/24/20,Thermopsis divaricarpa,47,1229,,,,,,can't find
