Page,Date,Species,Plot,Tag,Stms,Fl_straight,Fl_curled,Fl_done,Q,Note
73,7/21/20,Campanula rotundifolia,1,1504,,0,0,3,,
73,7/21/20,Campanula rotundifolia,1,1532,,0,0,3,,
73,7/21/20,Campanula rotundifolia,1,1533,,0,0,3,,1 grazed
73,7/21/20,Campanula rotundifolia,1,1536,,0,0,1,,
73,7/21/20,Campanula rotundifolia,1,1537,,0,0,1,,
73,7/21/20,Campanula rotundifolia,1,1548,,0,0,1,,
73,7/21/20,Campanula rotundifolia,1,1565,,0,0,3,,
73,7/21/20,Campanula rotundifolia,1,1568,,,,,,
73,7/21/20,Campanula rotundifolia,1,1582,,0,0,2,,
73,7/21/20,Campanula rotundifolia,1,1591,,0,0,1,,
73,7/21/20,Campanula rotundifolia,2,1506,,,,,,
73,7/21/20,Campanula rotundifolia,2,1513,4,0,1,5,,
73,7/21/20,Campanula rotundifolia,2,1530,,,,,,is 1570; iggy
73,7/21/20,Campanula rotundifolia,2,1561,,0,0,1,,
73,7/21/20,Campanula rotundifolia,2,1570,,1,0,1,,
73,7/21/20,Campanula rotundifolia,2,1588,,0,0,1,,
73,7/21/20,Campanula rotundifolia,2,1590,,0,0,2,,
73,7/21/20,Campanula rotundifolia,2,1598,,0,0,1,,
73,7/21/20,Campanula rotundifolia,2,1611,4,0,0,4,,
73,7/21/20,Campanula rotundifolia,3,1607,,0,0,1,,mc
73,7/21/20,Campanula rotundifolia,5,1549,,1,1,0,,
73,7/21/20,Campanula rotundifolia,5,1637,,0,0,1,,mid-shriv
73,7/21/20,Campanula rotundifolia,6,1515,,0,0,3,,
73,7/21/20,Campanula rotundifolia,6,1526,,0,0,3,,mc
73,7/21/20,Campanula rotundifolia,6,1563,9,3,3,32,,
73,7/21/20,Campanula rotundifolia,8,1639,,0,0,1,,mc; OUTSIDE NE
73,7/21/20,Campanula rotundifolia,9,1613,2,0,0,2,,mc
73,7/21/20,Campanula rotundifolia,10,1525,,1,0,0,,
73,7/21/20,Campanula rotundifolia,14,1511,,0,0,4,,
73,7/21/20,Campanula rotundifolia,17,1594,2,0,0,2,,mc
74,7/21/20,Campanula rotundifolia,18,1566,2,0,1,0,,
74,7/21/20,Campanula rotundifolia,18,1575,,0,1,0,,
74,7/21/20,Campanula rotundifolia,22,1608,,0,0,1,,
74,7/21/20,Campanula rotundifolia,25,1560,,0,0,0,,grazed
74,7/21/20,Campanula rotundifolia,25,1569,,,,,,can't find
74,7/21/20,Campanula rotundifolia,31,1502,,0,1,0,,
74,7/21/20,Campanula rotundifolia,31,1507,5,0,1,4,,
74,7/21/20,Campanula rotundifolia,31,1509,,0,0,1,,
74,7/21/20,Campanula rotundifolia,31,1510,1,0,0,1,x,only 1 fl stem; improve/note
74,7/21/20,Campanula rotundifolia,31,1527,,0,0,1,,
74,7/21/20,Campanula rotundifolia,31,1553,1,0,0,1,,
74,7/21/20,Campanula rotundifolia,31,1564,1,2,0,0,,
74,7/21/20,Campanula rotundifolia,31,1589,2,0,0,2,,
74,7/21/20,Campanula rotundifolia,31,1631,,0,1,0,,curled stigma
74,7/21/20,Campanula rotundifolia,32,1554,1,2,1,,,
74,7/21/20,Campanula rotundifolia,32,1595,2,2,1,1,,
74,7/21/20,Campanula rotundifolia,32,1614,1,0,0,1,,pv tomorrow
74,7/21/20,Campanula rotundifolia,32,1618,,0,0,1,,
74,7/21/20,Campanula rotundifolia,32,1627,2,0,0,1,,1pv
74,7/21/20,Campanula rotundifolia,32,1635,11,3,0,2,,
74,7/21/20,Campanula rotundifolia,33,1503,,1,0,2,,curved stigma
74,7/21/20,Campanula rotundifolia,33,1508,1,0,0,0,,grazed
74,7/21/20,Campanula rotundifolia,33,1516,1,2,0,1,,
74,7/21/20,Campanula rotundifolia,33,1518,1,0,1,1,,
74,7/21/20,Campanula rotundifolia,33,1521,4,0,0,0,,
74,7/21/20,Campanula rotundifolia,33,1529,3,2,1,2,,
74,7/21/20,Campanula rotundifolia,33,1540,1,0,0,1,,
74,7/21/20,Campanula rotundifolia,33,1547,1,0,1,1,,
74,7/21/20,Campanula rotundifolia,33,1550,2,0,0,2,,
74,7/21/20,Campanula rotundifolia,33,1552,,,,,,can't find
74,7/21/20,Campanula rotundifolia,33,1555,2,0,2,1,,1pv
75,7/21/20,Campanula rotundifolia,33,1558,1,0,0,1,,mc
75,7/21/20,Campanula rotundifolia,33,1578,1,0,0,1,,
75,7/21/20,Campanula rotundifolia,33,1597,1,0,0,0,,grazed
75,7/21/20,Campanula rotundifolia,33,1602,1,1,1,1,,
75,7/21/20,Campanula rotundifolia,33,1616,,0,0,1,,
75,7/21/20,Campanula rotundifolia,33,1617,,0,0,2,,
75,7/21/20,Campanula rotundifolia,33,1634,,0,1,0,,
75,7/21/20,Campanula rotundifolia,33,1678,,,,,x,is 1576? Typo? Improve; tag did not exist yet
75,7/21/20,Campanula rotundifolia,42,1583,,0,0,1,,
75,7/21/20,Campanula rotundifolia,44,1604,,1,0,2,,
75,7/21/20,Campanula rotundifolia,45,1531,,1,1,3,,
75,7/21/20,Campanula rotundifolia,45,1571,,1,1,1,,
75,7/21/20,Campanula rotundifolia,45,1573,3,1,1,6,,
75,7/21/20,Campanula rotundifolia,45,1574,3,3,0,3,,1pv tomorrow
75,7/21/20,Campanula rotundifolia,45,1592,,,,,,can't find
75,7/21/20,Campanula rotundifolia,45,1600,2,0,0,1,,1pv
75,7/21/20,Campanula rotundifolia,45,1601,4,3,1,2,,
75,7/21/20,Campanula rotundifolia,45,1606,,0,0,1,,1grazed
75,7/21/20,Campanula rotundifolia,45,1624,,0,0,2,,
75,7/21/20,Campanula rotundifolia,45,1630,,0,0,2,,
75,7/21/20,Campanula rotundifolia,46,1562,3,0,0,3,,
75,7/21/20,Campanula rotundifolia,46,1586,5,1,1,4,,
75,7/21/20,Campanula rotundifolia,46,1636,,0,0,1,,
75,7/21/20,Campanula rotundifolia,47,1514,2,0,1,1,,
75,7/21/20,Campanula rotundifolia,47,1587,,0,0,1,,mc
75,7/21/20,Campanula rotundifolia,48,1535,3,0,1,11,,
75,7/21/20,Campanula rotundifolia,49,1551,4,1,3,8,,
75,7/21/20,Campanula rotundifolia,49,1621,,0,0,1,,mc
75,7/21/20,Campanula rotundifolia,50,1501,2,0,0,2,,
75,7/21/20,Campanula rotundifolia,50,1505,2,1,0,2,,purple stigma; 1 flw tomorrow
75,7/21/20,Campanula rotundifolia,50,1517,,2,0,0,,
76,7/21/20,Campanula rotundifolia,50,1534,2,1,0,3,,
76,7/21/20,Campanula rotundifolia,50,1538,1,0,0,1,,
76,7/21/20,Campanula rotundifolia,50,1581,2,0,0,1,,1pv
76,7/21/20,Campanula rotundifolia,50,1585,,,,,,
76,7/21/20,Campanula rotundifolia,50,1615,2,0,0,2,,
76,7/21/20,Campanula rotundifolia,50,1628,,0,1,0,,
76,7/21/20,Campanula rotundifolia,53,1519,0,0,0,0,,2 stems gone/grazed
76,7/21/20,Campanula rotundifolia,53,1522,,,,,,iggy; is out
76,7/21/20,Campanula rotundifolia,53,1523,,1,0,0,,
76,7/21/20,Campanula rotundifolia,53,1524,1,0,0,1,,mc
76,7/21/20,Campanula rotundifolia,53,1584,,0,0,1,,mc
76,7/21/20,Campanula rotundifolia,53,1612,1,0,0,1,,
76,7/21/20,Campanula rotundifolia,53,1626,,0,0,1,,
76,7/21/20,Campanula rotundifolia,68,1539,,0,0,1,,
76,7/21/20,Campanula rotundifolia,68,1545,1,0,0,1,,
76,7/21/20,Campanula rotundifolia,68,1622,,1,0,1,,
76,7/21/20,Campanula rotundifolia,71,1512,2,2,2,2,,
76,7/21/20,Campanula rotundifolia,71,1520,,1,2,5,,
76,7/21/20,Campanula rotundifolia,71,1557,,2,0,4,,
76,7/21/20,Campanula rotundifolia,71,1567,,0,1,2,,
76,7/21/20,Campanula rotundifolia,71,1579,,0,0,1,,
76,7/21/20,Campanula rotundifolia,71,1580,,1,0,1,,
76,7/21/20,Campanula rotundifolia,74,1599,1,0,0,1,,
76,7/21/20,Campanula rotundifolia,74,1633,,0,1,0,,
76,7/21/20,Campanula rotundifolia,74,1638,,0,0,2,,
76,7/21/20,Campanula rotundifolia,75,1632,6,0,1,5,,pv tomorrow; OUTSIDE SE
76,7/21/20,Campanula rotundifolia,78,1603,1,1,0,0,,mc
76,7/21/20,Campanula rotundifolia,86,1623,1,1,0,0,,
76,7/21/20,Campanula rotundifolia,86,1625,,1,0,1,,
