Page,Date,Species,Plot,Tag,Racemes,Infl_spread,Infl_done,Twist.ties,Q,Note
66,7/17/20,Thermopsis divaricarpa,3,1186,,0,5,,,
66,7/17/20,Thermopsis divaricarpa,3,1188,,0,2,,,
66,7/17/20,Thermopsis divaricarpa,3,1200,,0,6,,,spider web
66,7/17/20,Thermopsis divaricarpa,5,1129,,0,1,,,
66,7/17/20,Thermopsis divaricarpa,20,1306,,0,1,,,
67,7/17/20,Thermopsis divaricarpa,24,1289,,0,0,,,grazed
67,7/17/20,Thermopsis divaricarpa,27,1179,,0,8,,,
67,7/17/20,Thermopsis divaricarpa,29,1300,,0,4,,,
67,7/17/20,Thermopsis divaricarpa,30,1194,,0,8,,,
67,7/17/20,Thermopsis divaricarpa,30,1255,,0,6,,,
67,7/17/20,Thermopsis divaricarpa,32,1309,,0,7,,,
67,7/17/20,Thermopsis divaricarpa,42,1141,,,,,,can't find (wtf)
68,7/17/20,Thermopsis divaricarpa,47,1118,,0,8,,,
68,7/17/20,Thermopsis divaricarpa,50,1183,,,,,,is 1186/1187?
68,7/17/20,Thermopsis divaricarpa,50,1247,,,,,,
68,7/17/20,Thermopsis divaricarpa,52,1307,,0,2,,,
68,7/17/20,Thermopsis divaricarpa,53,1314,,0,4,,,
68,7/17/20,Thermopsis divaricarpa,61,1125,,0,5,,,
68,7/17/20,Thermopsis divaricarpa,61,1170,,0,8,,,
69,7/17/20,Thermopsis divaricarpa,61,1288,,,,,,
69,7/17/20,Thermopsis divaricarpa,61,1295,,,,,,1294?
69,7/17/20,Thermopsis divaricarpa,61,1303,,0,,,,
69,7/17/20,Thermopsis divaricarpa,65,1130,,0,4,,,
69,7/17/20,Thermopsis divaricarpa,67,1204,,0,9,,,OUTSIDE SW
69,7/17/20,Thermopsis divaricarpa,69,1305,,0,3,,,
