Date,Plot,Tag,Fl_stems,Fl_open,Fl_done,Toothpick,Q,Page,Note
6/14/21,8,1157,0,0,0,r,,1,yv
6/14/21,8,1139,0,0,0,wwr,,1,yv
6/14/21,6,1128,0,0,0,w,,1,yv
6/14/21,37,1137,0,0,0,r,,1,yv
6/14/21,37,1140,0,0,0,wr,,1,yv
6/14/21,62,1181,0,0,0,wg,,1,yv
6/14/21,62,1150,0,0,0,w,,1,yv
6/14/21,62,1134,0,0,0,wy,,1,2yv
6/14/21,62,1151,0,0,0,byy,,1,2yv
6/14/21,73,1132,0,0,0,gg,,1,yv
6/14/21,73,1133,0,0,0,rob,,1,yv
6/14/21,73,1135,0,0,0,wb,,1,yv
6/14/21,73,1127,0,0,0,rb,,1,yv
6/14/21,74,1122,0,0,0,bg,,1,yv
6/14/21,74,1131,0,0,0,yy,,1,yv
6/17/21,71,1050,1,1,0,wggr,,1,spreading today
6/17/21,71,1308,1,1,0,oy,,1,
6/17/21,71,,0,0,0,ro,,1,yv; tag shortage
6/17/21,71,,0,0,0,ygg,,1,yv; tag shortage
6/17/21,71,,0,0,0,yr,,1,yv; tag shortage
6/17/21,73,1133,1,3,0,,,1,
6/17/21,73,1132,1,2,0,,,1,
6/17/21,73,1127,1,3,0,,,1,
6/17/21,73,,0,0,0,or,,1,yv
6/17/21,73,,0,0,0,rr,,1,yv
6/17/21,73,,0,0,0,y,,1,yv; by 1135 tp broke
6/17/21,73,,0,0,0,wwo,q,1,yv
6/17/21,74,1131,1,2,0,,,1,
6/17/21,74,1122,1,1,0,,,1,
6/17/21,74,,0,0,0,bb,,1,2yv
6/17/21,74,,0,0,0,bo,,1,yv
6/17/21,74,,0,0,0,by,,1,yv
6/17/21,74,,0,0,0,wwg,,1,yv
6/17/21,74,,0,0,0,w,,1,yv
6/17/21,74,,0,0,0,ry,,1,2yv
6/17/21,74,,0,0,0,wy,,1,yv
6/17/21,74,,0,0,0,wyy,,1,2yv
6/17/21,74,,0,0,0,www,,1,yv
6/17/21,74,,0,0,0,rob,,1,yv
6/17/21,62,1150,1,1,0,,,2,
6/17/21,62,1134,1,3,0,,,2,1yv
6/17/21,62,1220,1,2,0,yo,,2,is 1134? Chck tp dates
6/17/21,62,1151,2,4,0,,,2,
6/17/21,62,,0,0,0,wo,,2,3yv
6/17/21,62,,0,0,0,g,,2,yv
6/17/21,62,,0,0,0,wry,,2,3yv
6/17/21,62,,0,0,0,r,,2,yv
6/17/21,62,,0,0,0,wrr,,2,yv
6/17/21,59,,0,0,0,ww,,2,yv
6/17/21,59,,0,0,0,w,,2,yv
6/17/21,59,,0,0,0,g,,2,3yv
6/17/21,59,,0,0,0,o,,2,yv
6/17/21,59,,0,0,0,b,,2,2yv
6/17/21,37,1137,1,6,0,,,2,
6/17/21,37,1140,1,3,0,,,2,
6/17/21,37,1312,0,0,0,wyo,,2,yv
6/17/21,37,1310,0,0,0,ww,,2,yv
6/17/21,37,1190,0,0,0,wo,,2,yv
6/17/21,37,1185,0,0,0,gg,,2,yv
6/17/21,34,1124,0,0,0,g,,2,yv
6/17/21,28,1158,0,0,0,w,,2,yv
6/17/21,7,1144,0,0,0,b,,2,yv
6/17/21,7,1136,0,0,0,wg,,2,yv
6/17/21,7,1210,0,0,0,w,,2,yv
6/17/21,6,1128,1,4,0,,,2,1 counted fl is dud
6/17/21,6,1152,0,0,0,yv,,2,yv
6/17/21,6,1165,1,2,0,ww,,2,not spread but pollen is visible; [tp changed w->ww jun 21]
6/17/21,6,1211,0,0,0,w,[q],2,yv; CHECK TPs
6/17/21,10,1217,0,0,0,y,,2,
6/17/21,8,1157,1,1,0,,,2,
6/17/21,8,1307,0,0,0,wro,,2,yv
6/17/21,8,1313,0,0,0,g,,2,yv
6/17/21,8,1139,1,1,0,,,2,
6/17/21,8,1143,1,2,0,gw,,2,
6/17/21,8,1205,0,0,0,wy,,2,yv
6/21/21,70,1032,0,0,0,y,,3,2yv
6/21/21,70,1248,0,0,0,wr,,3,yv
6/21/21,71,1052,0,0,0,r,,3,yv
6/21/21,71,1005,0,0,0,wro,,3,yv
6/21/21,71,1106,2,1,1,yy,,3,acc snapped off 1 uncounted fl
6/21/21,71,1016,0,0,0,bo,,3,yv
6/21/21,71,1078,1,2,0,rro,,3,
6/21/21,73,1133,1,3,2,,,3,
6/21/21,73,1039,0,0,0,ygo,,3,yv
6/21/21,73,1107,1,2,0,,,3,
6/21/21,73,1067,0,0,0,wr,q,3,yv; tpq possibly ro but likely wr
6/21/21,74,1258,0,0,0,ro,[q],3,[tag hard to read]
6/21/21,74,1129,1,2,0,bwo,[q],3,[tp hard to read]
6/21/21,74,1297,2,9,0,ww,[i],3,[is equal to another tp - will need to combine at some point]
6/21/21,74,1033,1,1,0,y,,3,
6/21/21,75,,0,0,0,b,,3,yv
6/21/21,76,,0,0,0,b,,3,yv
6/21/21,76,,0,0,0,rg,,3,yv
6/21/21,76,1094,1,1,0,ww,,3,
6/21/21,76,1284,1,1,0,wb,,3,
6/21/21,79,1283,1,1,0,bo,,3,
6/21/21,57,1057,0,0,0,ww,,3,yv
6/21/21,57,,0,0,0,y,,3,yv
6/21/21,62,1065,1,1,0,wyr,,3,
6/21/21,62,1181,2,6,0,,,3,
6/21/21,62,1084,0,0,0,www,,3,yv
