"Date","Plot","Tag","Fl_stems","Fl_open","Fl_done","Q","Page","Note"
,6,1561,,,,,,
,6,1561,,,,,,
,6,1669,,,,,,
,6,1669,,,,,,
,6,1818,,,,,,
,6,1848,,,,,,
,6,1903,,,,,,
,7,1625,,,,,,
,7,1625,,,,,,
,7,1730,,,,,,
,7,1822,,,,,,
,7,1870,,,,,,
,7,1888,,,,,,
,7,1891,,,,,,
,17,1626,,,,,,
,17,1626,,,,,,
,17,1746,,,,,,
,17,1746,,,,,,
,17,1832,,,,,,
,26,1901,,,,,,
,37,1780,,,,,,
,37,1780,,,,,,
,37,1900,,,,,,
,53,1856,,,,,,
,53,1882,,,,,,
,53,1906,,,,,,
,53,1907,,,,,,
,53,1910,,,,,,
,67,1904,,,,,,
,71,1779,,,,,,
,71,1779,,,,,,
,71,1809,,,,,,
,71,1809,,,,,,
,71,1839,,,,,,
,71,1902,,,,,,
,71,1909,,,,,,
,73,1720,,,,,,
,73,1720,,,,,,
,73,1810,,,,,,
,73,1810,,,,,,
,74,1895,,,,,,
,74,1905,,,,,,
,82,1825,,,,,,
