Date,Plot,Tag,Fl_stems,Fl_open,Fl_done,Q,Page,Note
7/26/21,6,1561,2,2,5,,47,
7/26/21,6,1585,1,0,1,,47,
7/26/21,6,1669,0,0,0,,47,grazed/gone
7/26/21,6,1818,2,0,3,,47,bud
7/26/21,6,1848,2,1,1,,47,pv
7/26/21,6,1903,1,0,1,,47,bud
7/26/21,7,1625,2,2,1,,47,pv
7/26/21,7,1647,2,1,1,,47,
7/26/21,7,1683,1,1,0,,47,
7/26/21,7,1730,3,2,1,,47,
7/26/21,7,1751,3,0,3,,47,
7/26/21,7,1822,1,0,1,,47,pv
7/26/21,7,1865,1,0,1,,47,
7/26/21,7,1870,3,2,1,,47,2pv
7/26/21,7,1888,2,0,2,,47,bud
7/26/21,7,1891,1,0,1,,47,bud
7/26/21,10,1620,2,2,0,,47,
7/26/21,17,1626,1,0,1,,47,bud
7/26/21,17,1746,4,5,4,,47,pv
7/26/21,17,1832,11,5,5,,47,pv
7/26/21,26,1901,,,,,47,out; iggy
7/26/21,34,1569,1,1,0,,47,
7/26/21,37,1780,2,0,3,,47,pv
7/26/21,37,1900,2,0,2,,47,
7/26/21,38,1630,3,3,0,,47,
7/26/21,53,1629,0,0,0,,47,no sign of fl. Stem present
7/26/21,53,1856,0,0,0,,47,uprooted and collected
7/26/21,53,1876,2,0,2,,47,
7/26/21,53,1882,2,0,2,,47,bud
7/26/21,53,1906,,,,,47,can't find
7/26/21,53,1907,,,,,48,
7/26/21,53,1910,0,0,0,,48,uprooted and collected
7/26/21,66,1875,1,0,1,,48,pv
7/26/21,67,1904,2,2,0,,48,2pv
7/26/21,71,1779,1,5,1,,48,pv
7/26/21,71,1809,2,0,2,,48,pv
7/26/21,71,1839,1,0,1,,48,a grazed stem; pv
7/26/21,71,1902,1,0,1,,48,
7/26/21,71,1909,1,0,1,,48,
7/26/21,73,1720,3,0,3,,48,
7/26/21,73,1810,1,0,1,,48,
7/26/21,74,1714,1,0,1,,48,pv
7/26/21,74,1895,,,,,48,can't find
7/26/21,74,1905,3,4,5,,48,pv
7/26/21,82,1604,1,1,0,,48,pv
7/26/21,82,1742,1,1,0,,48,pv
7/26/21,82,1806,2,2,0,,48,pv
7/26/21,82,1825,1,1,0,,48,prev other stem gone
