Plot,Date,Snow,Placed,Flags,Note
1,5/22/21,yes,no,orf,
2,5/22/21,yes,no,none,
3,5/22/21,yes,yes,adj,
4,5/22/21,yes,no,orf,
5,5/22/21,yes,no,none,
6,5/22/21,no,yes,yes,
7,5/22/21,no,yes,yes,
8,5/22/21,yes,no,orf,
9,5/22/21,yes,yes,yes,1m NW
10,5/22/21,no,yes,yes,
11,5/22/21,yes,no,orf,
12,5/22/21,yes,no,orf,2m E
13,5/22/21,yes,no,orf,5m S
14,5/22/21,no,no,orf,
15,5/22/21,yes,no,orf,loc on map is guess
16,5/22/21,no,no,orf,
17,5/22/21,no,yes,yes,2 Cr present?
18,5/22/21,no,yes,yes,
19,5/22/21,no,nyes,yes,
20,5/22/21,yes,yes,adjust SW,snow present is thin
21,5/22/21,yes,no,orf (18),1m S
22,5/22/21,no,yes,yes,
23,5/22/21,yes,no,none,
24,5/22/21,no,yes,yes,
25,5/22/21,yes,no,,
26,5/22/21,no,yes,yes,
27,5/22/21,no,yes,yes,
28,5/22/21,no,yes,yes,
29,5/22/21,yes,no,orf,
30,5/22/21,yes,no,orf,1m W
31,5/22/21,yes,no,orf ,1m S
32,5/22/21,yes,no,orf,4-5m N
33,5/22/21,no,yes,yes,
34,5/22/21,no,yes,yes,
35,5/22/21,yes,no,none,
36,5/22/21,yes,no,2 orf,thin snow
37,5/22/21,no,yes,yes,
38,5/22/21,no,yes,yes,
39,5/22/21,no,yes,yes,1 Cr present
40,5/22/21,yes,no,orf,
41,5/22/21,no,yes,yes,
42,5/23/21,yes,no,2 orf,
43,5/23/21,no,yes,yes,
44,5/23/21,no,yes,yes,
45,5/23/21,no,yes,yfg adjust,1 Cr?
46,5/23/21,no,yes,yes,
47,5/23/21,yes,no,yfg (74),
48,5/23/21,no,yes,yes,
49,5/23/21,yes,no,2yfg,
50,5/23/21,yes,no,2yfg,2m SW
51,5/23/21,yes,no,2yfg,1m W
52,5/23/21,yes,no,2yfg,1m NE
53,5/23/21,no,yes,yes,
54,5/23/21,yes,no,2yfg,5m N
55,5/23/21,yes,no,yfg,flag is only bare spot
56,5/23/21,yes,no,none,
57,5/23/21,no,yes,yes,
58,5/23/21,no,yes,yes,
59,5/23/21,no,yes,yes,many cotyledons
60,5/23/21,yes,no,2yfg,mark snowline; 1m SE
61,5/23/21,no,yes,yes,
62,5/23/21,no,yes,yes,
63,5/23/21,yes,no,2yfg,mark snowline; 10m S
64,5/23/21,no,yes,2yfg,
65,5/23/21,yes,no,2yfg,mark snowline; 3m W
66,5/23/21,no,yes,yes,
67,5/23/21,yes,no,2yfg,flags can be N boundary
68,5/23/21,yes,no,2yfg,1m E
69,5/23/21,yes,no,2yfg,mark snowline; s2m E
70,5/23/21,no,yes,yes,
71,5/23/21,no,yes,yes,
72,5/23/21,yes,no,2yfg,mark snowline; can be E boundary
73,5/23/21,no,yes,yes,2 Td up
74,5/23/21,no,yes,yes,
75,5/23/21,yes,no,2yfg,mark snowline
76,5/23/21,no,no,2yfg,can be N boundary; 
77,5/23/21,yes,no,2yfg (77),2m W
78,5/23/21,no,yes,yes,
79,5/23/21,no,yes,yes,
80,5/23/21,yes,no,2yfg,3m N
81,5/23/21,no,yes,yes,
82,5/23/21,no,yes,yes,
