Date,Plot,Time,Plant,Pollinator,ID_Q,N_visits,Fl_open,Page,Notes
6/22/21,37,8:55,Th 1185,And,q,1,,P1,large-ish like v small bumblebee; missed due to distraction
6/22/21,8,9:06,,,,0,,P1,
6/22/21,6,9:32,Th 1211,small black hopper,q,1,,P1,
6/22/21,10,9:40,,,,0,,P1,
6/22/21,21,9:58,,,,0,,P1,small hopper-like thing landed on a bud
6/22/21,7,10:14,,,,0,,P1,
6/22/21,74,10:45,Th 1122,ant,,1,,P1,got pics
6/22/21,74,10:49,Th 1046,smaller ant,,1,,P1,
6/22/21,71,11:03,Th 1308,Eupeodes,,1,,P1,very quick visit
6/22/21,71,11:14,Th 1289,smaller ant,,1,,P1,
6/22/21,79,11:18,,,,0,,P1,
6/22/21,76,11:36,,,,0,,P1,
6/22/21,62,11:54,Th 1151; Th 1221?,Bombus nevadensis,,2,,P1,
6/22/21,59,12:16,Th 1301,sbb,q,1,,P1,lasioglossum? Escaped net; possible fly
6/22/21,59,12:17,Th 1142,house fly,,1,,P1,quick visit
6/29/21,62,9:15,Th 1150; Th 1070,house fly,,1,,P1,sitting on fl wings; likely landing spot
6/29/21,62,9:22,Th 1315,ant,,1,,P1,floral contact (inside)
6/29/21,62,9:26,Th 1220,fly,,1,,P1,long atennae fly w/ long narrow body; pic
6/29/21,57,9:34,,,,0,,P1,
6/29/21,79,9:50,,,,0,,P1,
6/29/21,71,10:14,Th 1052,small fly,,1,,P1,outside
6/29/21,71,10:14,Th 1019,house fly,,1,,P1,outside
6/29/21,71,10:15,Th 1052,ant,,1,,P1,inside
6/29/21,60,10:25,,,,0,,P1,
6/29/21,38,10:42,,,,0,,P1,
6/29/21,37,10:59,Th 1312,Lytta (green),,1,,P1,outside; pic
6/29/21,36,11:14,,,,0,,P1,
6/29/21,6,11:35,,,,0,,P1,
6/29/21,5,11:54,Th 1159,sbb,q,1,,P1,Lasioglossum? 
6/29/21,5,11:57,Th,ant,,1,,P1,[forgot to write tag] seen inside
6/29/21,21,12:28,,,,0,,P1,
7/7/21,21,8:54,,,,0,,P1,
7/7/21,10,9:11,,,,0,,P1,Bombus mixtus? visited Mertensia outside plot
7/7/21,9,9:35,,,,0,,P1,
7/7/21,57,9:54,,,,0,,P1,
7/7/21,58,10:08,Th 1188,ant,,1,,P1,Bomb. Visiting lupine; Bomb visiting Mert.
7/7/21,57,10:28,Th 1251,Bombus nevadensis,,1,,P1,4fl visited
7/7/21,74,10:39,,,,0,,P1,
7/7/21,76,11:07,Th 1125,Bombus nevadensis,,1,,P1,2fl
7/7/21,71,11:16,Th 1019,Lep,q,1,,P1,bubbly orange + brown on wing; brief visit
7/7/21,73,11:32,,,,0,,P1,B. nevadensis visiting Lupines
7/7/21,70,11:49,,,,0,,P1,Bombus mixtus (?) visiting six plants outside plot
7/7/21,66,12:16,Th 1306; Th 1239,Bombus nevadensis,,2,,P1,5 fl; same B. went to lupine next?
7/7/21,66,12:19,Th 1306,house fly,,1,,P1,
7/7/21,60,12:22,,,,0,,P1,
7/13/21,70,9:18,,,,0,,P2,unknown beetle pic; no floral contact; B. flav visit to a Th. Outside
7/13/21,73,9:40,Th 1069,house fly,,1,,P2,
7/13/21,74,9:56,Th 1240,small ant,,1,,P2,
7/13/21,57,10:12,,,,0,,P2,
7/13/21,60,10:30,,,,0,,P2,
7/13/21,9,10:57,,,,0,,P2,tan spider but no fc
7/13/21,25,11:10,Th 1083,Andrena,q,1,,P2,B. visiting nearby Lupus; prev. shiny backed bee [??]
7/13/21,25,11:10,Th 1083,house fly,,1,,P2,
7/13/21,70,11:25,,,,0,,P2,
7/13/21,73,11:41,,,,0,,P2,
7/13/21,25,12:09,,,,0,,P2,house fly perched without floral contact
7/13/21,60,12:20,,,,0,,P2,
7/20/21,74,9:22,Ca 1905,mid black bee,q,1,2,P3,pic; Dufourea maura?
