Tag,Fruit_no,Full_fruit_wt,Total_n_seeds,Full__n_seeds,All_seeds__wt,Q,Date_counted,Initials,Notes
1233,1,0.0354,1,1,0.0047,,1/30/22,,green
1233,2,0.0514,4,3,0.0119,,1/30/22,,green
1233,3,0.0992,10,10,0.0258,,1/30/22,,
1233,4,0.0719,9,6,0.0134,,1/30/22,,
1233,5,0.0843,12,8,0.0197,,1/30/22,,green; 1 aborted counted not weighed
1233,6,0.0935,10,7,0.0207,,1/30/22,,green; 1 aborted counted not weighed
1233,7,0.08,8,3,0.0169,,1/30/22,,
1233,8,0.1082,11,9,0.0281,,1/30/22,,
1125,1,0.0879,6,6,0.0068,,1/30/22,,extremely curved fruit; seeds green and small
1125,2,0.0425,1,0,0,,1/30/22,,extremely curved fruit
1083,1,0.0559,3,3,0.0029,,1/30/22,,green and small
1083,2,0.1883,11,9,0.026,,1/30/22,,
1083,3,0.0891,8,4,0.0058,,1/30/22,,
1083,4,0.1567,10,8,0.0165,,1/30/22,,
1083,5,0.1255,7,6,0.007,,1/30/22,,
1043,1,0.0673,10,8,0.0151,,1/30/22,,2 aborted counted not weighed
1043,2,0.1213,12,12,0.0327,,1/30/22,,
1043,3,0.1398,12,12,0.0479,,1/30/22,,
1043,4,0.1509,12,12,0.0418,,1/30/22,,
1043,5,0.1006,10,7,0.0318,,1/30/22,,
1043,6,0.0757,8,7,0.0149,,1/30/22,,
1315,1,0.0032,0,0,0,,1/30/22,,
1315,2,0.0101,1,0,0,,1/30/22,,
1315,3,0.0728,4,3,0.0038,,1/30/22,,
1107,1,0.0331,2,2,0.0011,TRUE,1/30/22,,possibly mistaken weight
1107,2,0.0334,0,0,0,,1/30/22,,
1107,3,0.0415,0,0,0,,1/30/22,,
1107,4,0.0658,5,4,0.0025,,1/30/22,,
1316,1,0.0341,2,2,0.0046,,1/30/22,,
1316,2,0.0409,3,3,0.0068,,1/30/22,,
1316,3,0.0417,3,3,0.0052,,1/30/22,,
1316,4,0.0639,5,5,0.0126,,1/30/22,,
1316,5,0.0561,3,3,0.0072,,1/30/22,,
1316,6,0.0446,4,4,0.0071,,1/30/22,,
1050,1,0.044,2,2,0.0061,,1/30/22,,
1050,2,0.1427,9,6,0.0156,,1/30/22,,
1050,3,0.0095,0,0,0,,1/30/22,,7/19 collection
1050,4,0.0222,1,1,0.0015,,1/30/22,,7/19 collection
1050,5,0.0909,8,8,0.0078,,1/30/22,,7/19 collection; seeds re-weighed 2/3/22
1147,1,0.0092,0,0,0,,1/30/22,,
1147,2,0.1623,10,6,0.0327,,1/30/22,,
1122,1,0.1134,10,8,0.0313,,1/30/22,,
1122,2,0.0886,9,6,0.0228,,1/30/22,,
1122,3,0.0954,8,8,0.0249,,1/30/22,,
1122,4,0.1086,9,8,0.0244,,1/30/22,,
1122,5,0.1264,10,10,0.0364,,1/30/22,,
1122,6,0.1283,10,9,0.0339,,1/30/22,,
1122,7,0.1084,8,8,0.029,,1/30/22,,
1150,1,0.0046,1,0,0,,2/3/22,,
1150,2,0.0914,4,4,0.0256,,2/3/22,,fruit browning; seeds brown
1150,3,0.0439,8,3,0.0039,,2/3/22,,
1150,4,0.0289,3,2,0.0021,,2/3/22,,
1150,5,0.0626,3,3,0.0141,,2/3/22,,fruit browning; brown-ish seeds
1150,6,0.0645,8,5,0.0075,,2/3/22,,
1150,7,0.0807,4,4,0.0186,,2/3/22,,fruit browning; seeds brown
1051,1,0.0144,0,0,0,,1/30/22,,
1051,2,0.0026,0,0,0,,1/30/22,,
1041,1,0.003,0,0,0,,1/30/22,,
1078,1,0.0383,1,1,0.0027,,1/30/22,,7/26 collection
1078,2,0.0059,0,0,0,,2/3/22,,7/19 collection
1078,3,0.0537,5,2,0.0016,,2/3/22,,7/19 collection
1119,1,0.0218,0,0,0,,2/3/22,,
1094,1,0.0186,0,0,0,,2/3/22,,
1094,2,0.0223,1,0,0,,2/3/22,,
1088,1,0.0047,0,0,0,,2/3/22,,
1088,2,0.0183,2,2,0.0016,,2/3/22,,
1088,3,0.0786,10,10,0.0109,,2/3/22,,
1088,4,0.0794,8,8,0.0124,,2/3/22,,
1088,5,0.0618,7,7,0.098,,2/3/22,,one seed possibly lost in bagging
1068,1,0.0391,2,2,0.0021,TRUE,2/3/22,,only weighed one seed (other lost)
1068,2,,2,1,0.0015,TRUE,2/4/22,,forgot to weigh fruit; lost one aborted seed
1280,1,0.0044,0,0,0,,2/4/22,,7/15 collection
1280,2,0.0766,6,6,0.0045,TRUE,2/4/22,,7/15 collection; only weighed five seeds (one lost)
1280,3,0.18,8,8,0.0816,,2/4/22,,8/5 collection; fr. Browning seeds brown
1280,4,0.1245,7,7,0.0394,TRUE,2/4/22,,8/5 collection; fr. Browning seeds brown; six seeds weighed (one lost)
1280,5,0.2094,9,9,0.0892,,2/4/22,,8/5 collection; fr. Browning seeds brown
1280,6,0.2166,10,10,0.1042,,2/4/22,,8/5 collection; fr. Browning seeds brown
1280,7,0.1432,15,7,0.05,,2/4/22,,8/5 collection; fr. browning
1013,1,0.0396,2,2,0.0024,,3/25/22,,
1013,2,0.0276,4,1,0.0007,,3/25/22,,
1013,3,0.0693,6,2,0.0049,,3/25/22,,
1147,3,0.1013,11,10,0.0098,,3/25/22,,7/19 collection
1147,4,0.0764,8,4,0.0043,,3/25/22,,7/19 collection
1139,1,0.0018,0,0,0,,3/25/22,,
1139,2,0.0853,8,8,0.0094,,3/25/22,,
1021,1,0.0963,9,9,0.0276,,3/25/22,,
1021,2,0.0481,7,5,0.0091,,3/25/22,,
1274,1,0.0065,0,0,0,,3/25/22,,
