"Tag","Fruit_no","Full_fruit_wt","Total_n_seeds","Full__n_seeds","All_seeds__wt","Date_counted","Notes"
1233,1,,,,,,
1233,2,,,,,,
1233,3,,,,,,
1233,4,,,,,,
1233,5,,,,,,
1233,6,,,,,,
1233,7,,,,,,
1233,8,,,,,,
1125,1,,,,,,
1125,2,,,,,,
1083,1,,,,,,
1083,2,,,,,,
1083,3,,,,,,
1083,4,,,,,,
1083,5,,,,,,
1043,1,,,,,,
1043,2,,,,,,
1043,3,,,,,,
1043,4,,,,,,
1043,5,,,,,,
1043,6,,,,,,
1315,1,,,,,,
1315,2,,,,,,
1315,3,,,,,,
1107,1,,,,,,
1107,2,,,,,,
1107,3,,,,,,
1107,4,,,,,,
1316,1,,,,,,
1316,2,,,,,,
1316,3,,,,,,
1316,4,,,,,,
1316,5,,,,,,
1316,6,,,,,,
1050,1,,,,,,
1050,2,,,,,,
1050,3,,,,,,
1050,4,,,,,,
1050,5,,,,,,
1147,1,,,,,,
1147,2,,,,,,
1122,1,,,,,,
1122,2,,,,,,
1122,3,,,,,,
1122,4,,,,,,
1122,5,,,,,,
1122,6,,,,,,
1122,7,,,,,,
1150,1,,,,,,
1150,2,,,,,,
1150,3,,,,,,
1150,4,,,,,,
1150,5,,,,,,
1150,6,,,,,,
1150,7,,,,,,
1051,1,,,,,,
1051,2,,,,,,
1041,1,,,,,,
1078,1,,,,,,
1078,2,,,,,,
1078,3,,,,,,
1119,1,,,,,,
1094,1,,,,,,
1094,2,,,,,,
1088,1,,,,,,
1088,2,,,,,,
1088,3,,,,,,
1088,4,,,,,,
1088,5,,,,,,
1068,1,,,,,,
1068,2,,,,,,
1280,1,,,,,,
1280,2,,,,,,
1280,3,,,,,,
1280,4,,,,,,
1280,5,,,,,,
1280,6,,,,,,
1280,7,,,,,,
1013,1,,,,,,
1013,2,,,,,,
1013,3,,,,,,
1147,3,,,,,,
1147,4,,,,,,
1139,1,,,,,,
1139,2,,,,,,
1021,1,,,,,,
1021,2,,,,,,
1274,1,,,,,,
1274,2,,,,,,
1073,1,,,,,,
1073,2,,,,,,
1073,3,,,,,,
1073,4,,,,,,
1073,5,,,,,,
1073,6,,,,,,
1052,1,,,,,,
1052,2,,,,,,
1308,1,,,,,,
1202,1,,,,,,
1202,2,,,,,,
1188,1,,,,,,
1280,8,,,,,,
1280,9,,,,,,
1211,1,,,,,,
1211,2,,,,,,
1205,1,,,,,,
1205,2,,,,,,
