Date,Plot,Tag,Fl_Stems,Fl_Open,Fl_Done,Toothpick,Q,Page,Note
7/5/21,2,1011,1,1,2,r,,,
7/5/21,2,1160,1,1,0,x,,,
7/5/21,4,1186,1,2,0,w,,,
7/5/21,5,1159,2,0,5,wb,,,
7/5/21,6,1138,1,0,3,w,,,
7/5/21,6,1149,0,0,0,gw,,,
7/5/21,6,1152,2,1,14,,,,
7/5/21,6,1300,1,0,5,r,,,
7/5/21,7,1136,1,0,5,,,,
7/5/21,7,1144,1,0,3,,,,
7/5/21,7,1198,1,0,6,yw,,,
7/5/21,7,1210,1,0,1,,,,
7/5/21,8,1153,1,3,5,o,,,
7/5/21,8,1168,1,0,1,b,,,
7/5/21,8,1201,1,0,1,gg,,,
7/5/21,8,1205,2,3,4,,,,
7/5/21,8,1307,1,0,2,wro,i,,
7/5/21,9,1049,2,10,7,w,,,
7/5/21,9,1218,1,5,1,y,,,
7/5/21,9,1316,1,8,0,,,,
7/5/21,10,1217,2,1,12,,,,
7/5/21,20,1196,1,1,0,,,,
7/5/21,21,1172,2,4,4,w,,,
7/5/21,24,1192,1,2,0,b,,,
7/5/21,27,1202,1,0,4,o,,,
7/5/21,28,1158,1,0,3,,,,
7/5/21,28,1286,2,4,1,w,,,
7/5/21,34,1124,1,1,6,,,,
7/5/21,36,1051,1,0,3,y,,,
7/5/21,37,1082,1,1,0,b,,,
7/5/21,37,1137,1,0,12,,,,
7/5/21,37,1190,2,0,8,,,,
7/5/21,37,1310,1,0,1,,,,
7/5/21,37,1312,1,0,9,,,,
7/5/21,38,1224,1,5,4,bo,,,
7/5/21,57,1057,1,1,2,ww,,,
7/5/21,57,1251,1,3,0,y,,,
7/5/21,58,1080,1,0,2,ww,,,
7/5/21,58,1188,1,1,9,w,,,
7/5/21,59,1055,1,0,1,y,,,
7/5/21,59,1142,1,0,7,ww,,,
7/5/21,59,1145,2,0,8,b,,,
7/5/21,59,1147,1,0,7,o,,,
7/5/21,59,1199,1,1,9,r,,,
7/5/21,59,1301,2,0,25,g,,,
7/5/21,60,1100,1,0,1,go,,,
7/5/21,60,1249,1,4,0,yg,,,
7/5/21,62,1031,1,0,2,g,,,
7/5/21,62,1040,1,0,5,wgb,,,
7/5/21,62,1060,1,2,6,,,,
7/5/21,62,1065,1,0,2,wyr,,,
7/5/21,62,1068,1,3,0,wry,,,
7/5/21,62,1070,1,3,8,ggg,,,
7/5/21,62,1084,2,0,12,www,,,
7/5/21,62,1126,1,3,1,,,,
7/5/21,62,1134,,,,,i,,is 1220; collected
7/5/21,62,1150,2,5,6,,,,
7/5/21,62,1151,1,0,10,,,,1 empty calyx
7/5/21,62,1166,1,0,4,wrb,,,1 uncounted dud
7/5/21,62,1181,1,0,3,,,,an empty calyx
7/5/21,62,1194,4,0,21,wgr,,,broke off one done (counted)
7/5/21,62,1220,4,3,24,yo,i,,is 1134; merge
7/5/21,62,1260,1,0,2,wo,,,
7/5/21,62,1276,2,0,9,wry,,,
7/5/21,62,1315,1,0,11,b,,,
7/5/21,66,1269,1,6,1,b,,,
7/5/21,66,1306,1,1,1,y,,,
7/5/21,70,1032,2,1,6,y,,,
7/5/21,70,1248,1,5,6,wr,,,
7/5/21,71,1005,1,0,2,wro,,,
7/5/21,71,1016,1,1,3,bo,,,
7/5/21,71,1019,2,8,3,y,,,
7/5/21,71,1041,2,0,5,yr,,,
7/5/21,71,1050,2,0,13,wggr,,,
7/5/21,71,1052,1,0,6,r,,,
7/5/21,71,1078,1,0,4,rro,,,
7/5/21,71,1106,2,1,9,yy,,,
7/5/21,71,1289,1,0,4,ygg,,,
7/5/21,71,1308,1,0,8,oy,,,
7/5/21,73,1039,1,0,5,ygo,,,
7/5/21,73,1067,1,3,6,wr,,,
7/5/21,73,1103,3,1,20,or,,,
7/5/21,73,1107,1,0,4,,,,
7/5/21,73,1108,1,0,4,y,,,
7/5/21,73,1132,1,0,6,,,,
7/5/21,73,1280,1,0,8,rr,,,
7/5/21,74,1007,1,4,5,yyy,,,
7/5/21,74,1009,2,1,10,x,,,
7/5/21,74,1021,1,0,5,wb,,,
7/5/21,74,1033,2,0,3,y,,,
7/5/21,74,1043,1,2,6,wy,c,,check tp date; is 1122?
7/5/21,74,1046,5,3,31,bb,,,
7/5/21,74,1054,1,0,8,,,,a grazed stem
7/5/21,74,1055,1,0,6,w,,,
7/5/21,74,1056,1,0,7,ry,,,1 uncounted dud
7/5/21,74,1058,,,,wg,,,
7/5/21,74,1071,2,0,12,by,,,
7/5/21,74,1073,1,5,1,oo,,,
7/5/21,74,1088,1,2,5,wwb,,,
7/5/21,74,1113,1,0,4,bo,c,,check; no sign of other six fl
7/5/21,74,1122,1,0,9,,c,,check tp; is 1043?
7/5/21,74,1129,1,0,5,bwo,,,
7/5/21,74,1131,2,1,11,,,,
7/5/21,74,1170,1,0,6,x,,,
7/5/21,74,1200,1,0,6,wwg,,,
7/5/21,74,1214,1,0,8,rrr,,,
7/5/21,74,1223,1,0,10,rob,,,
7/5/21,74,1227,1,0,2,,,,
7/5/21,74,1229,1,0,1,gy,,,
7/5/21,74,1233,4,0,18,www,,,
7/5/21,74,1258,1,0,4,ro,,,stem broke
7/5/21,74,1281,,,,x,,,
7/5/21,74,1297,2,0,17,ww,,,
7/5/21,75,1079,1,5,3,b,,,
7/5/21,75,1174,1,0,2,r,,,
7/5/21,76,1010,1,3,8,rr,,,
7/5/21,76,1013,1,4,4,b,,,
7/5/21,76,1077,1,1,0,bo,,,
7/5/21,76,1094,1,0,2,ww,,,
7/5/21,76,1119,1,2,1,rg,,,
7/5/21,76,1125,1,2,0,oo,,,
