"Date","Plot","Tag","N_infl","Fl_open","Fl_done","Q","Page","Notes"
,104,2019,,,,,,
,104,2026,,,,,,
,104,2049,,,,,,
,104,2055,,,,,,
,104,2060,,,,,,
,104,2062,,,,,,
,104,2089,,,,,,
,104,2091,,,,,,
,111,2028,,,,,,
,118,2007,,,,,,
,118,2016,,,,,,
,118,2024,,,,,,
,118,2025,,,,,,
,118,2029,,,,,,
,118,2041,,,,,,
,123,2097,,,,,,
,127,2001,,,,,,
,127,2027,,,,,,
,138,2053,,,,,,
,147,2099,,,,,,
,149,2010,,,,,,
,149,2056,,,,,,
,149,2059,,,,,,
,149,2061,,,,,,
,149,2068,,,,,,
,149,2069,,,,,,
,149,2093,,,,,,
,149,2094,,,,,,
,152,2018,,,,,,
,152,2030,,,,,,
,152,2033,,,,,,
,152,2051,,,,,,
,152,2063,,,,,,
,152,2065,,,,,,
,152,2070,,,,,,
,152,2072,,,,,,
,152,2073,,,,,,
,152,2095,,,,,,
,152,2100,,,,,,
,154,2043,,,,,,
,154,2047,,,,,,
,154,2074,,,,,,
,154,2090,,,,,,
,163,2009,,,,,,
,163,2035,,,,,,
,163,2038,,,,,,
,163,2064,,,,,,
,163,2075,,,,,,
,163,2076,,,,,,
,163,2082,,,,,,
,163,2084,,,,,,
,163,2087,,,,,,
,163,2088,,,,,,
,163,2098,,,,,,
,163,,,,,,,
,164,2003,,,,,,
,164,2015,,,,,,
,164,2020,,,,,,
,164,2031,,,,,,
,164,2036,,,,,,
,164,2039,,,,,,
,164,2045,,,,,,
,164,2048,,,,,,
,164,2050,,,,,,
,164,2054,,,,,,
,164,2058,,,,,,
,164,2071,,,,,,
,164,2081,,,,,,
,164,2083,,,,,,
,169,2004,,,,,,
,169,2006,,,,,,
,169,2014,,,,,,
,169,2021,,,,,,
,169,2022,,,,,,
,169,2023,,,,,,
,169,2034,,,,,,
,169,2046,,,,,,
,169,2067,,,,,,
,169,2078,,,,,,
,169,2080,,,,,,
,169,2086,,,,,,
,170,2002,,,,,,
,170,2005,,,,,,
,170,2008,,,,,,
,170,2011,,,,,,
,170,2012,,,,,,
,170,2013,,,,,,
,170,2017,,,,,,
,170,2032,,,,,,
,170,2037,,,,,,
,170,2040,,,,,,
,170,2042,,,,,,
,170,2044,,,,,,
,170,2052,,,,,,
,170,2057,,,,,,
,170,2066,,,,,,
,170,2077,,,,,,
,170,2079,,,,,,
,170,2085,,,,,,
,170,2092,,,,,,
