Date,Plot,Tag,N_infl,Fl_open,Fl_done,Q,Page,Notes
6/9/22,118,2025,0,0,0,,1,2yv
6/9/22,118,2007,0,0,0,,1,yv
6/9/22,118,2024,1,3,0,,1,2yv
6/9/22,118,2016,1,2,0,,1,yv
6/9/22,169,2014,0,0,0,,1,yv
6/9/22,169,2004,0,0,0,,1,yv; kinked stem
6/9/22,169,2006,0,0,0,,1,yv
6/9/22,169,2023,0,0,0,,1,yv
6/9/22,169,2021,0,0,0,,1,2yv
6/13/22,104,2026,0,0,0,,1,2yv
6/13/22,104,2019,1,4,0,,1,
6/13/22,104,2049,0,0,0,,1,yv
6/13/22,111,2028,0,0,0,,1,yv
6/13/22,118,2029,1,1,0,,1,
6/13/22,118,2041,0,0,0,,1,2yv
6/13/22,127,2027,0,0,0,,1,2yv
6/13/22,127,2001,0,0,0,,1,yv
6/13/22,152,2018,0,0,0,,1,yv
6/13/22,152,2030,0,0,0,,1,yv
6/13/22,152,2033,0,0,0,,1,yv
6/13/22,154,2047,0,0,0,,1,yv
6/13/22,154,2043,0,0,0,,1,yv; in gopher mound
6/13/22,163,2035,0,0,0,,1,yv
6/13/22,163,2038,0,0,0,,1,yv
6/13/22,164,2036,0,0,0,,1,yv
6/13/22,164,2045,0,0,0,,1,yv
6/13/22,164,2020,0,0,0,,1,2yv
6/13/22,164,2003,0,0,0,,1,yv
6/13/22,164,2039,0,0,0,,1,yv
6/13/22,164,2031,1,3,0,,1,2yv; observed pollination
6/13/22,164,2050,0,0,0,,1,yv
6/13/22,164,2048,0,0,0,,1,2y
6/13/22,164,2046,0,0,0,,1,2yv; N neighbor is out
6/13/22,169,2022,0,0,0,,2,yv
6/13/22,169,2034,0,0,0,,2,yv; kinked stem
6/13/22,170,2005,1,2,0,,2,N neighbors are out
6/13/22,170,2042,0,0,0,,2,yv
6/13/22,170,2012,0,0,0,,2,yv
6/13/22,170,2044,0,0,0,,2,yv
6/13/22,170,2040,0,0,0,,2,4yv
6/13/22,170,2013,0,0,0,,2,yv
6/13/22,170,2002,0,0,0,,2,3yv
6/13/22,170,2037,0,0,0,,2,yv
6/13/22,170,2035,1,3,0,,2,yv
6/13/22,170,2032,2,4,0,,2,
6/13/22,170,2017,1,2,0,,2,yv
6/13/22,170,2011,0,0,0,,2,yv
6/13/22,170,2008,0,0,0,,2,yv
6/16/22,164,2081,0,0,0,,4,yv
6/16/22,164,2071,1,1,0,,4,
6/16/22,164,2083,0,0,0,,4,yv
6/16/22,152,2070,0,0,0,,4,yv
6/16/22,152,2072,0,0,0,,4,yv
6/16/22,152,2073,0,0,0,,4,2yv; [was originally recorded as plot 149; corrected 6/20]
6/16/22,152,2063,0,0,0,,4,2yv; [was originally recorded as plot 149; corrected 6/20]
6/16/22,149,2068,7,2,0,,4,
6/16/22,149,2069,2,1,0,,4,2yv
6/16/22,149,2093,0,0,0,,4,yv
6/16/22,149,2010,1,1,0,,4,
6/16/22,149,2056,0,0,0,,4,yv
6/16/22,154,2090,0,0,0,,4,yv
6/16/22,163,2098,0,0,0,,4,2yv
6/16/22,163,2075,0,0,0,,4,2yv
6/16/22,163,2084,0,0,0,,4,2yv
6/16/22,163,2082,0,0,0,,4,2yv
6/16/22,163,2076,0,0,0,,4,yv
6/16/22,163,2088,0,0,0,,4,yv
6/16/22,169,2046,1,1,1,TRUE,4,old tag; done flower possibly eaten?
6/16/22,169,2067,3,1,0,,4,
6/16/22,169,2080,0,0,0,,4,yv
6/16/22,169,2086,0,0,0,,4,yv
6/16/22,170,2085,0,0,0,,4,yv
6/16/22,170,2077,0,0,0,,4,yv
6/16/22,170,2057,0,0,0,,4,yv
6/16/22,170,2052,0,0,0,,4,yv
6/16/22,170,2066,0,0,0,,4,yv
6/16/22,170,2035,2,8,1,TRUE,4,old tag
6/16/22,104,2055,0,0,0,,4,yv
6/16/22,104,2062,0,0,0,,4,yv
6/16/22,104,2060,0,0,0,,4,yv
6/20/22,104,2091,0,0,0,,7,yv
6/20/22,104,2089,0,0,0,,7,yv
6/20/22,123,2097,0,0,0,,7,yv; ant
6/20/22,138,2053,0,0,0,,7,yv
6/20/22,152,2051,0,0,0,,7,3yv
6/20/22,152,2065,0,0,0,,7,2yv
6/20/22,152,2100,0,0,0,,7,yv
6/20/22,152,2095,0,0,0,,7,yv
6/20/22,147,2099,0,0,0,,7,yv
6/20/22,149,2094,0,0,0,,7,yv
6/20/22,149,2059,0,0,0,,7,yv
6/20/22,149,2061,0,0,0,,7,yv
6/20/22,154,2074,0,0,0,,7,old tag; yv
6/20/22,170,2035,2,2,6,,7,old tag
6/20/22,170,2092,1,2,0,,7,
6/20/22,170,2079,0,0,0,,7,yv
6/20/22,169,2046,7,9,10,,7,old tag
6/20/22,169,2078,1,3,4,TRUE,7,prev missed; do not include in analysis
6/20/22,168,2088,0,0,0,,7,yv; old tag
6/20/22,164,2054,1,2,0,,7,yv
6/20/22,164,2015,0,0,0,,7,3yv
6/20/22,164,2058,0,0,0,,7,yv
6/20/22,163,2064,1,3,0,,7,old tag
6/20/22,163,2009,0,0,0,,7,yv
6/20/22,163,2087,0,0,0,,7,yv
6/20/22,163,,0,0,0,,7,yv; untagged SE corner
6/20/22,166,,0,0,0,,7,yv; untagged in center
