Page,Date,Species,Plot,Tag,Racemes,Infl_spread,Infl_done,Twist.ties,Q,Note
33,7/1/20,Thermopsis divaricarpa,1,1239,,,,,,can't find
33,7/1/20,Thermopsis divaricarpa,2,1007,,0,5,,,
33,7/1/20,Thermopsis divaricarpa,2,1008,,8,1,,,
33,7/1/20,Thermopsis divaricarpa,2,1009,,0,8,,,
33,7/1/20,Thermopsis divaricarpa,2,1023,,0,7,,,
33,7/1/20,Thermopsis divaricarpa,2,1054,,8,2,,,stem snapped
33,7/1/20,Thermopsis divaricarpa,2,1247,,,,,x,can't find; in plot 14; improve this nephew
33,7/1/20,Thermopsis divaricarpa,2,1262,,,,,,can't find
33,7/1/20,Thermopsis divaricarpa,3,1023,,,,,x,improve this record (should be plot 3)
33,7/1/20,Thermopsis divaricarpa,3,1073,,4,0,,,
33,7/1/20,Thermopsis divaricarpa,3,1262,,,,,x,mistaken? This also appears in pl 2 records
33,7/1/20,Thermopsis divaricarpa,5,1197,,2,0,,,
33,7/1/20,Thermopsis divaricarpa,6,1001,,0,4,,,
33,7/1/20,Thermopsis divaricarpa,8,1005,,3,2,,,1 and 2 are done
33,7/1/20,Thermopsis divaricarpa,9,1253,,0,1,,,
33,7/1/20,Thermopsis divaricarpa,10,1042,,2,2,,,
33,7/1/20,Thermopsis divaricarpa,10,1233,,0,4,,,
33,7/1/20,Thermopsis divaricarpa,10,1259,,0,2,,,
33,7/1/20,Thermopsis divaricarpa,10,1273,,1,1,,,
33,7/1/20,Thermopsis divaricarpa,12,1048,,,,,,can't find
33,7/1/20,Thermopsis divaricarpa,12,1146,,,,,,can't find
33,7/1/20,Thermopsis divaricarpa,13,1252,,7,0,,,
33,7/1/20,Thermopsis divaricarpa,13,1261,,3,0,,,
33,7/1/20,Thermopsis divaricarpa,14,1077,,0,4,,,
33,7/1/20,Thermopsis divaricarpa,14,1120,,0,8,,,
33,7/1/20,Thermopsis divaricarpa,14,1174,,0,8,,,
34,7/1/20,Thermopsis divaricarpa,14,1212,,0,3,,,
34,7/1/20,Thermopsis divaricarpa,14,1219,,0,4,,,1 aborted
34,7/1/20,Thermopsis divaricarpa,14,1247,,0,1,,,
34,7/1/20,Thermopsis divaricarpa,18,1223,,1,0,,,
34,7/1/20,Thermopsis divaricarpa,18,1258,,9,1,,,
34,7/1/20,Thermopsis divaricarpa,19,1227,,1,5,,,OUTSIDE NE; spider web
34,7/1/20,Thermopsis divaricarpa,21,1033,,3,0,,,is 1044; collected tag 1044
34,7/1/20,Thermopsis divaricarpa,22,1025,,1,2,,x,prev flw where?
34,7/1/20,Thermopsis divaricarpa,22,1055,,3,2,,,
34,7/1/20,Thermopsis divaricarpa,22,1056,,0,0,,,no flw
34,7/1/20,Thermopsis divaricarpa,22,1057,,0,9,,,3 ped scars?
34,7/1/20,Thermopsis divaricarpa,22,1060,,0,0,,,grazed
34,7/1/20,Thermopsis divaricarpa,22,1065,,0,1,,,seed
34,7/1/20,Thermopsis divaricarpa,22,1071,,0,2,,x,likely is 1077; look for other tags in improve
34,7/1/20,Thermopsis divaricarpa,22,1077,,,,,,is 1071?
34,7/1/20,Thermopsis divaricarpa,22,1079,,0,4,,,
34,7/1/20,Thermopsis divaricarpa,22,1084,,0,3,whdone,,
34,7/1/20,Thermopsis divaricarpa,22,1119,,0,0,,,looks like never flowered
34,7/1/20,Thermopsis divaricarpa,22,1166,,2,0,,,
34,7/1/20,Thermopsis divaricarpa,22,1271,,0,3,,,
34,7/1/20,Thermopsis divaricarpa,22,1283,,1,1,,,
34,7/1/20,Thermopsis divaricarpa,22,1284,,4,0,,,
34,7/1/20,Thermopsis divaricarpa,22,1297,,1,7,,,
34,7/1/20,Thermopsis divaricarpa,23,1272,,13,2,,,
34,7/1/20,Thermopsis divaricarpa,24,1045,,0,4,,,
34,7/1/20,Thermopsis divaricarpa,24,1064,,1,0,,,
34,7/1/20,Thermopsis divaricarpa,24,1289,,0,0,,,yv
34,7/1/20,Thermopsis divaricarpa,24,1296,,,,,,ignore
34,7/1/20,Thermopsis divaricarpa,25,1081,,,,,,can't find
35,7/1/20,Thermopsis divaricarpa,25,1106,,0,4,,,
35,7/1/20,Thermopsis divaricarpa,25,1113,,0,3,,,
35,7/1/20,Thermopsis divaricarpa,26,1082,,0,3,,,
35,7/1/20,Thermopsis divaricarpa,26,1173,,,,,,can't find
35,7/1/20,Thermopsis divaricarpa,26,1250,,0,1,,,
35,7/1/20,Thermopsis divaricarpa,27,1061,,0,3,,,
35,7/1/20,Thermopsis divaricarpa,27,1076,,10,6,,,
35,7/1/20,Thermopsis divaricarpa,27,1092,2,18,4,whdone,,snapped/kinked stem
35,7/1/20,Thermopsis divaricarpa,27,1097,,4,6,,,
35,7/1/20,Thermopsis divaricarpa,27,1108,,7,5,,,
35,7/1/20,Thermopsis divaricarpa,27,1179,,5,0,,,
35,7/1/20,Thermopsis divaricarpa,27,1195,,6,0,,,
35,7/1/20,Thermopsis divaricarpa,27,1249,,6,0,,,
35,7/1/20,Thermopsis divaricarpa,27,1254,,5,0,,,
35,7/1/20,Thermopsis divaricarpa,27,1276,,6,0,,,
35,7/1/20,Thermopsis divaricarpa,27,1280,,7,0,,,
35,7/1/20,Thermopsis divaricarpa,27,1286,,1,0,,,
35,7/1/20,Thermopsis divaricarpa,27,1298,,6,0,,,
35,7/1/20,Thermopsis divaricarpa,28,1251,,1,4,whdone,,OUTSIDE SW
35,7/1/20,Thermopsis divaricarpa,29,1260,,5,0,,,forgot this on 6/27 :(
35,7/1/20,Thermopsis divaricarpa,30,1255,,6,0,,,
35,7/1/20,Thermopsis divaricarpa,31,1094,,0,9,,,
35,7/1/20,Thermopsis divaricarpa,31,1099,,,,,,
35,7/1/20,Thermopsis divaricarpa,31,1100,,1,2,,,
35,7/1/20,Thermopsis divaricarpa,31,1101,,0,5,,,
35,7/1/20,Thermopsis divaricarpa,31,1107,,9,10,,,some seeding
35,7/1/20,Thermopsis divaricarpa,31,1238,,,,,,is 1248? Check
35,7/1/20,Thermopsis divaricarpa,31,1248,,0,1,,,
35,7/1/20,Thermopsis divaricarpa,32,1109,,9,1,,,is inside plot
35,7/1/20,Thermopsis divaricarpa,33,1059,,0,8,,,1 fl lost (petal present rest gone)
35,7/1/20,Thermopsis divaricarpa,33,1266,,2,2,,,
36,7/1/20,Thermopsis divaricarpa,42,1141,,0,0,,,yv OUTSIDE SE
36,7/1/20,Thermopsis divaricarpa,43,1203,,1,0,,,1 dud
36,7/1/20,Thermopsis divaricarpa,43,1246,,2,0,,,
36,7/1/20,Thermopsis divaricarpa,43,1268,,1,0,,,
36,7/1/20,Thermopsis divaricarpa,43,1278,,2,0,,,
36,7/1/20,Thermopsis divaricarpa,43,1285,,2,0,,,
36,7/1/20,Thermopsis divaricarpa,43,1290,,6,1,,,
36,7/1/20,Thermopsis divaricarpa,43,1292,,2,0,,,
36,7/1/20,Thermopsis divaricarpa,43,1293,,1,6,,,
36,7/1/20,Thermopsis divaricarpa,44,1154,,0,2,,,seed; OUTSIDE NW
36,7/1/20,Thermopsis divaricarpa,45,1207,,1,3,,,
36,7/1/20,Thermopsis divaricarpa,45,1257,,0,3,,,
36,7/1/20,Thermopsis divaricarpa,45,1264,,0,2,,,
36,7/1/20,Thermopsis divaricarpa,45,1265,,1,0,,,
36,7/1/20,Thermopsis divaricarpa,45,1275,,0,3,,,
36,7/1/20,Thermopsis divaricarpa,45,1287,,,,,,can't find; check tags
36,7/1/20,Thermopsis divaricarpa,46,1029,,0,2,,,
36,7/1/20,Thermopsis divaricarpa,46,1084,,,,,x,is 1089? Check
36,7/1/20,Thermopsis divaricarpa,46,1087,,0,13,,,seeds
36,7/1/20,Thermopsis divaricarpa,46,1089,,0,4,,,
36,7/1/20,Thermopsis divaricarpa,46,1224,,0,1,,,seeds not ready
36,7/1/20,Thermopsis divaricarpa,47,1066,,0,2,,,
36,7/1/20,Thermopsis divaricarpa,47,1072,,3,4,,,
36,7/1/20,Thermopsis divaricarpa,47,1086,,0,2,,,
36,7/1/20,Thermopsis divaricarpa,47,1093,,3,0,,,
36,7/1/20,Thermopsis divaricarpa,47,1118,2,5,0,,,
36,7/1/20,Thermopsis divaricarpa,47,1156,,7,3,,,
36,7/1/20,Thermopsis divaricarpa,47,1229,,,,,,can't find
36,7/1/20,Thermopsis divaricarpa,47,1235,,3,0,,,
37,7/1/20,Thermopsis divaricarpa,48,1012,,0,13,,,
37,7/1/20,Thermopsis divaricarpa,48,1036,,0,9,,,only 3 seeds left
37,7/1/20,Thermopsis divaricarpa,48,1056,,,,,,can't find
37,7/1/20,Thermopsis divaricarpa,48,1068,,,,,x,is 1069? Check
37,7/1/20,Thermopsis divaricarpa,48,1083,,0,6,,,
37,7/1/20,Thermopsis divaricarpa,48,1085,,0,6,,,
37,7/1/20,Thermopsis divaricarpa,48,1098,,,,,,can't find
37,7/1/20,Thermopsis divaricarpa,48,1177,,0,0,,,grazed
37,7/1/20,Thermopsis divaricarpa,48,1181,,,,,,can't find
37,7/1/20,Thermopsis divaricarpa,48,1184,,0,7,,,
37,7/1/20,Thermopsis divaricarpa,48,1240,,0,2,,,
37,7/1/20,Thermopsis divaricarpa,48,1274,,0,2,,,
37,7/1/20,Thermopsis divaricarpa,49,1104,,0,5,,,
37,7/1/20,Thermopsis divaricarpa,49,1121,,0,4,,,seeds
37,7/1/20,Thermopsis divaricarpa,49,1171,,0,4,,,
38,7/1/20,Thermopsis divaricarpa,49,1215,,0,16,,,
38,7/1/20,Thermopsis divaricarpa,49,1221,,,,,,can't find
38,7/1/20,Thermopsis divaricarpa,49,1228,,0,2,,,
38,7/1/20,Thermopsis divaricarpa,49,1231,,,,,,can't find
