Page,Date,Species,Plot,Tag,Stms,Fl_straight,Fl_curled,Fl_done,Q,Note
60,7/13/20,Campanula rotundifolia,1,1504,,0,1,2,,
60,7/13/20,Campanula rotundifolia,1,1532,,2,0,0,,
60,7/13/20,Campanula rotundifolia,1,1533,2,0,0,2,,
60,7/13/20,Campanula rotundifolia,1,1536,,0,0,1,,med. Black and ylw/gray be visit
60,7/13/20,Campanula rotundifolia,1,1565,,0,1,2,,
60,7/13/20,Campanula rotundifolia,1,1568,,0,0,0,,grazed
60,7/13/20,Campanula rotundifolia,2,1513,4,1,0,2,,
60,7/13/20,Campanula rotundifolia,2,1530,,,,,,[missed?]
60,7/13/20,Campanula rotundifolia,2,1561,,0,0,2,,
60,7/13/20,Campanula rotundifolia,6,1526,,0,2,1,,black waisty bee visit
60,7/13/20,Campanula rotundifolia,6,1563,9,2,7,8,,
60,7/13/20,Campanula rotundifolia,14,1511,,0,0,1,,
60,7/13/20,Campanula rotundifolia,31,1509,,0,0,1,,
60,7/13/20,Campanula rotundifolia,31,1527,,0,0,1,,
60,7/13/20,Campanula rotundifolia,46,1562,,0,1,2,,
60,7/13/20,Campanula rotundifolia,48,1535,,3,2,4,x,was only counting 1 stem before… maybe questionable; OUTSIDE
60,7/13/20,Campanula rotundifolia,49,1551,,0,1,2,,
60,7/13/20,Campanula rotundifolia,50,1501,3,2,0,0,,
60,7/13/20,Campanula rotundifolia,50,1505,,1,0,1,,
60,7/13/20,Campanula rotundifolia,50,1534,,0,0,1,,more coming?
60,7/13/20,Campanula rotundifolia,71,1520,,1,1,0,,
60,7/13/20,Campanula rotundifolia,71,1557,,0,0,1,,
60,7/13/20,Campanula rotundifolia,71,1567,,0,1,0,,
