"LTER_site","local_site","logger","date","year","jday","airtemp_max","flag_airtemp_max","airtemp_min","flag_airtemp_min","airtemp_avg","flag_airtemp_avg","rh_max","flag_rh_max","rh_min","flag_rh_min","rh_avg","flag_rh_avg","bp_max","flag_bp_max","bp_min","flag_bp_min","bp_avg","flag_bp_avg","ws_max","flag_ws_max","ws_min","flag_ws_min","ws_avg","flag_ws_avg","wd","flag_wd","solrad_avg","flag_solrad_avg","solrad_tot","flag_solrad_tot","ppt_tot","flag_ppt_tot","snowdepth_avg","flag_snowdepth_avg","soiltemp_5cm_max","flag_soiltemp_5cm_max","soiltemp_5cm_min","flag_soiltemp_5cm_min","soiltemp_5cm_avg","flag_soiltemp_5cm_avg","soilmoist_5cm_avg","flag_soilmoist_5cm_avg","soilmoistprof_10cm_avg","flag_soilmoistprof_10cm_avg","soilmoistprof_20cm_avg","flag_soilmoistprof_20cm_avg","soilmoistprof_30cm_avg","flag_soilmoistprof_30cm_avg","soilmoistprof_50cm_avg","flag_soilmoistprof_50cm_avg","soilmoistprof_70cm_avg","flag_soilmoistprof_70cm_avg","soilmoistprof_100cm_avg","flag_soilmoistprof_100cm_avg","soilmoistprof_150cm_avg","flag_soilmoistprof_150cm_avg","soilmoistprof_200cm_avg","flag_soilmoistprof_200cm_avg","airtemp_hmp1_max","flag_airtemp_hmp1_max","airtemp_hmp1_min","flag_airtemp_hmp1_min","airtemp_hmp1_avg","flag_airtemp_hmp1_avg","airtemp_hmp2_max","flag_airtemp_hmp2_max","airtemp_hmp2_min","flag_airtemp_hmp2_min","airtemp_hmp2_avg","flag_airtemp_hmp2_avg","airtemp_hmp3_max","flag_airtemp_hmp3_max","airtemp_hmp3_min","flag_airtemp_hmp3_min","airtemp_hmp3_avg","flag_airtemp_hmp3_avg","rh_hmp1_max","flag_rh_hmp1_max","rh_hmp1_min","flag_rh_hmp1_min","rh_hmp1_avg","flag_rh_hmp1_avg","rh_hmp2_max","flag_rh_hmp2_max","rh_hmp2_min","flag_rh_hmp2_min","rh_hmp2_avg","flag_rh_hmp2_avg","rh_hmp3_max","flag_rh_hmp3_max","rh_hmp3_min","flag_rh_hmp3_min","rh_hmp3_avg","flag_rh_hmp3_avg","snowdepth_avgofmed","flag_snowdepth_avgofmed"
"NWT","c1","cr23x",2000-06-24,2000,176,23.1,"n",4.85,"n",14.72,"n",72.9,"n",19.02,"n",40.1,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",28.87,"n",0,"n",0.057,"n",20.41,"n",10.67,"n",14.97,"n",0.192,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-06-25,2000,177,18.08,"n",5.28,"n",11.44,"n",100,"n",35.98,"n",65.29,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",12.25,"n",0.19,"n",0.046,"n",15.26,"n",11.85,"n",13.67,"n",0.184,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-06-26,2000,178,26.18,"n",4.751,"n",6.494,"n",NaN,"n",77.9,"n",98.5,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",6.717,"n",0.87,"n",0.045,"n",11.89,"n",9.57,"n",10.67,"n",0.205,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-06-27,2000,179,16.39,"n",1.145,"n",7.87,"n",100,"n",40.81,"n",84.9,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",21.59,"n",0.29,"n",0.048,"n",13.9,"n",7.61,"n",10.63,"n",0.221,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-06-28,2000,180,NaN,"n",1.078,"n",7.86,"n",NaN,"n",38.53,"n",87.9,"n",718,"n",NaN,"n",NaN,"n",4.155,"n",0,"n",NaN,"n",0.359,"n",NaN,"n",20.42,"n",0.02,"n",0.047,"n",14.6,"n",8.13,"n",11.47,"n",0.221,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-06-29,2000,181,22.18,"n",5.28,"n",15,"n",87.5,"n",16.57,"n",44.93,"n",717,"n",714,"n",715,"n",8.8,"n",0,"n",NaN,"n",0.384,"n",NaN,"n",27.23,"n",0,"n",0.049,"n",18.47,"n",8.71,"n",14.59,"n",0.217,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-06-30,2000,182,23.63,"n",3.329,"n",13.39,"n",92.8,"n",16.01,"n",52.62,"n",716,"n",714,"n",715,"n",8.88,"n",0.02,"n",NaN,"n",0.396,"n",NaN,"n",31.17,"n",0,"n",0.046,"n",20.78,"n",9.83,"n",14.82,"n",0.216,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-01,2000,183,NaN,"n",7.43,"n",15.25,"n",64.33,"n",23.48,"n",43.36,"n",715,"n",713,"n",715,"n",10.72,"n",0.02,"n",NaN,"n",0.574,"n",NaN,"n",26.06,"n",0,"n",0.147,"n",20.14,"n",11.92,"n",15.42,"n",0.203,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-02,2000,184,20.99,"n",6.009,"n",13.8,"n",91.6,"n",22.49,"n",55.04,"n",717,"n",714,"n",715,"n",8.98,"n",0.02,"n",NaN,"n",180,"n",NaN,"n",19.14,"n",0.09,"n",0.051,"n",16.2,"n",12.05,"n",14.11,"n",0.188,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-03,2000,185,23.67,"n",5.148,"n",14.66,"n",94.2,"n",21.04,"n",48.14,"n",715,"n",712,"n",713,"n",11.52,"n",0.02,"n",NaN,"n",0.517,"n",NaN,"n",22.05,"n",0.01,"n",0.047,"n",18.95,"n",11.14,"n",14.21,"n",0.178,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
