Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
102,,,,,,-105.5397517,40.03096258,2938.579,0.01,0.01,0.017,0.014,1.934,m,FLOAT,2023-05-16 14:27:10.8 UTC-06:00,2023-05-16 14:27:10.8 UTC-06:00,1,1.8,,,,-105.5406407,40.03080542,2958.344,79.918,Global CS
101,,,,,,-105.5397075,40.031053,2939.274,0.047,0.035,0.12,0.059,1.934,m,FLOAT,2023-05-16 14:28:49.0 UTC-06:00,2023-05-16 14:28:49.0 UTC-06:00,1,1.4,,,,-105.5406407,40.03080542,2958.344,86.031,Global CS
103,,,,,,-105.5398432,40.03099908,2940.114,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-16 14:30:48.8 UTC-06:00,2023-05-16 14:30:48.8 UTC-06:00,1,1.3,,,,-105.5406407,40.03080542,2958.344,73.256,Global CS
104,,,,,,-105.5399731,40.03092532,2943.144,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-16 14:32:48.2 UTC-06:00,2023-05-16 14:32:48.2 UTC-06:00,1,1.2,,,,-105.5406407,40.03080542,2958.344,60.037,Global CS
2,,,,,"tags 1753, 1564",-105.5400632,40.03088165,2945.297,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-16 14:34:07.0 UTC-06:00,2023-05-16 14:34:07.0 UTC-06:00,1,1.2,,,,-105.5406407,40.03080542,2958.344,51.259,Global CS
1,,,,,,-105.539977,40.03076336,2945.256,0.01,0.01,0.017,0.014,1.934,m,FIX,2023-05-16 14:35:17.8 UTC-06:00,2023-05-16 14:35:17.8 UTC-06:00,1,1.3,,,,-105.5406407,40.03080542,2958.344,57.957,Global CS
109,,,,,Q no pink - or 106?,-105.5402838,40.03071859,2950.603,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-16 14:36:47.4 UTC-06:00,2023-05-16 14:36:47.4 UTC-06:00,1,1.3,,,,-105.5406407,40.03080542,2958.344,32.497,Global CS
3,,,,,,-105.5402468,40.0308677,2948.046,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-16 14:38:18.2 UTC-06:00,2023-05-16 14:38:18.2 UTC-06:00,1,1.2,,,,-105.5406407,40.03080542,2958.344,35.349,Global CS
107,,,,,tag 2118,-105.5398836,40.03126122,2939.835,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-05-16 14:41:30.6 UTC-06:00,2023-05-16 14:41:30.6 UTC-06:00,1,1.4,,,,-105.5406407,40.03080542,2958.344,83.779,Global CS
20,,,,,,-105.5401723,40.03138009,2945.386,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-16 14:44:46.8 UTC-06:00,2023-05-16 14:44:46.8 UTC-06:00,1,1.4,,,,-105.5406407,40.03080542,2958.344,76.139,Global CS
22,,,,,on corner flag,-105.5403034,40.03143496,2948.336,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-05-16 14:49:45.0 UTC-06:00,2023-05-16 14:49:45.0 UTC-06:00,1,2,,,,-105.5406407,40.03080542,2958.344,76.063,Global CS
4,,,,,,-105.5401463,40.0312422,2943.609,0.01,0.01,0.028,0.014,1.934,m,FIX,2023-05-16 14:52:13.6 UTC-06:00,2023-05-16 14:52:13.6 UTC-06:00,1,2,,,,-105.5406407,40.03080542,2958.344,65.579,Global CS
5,,,,,,-105.5403307,40.03105642,2948.35,0.01,0.01,0.02,0.014,1.934,m,FIX,2023-05-16 14:56:31.0 UTC-06:00,2023-05-16 14:56:31.0 UTC-06:00,1,1.6,,,,-105.5406407,40.03080542,2958.344,39.287,Global CS
8,,,,,,-105.5404554,40.03114325,2950.451,0.01,0.01,0.015,0.014,1.934,m,FIX,2023-05-16 14:57:19.2 UTC-06:00,2023-05-16 14:57:19.2 UTC-06:00,1,1.6,,,,-105.5406407,40.03080542,2958.344,41.162,Global CS
108,,,,,tag 2107,-105.5404125,40.03092528,2950.641,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-16 14:59:42.6 UTC-06:00,2023-05-16 14:59:42.6 UTC-06:00,1,1.8,,,,-105.5406407,40.03080542,2958.344,24.298,Global CS
6,,,,,,-105.5407088,40.03088314,2956.744,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-16 15:01:04.4 UTC-06:00,2023-05-16 15:01:04.4 UTC-06:00,1,1.6,,,,-105.5406407,40.03080542,2958.344,10.412,Global CS
28,,,,,,-105.5408083,40.03069361,2959.407,0.01,0.01,0.03,0.014,1.934,m,FIX,2023-05-16 15:03:36.8 UTC-06:00,2023-05-16 15:03:36.8 UTC-06:00,1,2,,,,-105.5406407,40.03080542,2958.344,19.185,Global CS
110,,,,,,-105.5408586,40.03068924,2960.05,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-16 15:04:36.0 UTC-06:00,2023-05-16 15:04:36.0 UTC-06:00,1,2,,,,-105.5406407,40.03080542,2958.344,22.936,Global CS
31,,,,,[was shot as 34  based on old flag; corrected 5/28/23],-105.5412323,40.03057408,2964.614,0.01,0.01,0.017,0.014,1.934,m,FIX,2023-05-16 15:09:00.0 UTC-06:00,2023-05-16 15:09:00.0 UTC-06:00,1,2.1,,,,-105.5406407,40.03080542,2958.344,57.27,Global CS
82,,,,,,-105.540269,40.03061351,2950.937,0.01,0.01,0.017,0.014,1.934,m,FIX,2023-05-16 15:13:34.4 UTC-06:00,2023-05-16 15:13:34.4 UTC-06:00,1,1.5,,,,-105.5406407,40.03080542,2958.344,38.63,Global CS
112,,,,,Q pink flag found 15m down hill,-105.5408489,40.03104866,2956.909,0.01,0.01,0.014,0.014,1.934,m,FIX,2023-05-16 15:18:15.4 UTC-06:00,2023-05-16 15:18:15.4 UTC-06:00,1,1.4,,,,-105.5406407,40.03080542,2958.344,32.346,Global CS
10,,,,,,-105.540948,40.03099095,2958.989,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-05-16 15:19:14.6 UTC-06:00,2023-05-16 15:19:14.6 UTC-06:00,1,1.4,,,,-105.5406407,40.03080542,2958.344,33.462,Global CS
27,,,,,Q - one flag says 27; was originally shot as 17 corrected 5/17/2023,-105.5411609,40.03079341,2963.43,0.01,0.01,0.019,0.014,1.934,m,FIX,2023-05-16 15:21:32.4 UTC-06:00,2023-05-16 15:21:32.4 UTC-06:00,1,1.7,,,,-105.5406407,40.03080542,2958.344,44.992,Global CS
26,,,,,,-105.5411316,40.03102765,2962.106,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-16 15:23:12.4 UTC-06:00,2023-05-16 15:23:12.4 UTC-06:00,1,1.5,,,,-105.5406407,40.03080542,2958.344,48.977,Global CS
24,,,,,Q - white flags tags 1192 1837; was shot as 991 edited 5/17/2023,-105.5410409,40.03134995,2959.067,0.048,0.042,0.097,0.064,1.934,m,FLOAT,2023-05-16 15:34:31.6 UTC-06:00,2023-05-16 15:34:31.6 UTC-06:00,1,2,,,,-105.5406407,40.03080542,2958.344,69.526,Global CS
25,,,,,loc uncertain plot in snow with two flags,-105.5412445,40.03122342,2963.944,0.01,0.01,0.018,0.014,1.934,m,FIX,2023-05-16 15:36:32.8 UTC-06:00,2023-05-16 15:36:32.8 UTC-06:00,1,2.1,,,,-105.5406407,40.03080542,2958.344,69.794,Global CS
126,,,,,Q or 122? flag faded,-105.5412349,40.03138794,2964.374,0.01,0.01,0.017,0.014,1.934,m,FIX,2023-05-16 15:38:52.6 UTC-06:00,2023-05-16 15:38:52.6 UTC-06:00,1,1.7,,,,-105.5406407,40.03080542,2958.344,82.616,Global CS
127,,,,,Q tag 2001,-105.5413879,40.03099785,2967.235,0.01,0.01,0.021,0.014,1.934,m,FIX,2023-05-16 15:40:56.4 UTC-06:00,2023-05-16 15:40:56.4 UTC-06:00,1,1.9,,,,-105.5406407,40.03080542,2958.344,68.152,Global CS
34,,,,,,-105.5415956,40.03104116,2972.638,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-05-16 15:43:38.8 UTC-06:00,2023-05-16 15:43:38.8 UTC-06:00,1,1.8,,,,-105.5406407,40.03080542,2958.344,87.165,Global CS
33,,,,,,-105.5414379,40.03091567,2967.695,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-05-16 15:45:34.2 UTC-06:00,2023-05-16 15:45:34.2 UTC-06:00,1,1.9,,,,-105.5406407,40.03080542,2958.344,70.081,Global CS
130,,,,,,-105.541649,40.0307743,2972.977,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-16 15:48:01.8 UTC-06:00,2023-05-16 15:48:01.8 UTC-06:00,1,1.4,,,,-105.5406407,40.03080542,2958.344,87.745,Global CS
132,,,,,,-105.5417395,40.03082708,2975.511,0.01,0.01,0.015,0.014,1.934,m,FIX,2023-05-16 15:49:04.6 UTC-06:00,2023-05-16 15:49:04.6 UTC-06:00,1,1.4,,,,-105.5406407,40.03080542,2958.344,95.78,Global CS
