Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
69,,,,,,-105.5416883,40.03059842,2972.785,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-23 10:57:27.2 UTC-06:00,2023-05-23 10:57:27.2 UTC-06:00,1,1.2,,,,-105.5420967,40.03054309,2987.568,37.672,Global CS
170,,,,,,-105.5418639,40.0306019,2979.806,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-23 10:59:57.6 UTC-06:00,2023-05-23 10:59:57.6 UTC-06:00,1,1.1,,,,-105.5420967,40.03054309,2987.568,21.724,Global CS
169,,,,,,-105.5419943,40.0304962,2983.198,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-23 11:01:42.6 UTC-06:00,2023-05-23 11:01:42.6 UTC-06:00,1,1.1,,,,-105.5420967,40.03054309,2987.568,10.468,Global CS
70,,,,,,-105.5420342,40.03044394,2983.683,0.01,0.01,0.014,0.014,1.934,m,FIX,2023-05-23 11:02:33.4 UTC-06:00,2023-05-23 11:02:33.4 UTC-06:00,1,1.1,,,,-105.5420967,40.03054309,2987.568,12.393,Global CS
168,,,,,,-105.5422675,40.03037654,2987.623,0.01,0.01,0.017,0.014,1.934,m,FIX,2023-05-23 11:03:38.4 UTC-06:00,2023-05-23 11:03:38.4 UTC-06:00,1,1.2,,,,-105.5420967,40.03054309,2987.568,23.645,Global CS
71,,,,,Q tag 1016; 1712,-105.5421163,40.03059504,2986.046,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-23 11:05:11.8 UTC-06:00,2023-05-23 11:05:11.8 UTC-06:00,1,1.2,,,,-105.5420967,40.03054309,2987.568,6.022,Global CS
73,,,,,"Q tag 1039, 1133",-105.5423693,40.03056528,2989.777,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-23 11:08:13.2 UTC-06:00,2023-05-23 11:08:13.2 UTC-06:00,1,1.2,,,,-105.5420967,40.03054309,2987.568,23.774,Global CS
74,,,,,,-105.5426771,40.03057051,2996.019,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-05-23 11:14:26.0 UTC-06:00,2023-05-23 11:14:26.0 UTC-06:00,1,1.2,,,,-105.5420967,40.03054309,2987.568,50.728,Global CS
75,,,,,,-105.5427438,40.0304475,2996.772,0.01,0.01,0.02,0.014,1.934,m,FIX,2023-05-23 11:15:24.0 UTC-06:00,2023-05-23 11:15:24.0 UTC-06:00,1,1.7,,,,-105.5420967,40.03054309,2987.568,57.363,Global CS
164,,,,,,-105.5427413,40.03052126,2997.206,0.01,0.01,0.014,0.014,1.934,m,FIX,2023-05-23 11:16:11.0 UTC-06:00,2023-05-23 11:16:11.0 UTC-06:00,1,1.4,,,,-105.5420967,40.03054309,2987.568,56.303,Global CS
165,,,,,,-105.5428432,40.03041716,2998.839,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-05-23 11:17:14.4 UTC-06:00,2023-05-23 11:17:14.4 UTC-06:00,1,1.4,,,,-105.5420967,40.03054309,2987.568,66.59,Global CS
163,,,,,,-105.5428654,40.03053441,2999.856,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-05-23 11:18:22.0 UTC-06:00,2023-05-23 11:18:22.0 UTC-06:00,1,1.4,,,,-105.5420967,40.03054309,2987.568,67.171,Global CS
