Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
59,,,,,tags 1142; 1301,-105.54257048,40.03127563,2995.148,0.010,0.010,0.010,0.014,1.934,m,FIX,2023-05-28 12:01:50.8 UTC-06:00,2023-05-28 12:01:50.8 UTC-06:00,1,1.2,,,,-105.54259751,40.03128593,2997.870,2.694,Global CS
61,,,,,,-105.54241653,40.03118966,2991.554,0.010,0.010,0.012,0.014,1.934,m,FIX,2023-05-28 12:02:40.8 UTC-06:00,2023-05-28 12:02:40.8 UTC-06:00,1,1.2,,,,-105.54259751,40.03128593,2997.870,19.298,Global CS
60,,,,,,-105.54225688,40.03116048,2988.135,0.010,0.010,0.016,0.014,1.934,m,FIX,2023-05-28 12:03:46.4 UTC-06:00,2023-05-28 12:03:46.4 UTC-06:00,1,1.7,,,,-105.54259751,40.03128593,2997.870,33.184,Global CS
62,,,,,tags 1255; 1150,-105.54259310,40.03109842,2994.902,0.010,0.010,0.012,0.014,1.934,m,FIX,2023-05-28 12:05:44.4 UTC-06:00,2023-05-28 12:05:44.4 UTC-06:00,1,1.3,,,,-105.54259751,40.03128593,2997.870,20.859,Global CS
65,,,,,Q no labelled flags remaining,-105.54291735,40.03099357,3001.433,0.010,0.014,0.028,0.017,1.934,m,FIX,2023-05-28 12:08:11.6 UTC-06:00,2023-05-28 12:08:11.6 UTC-06:00,1,1.8,,,,-105.54259751,40.03128593,2997.870,42.790,Global CS
58,,,,,,-105.54279776,40.03130502,3000.396,0.010,0.010,0.010,0.014,1.934,m,FIX,2023-05-28 12:10:12.0 UTC-06:00,2023-05-28 12:10:12.0 UTC-06:00,1,1.1,,,,-105.54259751,40.03128593,2997.870,17.799,Global CS
57,,,,,,-105.54343091,40.03134088,3011.472,0.010,0.011,0.023,0.015,1.934,m,FIX,2023-05-28 12:13:27.4 UTC-06:00,2023-05-28 12:13:27.4 UTC-06:00,1,2.8,,,,-105.54259751,40.03128593,2997.870,73.100,Global CS
63,,,,,,-105.54333589,40.03107451,3009.080,0.010,0.010,0.010,0.014,1.934,m,FIX,2023-05-28 12:15:02.0 UTC-06:00,2023-05-28 12:15:02.0 UTC-06:00,1,1.3,,,,-105.54259751,40.03128593,2997.870,68.558,Global CS
64,,,,,,-105.54315896,40.03111788,3006.603,0.010,0.010,0.011,0.014,1.934,m,FIX,2023-05-28 12:17:35.4 UTC-06:00,2023-05-28 12:17:35.4 UTC-06:00,1,1.2,,,,-105.54259751,40.03128593,2997.870,52.545,Global CS
80,,,,,,-105.54312226,40.03096736,3005.312,0.010,0.010,0.012,0.014,1.934,m,FIX,2023-05-28 12:19:23.2 UTC-06:00,2023-05-28 12:19:23.2 UTC-06:00,1,1.4,,,,-105.54259751,40.03128593,2997.870,57.865,Global CS
53,,,,,,-105.54279479,40.03153144,3001.332,0.010,0.010,0.010,0.014,1.934,m,FIX,2023-05-28 12:23:39.4 UTC-06:00,2023-05-28 12:23:39.4 UTC-06:00,1,1.3,,,,-105.54259751,40.03128593,2997.870,32.508,Global CS
54,,,,,only one flag,-105.54280076,40.03170537,3001.116,0.010,0.010,0.015,0.014,1.934,m,FIX,2023-05-28 12:26:30.2 UTC-06:00,2023-05-28 12:26:30.2 UTC-06:00,1,1.5,,,,-105.54259751,40.03128593,2997.870,49.992,Global CS
