"sensor","lat","long","elev","east","north","hori_prec","vert_prec","pdop","vdop"
"s2021_p002",40.03087816,-105.54004525,2943.025,453922.551194887,4431324.07681629,0.137,0.163,1.9,1.6
"s2021_p022",40.0314278,-105.54029074,2945.862,453901.975549965,4431385.20929979,0.337,0.448,13.5,12.5
"s2021_p019",40.03159559,-105.54004485,2943.744,453923.068092924,4431403.70537108,0.369,0.402,1.7,1.5
"s2021_p016",40.03173723,-105.54062242,2957.103,453873.884652878,4431419.72516157,0.329,0.472,2.7,2.3
"s2021_p006",40.0308823,-105.54070786,2955.062,453866.018838698,4431324.87928827,0.342,0.402,1.6,1.4
"s2021_p033",40.03091501,-105.54142345,2970.463,453804.985408436,4431328.88068731,0.275,0.452,4.6,3.7
"s2021_p025",40.03121951,-105.54123411,2962.758,453821.345602192,4431362.57947938,0.396,0.5,2.1,1.7
"s2021_p039",40.03147716,-105.541289,2966.407,453816.836082584,4431391.20494517,0.343,0.474,6,5.8
"s2021_p048",40.03177465,-105.54222915,2985.648,453736.82239183,4431424.71173246,0.484,0.929,3,2.7
"s2021_p057",40.0313578,-105.54343174,3009.752,453633.934196151,4431379.07013309,0.189,0.449,1.6,1.4
"s2021_p063",40.0310839,-105.54333325,3007.263,453642.152058452,4431348.61824676,0.214,0.492,2.2,1.9
"s2021_p077",40.03068016,-105.54303369,3000.134,453667.437828354,4431303.65060665,0.302,0.364,3,2.8
"s2021_p075",40.03044792,-105.54271992,2992.829,453694.052311188,4431277.71074123,0.36,0.453,2.2,1.8
"s2021_p067",40.03080554,-105.54237624,2987.403,453723.617612216,4431317.22498176,0.37,0.497,2.1,1.8
"s2021_p062",40.03110963,-105.54258403,2992.798,453706.094141978,4431351.0844135,0.459,0.49,1.7,1.5
"s2021_p070",40.03044139,-105.54202081,2979.529,453753.697674169,4431276.62277253,0.382,0.487,1.7,1.5
