Sensor_ID, Unixtime_UTC, Year_UTC, Month_UTC, Day_UTC, Hour_UTC, Minute, Second, Reading_type, Reading_raw
pyran, 1625354820, 2021, 7, 3, 23, 27, 0, bits, 3
pyran, 1625354820, 2021, 7, 3, 23, 27, 0, volt, 0.02
board, 1625354820, 2021, 7, 3, 23, 27, 0, temp, 18.75
pyran, 1625354830, 2021, 7, 3, 23, 27, 10, bits, 3
pyran, 1625354830, 2021, 7, 3, 23, 27, 10, volt, 0.02
board, 1625354830, 2021, 7, 3, 23, 27, 10, temp, 18.75
pyran, 1625354840, 2021, 7, 3, 23, 27, 20, bits, 3
pyran, 1625354840, 2021, 7, 3, 23, 27, 20, volt, 0.02
board, 1625354840, 2021, 7, 3, 23, 27, 20, temp, 18.75
pyran, 1625354850, 2021, 7, 3, 23, 27, 30, bits, 3
pyran, 1625354850, 2021, 7, 3, 23, 27, 30, volt, 0.02
board, 1625354850, 2021, 7, 3, 23, 27, 30, temp, 18.75
pyran, 1625354860, 2021, 7, 3, 23, 27, 40, bits, 3
pyran, 1625354860, 2021, 7, 3, 23, 27, 40, volt, 0.02
board, 1625354860, 2021, 7, 3, 23, 27, 40, temp, 18.75
pyran, 1625354870, 2021, 7, 3, 23, 27, 50, bits, 3
pyran, 1625354870, 2021, 7, 3, 23, 27, 50, volt, 0.02
board, 1625354870, 2021, 7, 3, 23, 27, 50, temp, 18.75
pyran, 1625354880, 2021, 7, 3, 23, 28, 0, bits, 3
pyran, 1625354880, 2021, 7, 3, 23, 28, 0, volt, 0.02
board, 1625354880, 2021, 7, 3, 23, 28, 0, temp, 18.75
pyran, 1625354890, 2021, 7, 3, 23, 28, 10, bits, 3
pyran, 1625354890, 2021, 7, 3, 23, 28, 10, volt, 0.02
board, 1625354890, 2021, 7, 3, 23, 28, 10, temp, 18.50
pyran, 1625354900, 2021, 7, 3, 23, 28, 20, bits, 3
pyran, 1625354900, 2021, 7, 3, 23, 28, 20, volt, 0.02
board, 1625354900, 2021, 7, 3, 23, 28, 20, temp, 18.75
pyran, 1625354910, 2021, 7, 3, 23, 28, 30, bits, 4
pyran, 1625354910, 2021, 7, 3, 23, 28, 30, volt, 0.03
board, 1625354910, 2021, 7, 3, 23, 28, 30, temp, 18.75
pyran, 1625354920, 2021, 7, 3, 23, 28, 40, bits, 4
pyran, 1625354920, 2021, 7, 3, 23, 28, 40, volt, 0.03
board, 1625354920, 2021, 7, 3, 23, 28, 40, temp, 18.75
pyran, 1625354930, 2021, 7, 3, 23, 28, 50, bits, 3
pyran, 1625354930, 2021, 7, 3, 23, 28, 50, volt, 0.02
board, 1625354930, 2021, 7, 3, 23, 28, 50, temp, 18.75
pyran, 1625354940, 2021, 7, 3, 23, 29, 0, bits, 3
pyran, 1625354940, 2021, 7, 3, 23, 29, 0, volt, 0.02
board, 1625354940, 2021, 7, 3, 23, 29, 0, temp, 18.75
pyran, 1625354950, 2021, 7, 3, 23, 29, 10, bits, 3
pyran, 1625354950, 2021, 7, 3, 23, 29, 10, volt, 0.02
board, 1625354950, 2021, 7, 3, 23, 29, 10, temp, 18.50
pyran, 1625354960, 2021, 7, 3, 23, 29, 20, bits, 3
pyran, 1625354960, 2021, 7, 3, 23, 29, 20, volt, 0.02
board, 1625354960, 2021, 7, 3, 23, 29, 20, temp, 18.50
pyran, 1625354970, 2021, 7, 3, 23, 29, 30, bits, 3
pyran, 1625354970, 2021, 7, 3, 23, 29, 30, volt, 0.02
board, 1625354970, 2021, 7, 3, 23, 29, 30, temp, 18.50
pyran, 1625354980, 2021, 7, 3, 23, 29, 40, bits, 3
pyran, 1625354980, 2021, 7, 3, 23, 29, 40, volt, 0.02
board, 1625354980, 2021, 7, 3, 23, 29, 40, temp, 18.50
pyran, 1625354990, 2021, 7, 3, 23, 29, 50, bits, 3
pyran, 1625354990, 2021, 7, 3, 23, 29, 50, volt, 0.02
board, 1625354990, 2021, 7, 3, 23, 29, 50, temp, 18.50
pyran, 1625355000, 2021, 7, 3, 23, 30, 0, bits, 3
pyran, 1625355000, 2021, 7, 3, 23, 30, 0, volt, 0.02
board, 1625355000, 2021, 7, 3, 23, 30, 0, temp, 18.75
pyran, 1625355010, 2021, 7, 3, 23, 30, 10, bits, 3
pyran, 1625355010, 2021, 7, 3, 23, 30, 10, volt, 0.02
board, 1625355010, 2021, 7, 3, 23, 30, 10, temp, 18.50
pyran, 1625355020, 2021, 7, 3, 23, 30, 20, bits, 3
pyran, 1625355020, 2021, 7, 3, 23, 30, 20, volt, 0.02
board, 1625355020, 2021, 7, 3, 23, 30, 20, temp, 18.50
pyran, 1625355030, 2021, 7, 3, 23, 30, 30, bits, 3
pyran, 1625355030, 2021, 7, 3, 23, 30, 30, volt, 0.02
board, 1625355030, 2021, 7, 3, 23, 30, 30, temp, 18.50
pyran, 1625355040, 2021, 7, 3, 23, 30, 40, bits, 4
pyran, 1625355040, 2021, 7, 3, 23, 30, 40, volt, 0.03
board, 1625355040, 2021, 7, 3, 23, 30, 40, temp, 18.50
pyran, 1625355050, 2021, 7, 3, 23, 30, 50, bits, 3
pyran, 1625355050, 2021, 7, 3, 23, 30, 50, volt, 0.02
board, 1625355050, 2021, 7, 3, 23, 30, 50, temp, 18.50
pyran, 1625355060, 2021, 7, 3, 23, 31, 0, bits, 3
pyran, 1625355060, 2021, 7, 3, 23, 31, 0, volt, 0.02
board, 1625355060, 2021, 7, 3, 23, 31, 0, temp, 18.50
pyran, 1625355070, 2021, 7, 3, 23, 31, 10, bits, 3
pyran, 1625355070, 2021, 7, 3, 23, 31, 10, volt, 0.02
board, 1625355070, 2021, 7, 3, 23, 31, 10, temp, 18.50
