"Month","Day","Hour","Half_hour","Minute","fn","volt"
10,3,10,0,32,"plot39",7.82666666666667
10,3,10,0,35,"plot39",4.84666666666667
10,3,10,0,44,"plot39",17.6083333333333
10,3,10,0,33,"plot39",11.5433333333333
10,3,10,0,34,"plot39",10.0266666666667
10,3,10,0,47,"plot39",2.54833333333333
10,3,10,0,48,"plot39",2.49
10,3,10,0,45,"plot39",10.8833333333333
10,3,10,0,46,"plot39",3.45166666666667
10,3,10,0,38,"plot39",1.40833333333333
10,3,10,0,39,"plot39",1.185
10,3,10,0,40,"plot39",1.18
10,3,10,0,41,"plot39",1.13666666666667
10,3,10,0,42,"plot39",3.00666666666667
10,3,10,0,43,"plot39",12.2166666666667
10,3,10,0,30,"plot39",4.13
10,3,10,0,31,"plot39",4.29666666666667
10,3,10,0,58,"plot39",9.12
10,3,10,0,59,"plot39",10.65
10,3,10,0,51,"plot39",5.62833333333333
10,3,10,0,52,"plot39",9.8025
10,3,10,0,36,"plot39",1.06333333333333
10,3,10,0,37,"plot39",1.09166666666667
10,3,10,0,55,"plot39",18.325
10,3,10,0,56,"plot39",13.3783333333333
10,3,10,0,53,"plot39",19.975
10,3,10,0,54,"plot39",21.5666666666667
10,3,10,0,50,"plot39",5.095
10,3,10,0,57,"plot39",7.03
10,3,10,0,49,"plot39",3.04166666666667
10,3,10,30,5,"plot39",9.245
10,3,10,30,0,"plot39",9.015
10,3,10,30,6,"plot39",7.07833333333333
10,3,10,30,8,"plot39",8.90166666666667
10,3,10,30,3,"plot39",8.86333333333333
10,3,10,30,4,"plot39",9.74666666666667
10,3,10,30,1,"plot39",16.1883333333333
10,3,10,30,2,"plot39",12.31
10,3,10,30,20,"plot39",18.67
10,3,10,30,21,"plot39",20.56
10,3,10,30,18,"plot39",18.9333333333333
10,3,10,30,19,"plot39",15.0783333333333
10,3,10,30,11,"plot39",7.44833333333333
10,3,10,30,12,"plot39",8.93666666666667
10,3,10,30,13,"plot39",13.0983333333333
10,3,10,30,14,"plot39",21.6116666666667
10,3,10,30,15,"plot39",24.385
10,3,10,30,16,"plot39",28.0433333333333
10,3,10,30,17,"plot39",26.5733333333333
10,3,10,30,9,"plot39",3.67
10,3,10,30,10,"plot39",1.18333333333333
10,3,10,30,24,"plot39",19.77
10,3,10,30,25,"plot39",9.67
10,3,10,30,26,"plot39",5.835
10,3,10,30,27,"plot39",3.485
10,3,10,30,28,"plot39",3.36833333333333
10,3,10,30,29,"plot39",3.188
10,3,10,30,22,"plot39",19.2833333333333
10,3,10,30,23,"plot39",26.6016666666667
10,3,11,30,16,"plot39",8.31166666666667
10,3,11,30,14,"plot39",13.005
10,3,11,30,28,"plot39",19.3466666666667
10,3,11,30,29,"plot39",14.3433333333333
10,3,11,30,12,"plot39",22.9866666666667
10,3,11,30,13,"plot39",16.5216666666667
10,3,11,30,19,"plot39",9.95166666666667
10,3,11,30,20,"plot39",10.0483333333333
10,3,11,30,21,"plot39",11.5316666666667
10,3,11,30,22,"plot39",11.4966666666667
10,3,11,30,23,"plot39",9.89333333333333
10,3,11,30,24,"plot39",16.33
10,3,11,30,25,"plot39",25.95
10,3,11,30,26,"plot39",28.7233333333333
10,3,11,30,27,"plot39",23.8933333333333
10,3,11,30,0,"plot39",6.88666666666667
10,3,11,30,1,"plot39",5.30333333333333
10,3,11,30,2,"plot39",2.08333333333333
10,3,11,30,3,"plot39",1.85166666666667
10,3,11,30,4,"plot39",1.44333333333333
10,3,11,30,5,"plot39",2.49166666666667
10,3,11,30,6,"plot39",5.20666666666667
10,3,11,30,7,"plot39",10.4
10,3,11,30,8,"plot39",17.2133333333333
10,3,11,30,9,"plot39",22.255
10,3,11,30,10,"plot39",25.7616666666667
10,3,11,30,11,"plot39",27.3333333333333
10,3,11,30,17,"plot39",4.88833333333333
10,3,11,30,18,"plot39",9.06
10,3,12,0,36,"plot39",38.1366666666667
10,3,12,0,37,"plot39",36.1083333333333
10,3,12,0,34,"plot39",38.2866666666667
10,3,12,0,35,"plot39",38.2533333333333
10,3,12,0,30,"plot39",32.8966666666667
10,3,12,0,31,"plot39",35.3933333333333
10,3,12,0,32,"plot39",37.6133333333333
10,3,12,0,33,"plot39",37.6233333333333
10,3,12,0,48,"plot39",32.125
10,3,12,0,49,"plot39",28.6633333333333
10,3,12,0,50,"plot39",29.7833333333333
10,3,12,0,51,"plot39",27.9683333333333
10,3,12,0,38,"plot39",28.655
10,3,12,0,39,"plot39",20.2666666666667
10,3,12,0,40,"plot39",23.9466666666667
10,3,12,0,41,"plot39",14.515
10,3,12,0,42,"plot39",20.8866666666667
10,3,12,0,43,"plot39",27.1016666666667
10,3,12,0,44,"plot39",29.4133333333333
10,3,12,0,45,"plot39",35.0483333333333
10,3,12,0,47,"plot39",35.2783333333333
10,3,12,0,52,"plot39",26.1083333333333
10,3,12,0,53,"plot39",20.35
10,3,12,0,54,"plot39",7.62333333333333
10,3,12,0,55,"plot39",0.37
10,3,12,0,56,"plot39",0.373333333333333
10,3,12,0,57,"plot39",0.371666666666667
10,3,12,0,58,"plot39",0.365
10,3,12,0,59,"plot39",0.583333333333333
10,3,12,30,9,"plot39",22.6983333333333
10,3,12,30,10,"plot39",27.8416666666667
10,3,12,30,7,"plot39",15.4333333333333
