"plot","Month","Day","Hour","Minute","Half_min","volt","east","north"
48,10,4,12,40,0,0.133333333333333,453736.82239183,4431424.71173246
48,10,4,12,39,1,0.13,453736.82239183,4431424.71173246
48,10,4,12,31,0,0.12,453736.82239183,4431424.71173246
48,10,4,12,30,1,0.123333333333333,453736.82239183,4431424.71173246
48,10,4,12,46,0,0.13,453736.82239183,4431424.71173246
48,10,4,12,45,1,0.13,453736.82239183,4431424.71173246
48,10,4,12,48,0,0.123333333333333,453736.82239183,4431424.71173246
48,10,4,12,46,1,0.13,453736.82239183,4431424.71173246
48,10,4,12,30,0,0.126666666666667,453736.82239183,4431424.71173246
48,10,4,12,47,1,0.123333333333333,453736.82239183,4431424.71173246
48,10,4,12,43,1,0.13,453736.82239183,4431424.71173246
48,10,4,12,44,0,0.13,453736.82239183,4431424.71173246
48,10,4,12,47,0,0.13,453736.82239183,4431424.71173246
48,10,4,12,43,0,0.13,453736.82239183,4431424.71173246
48,10,4,12,32,0,0.13,453736.82239183,4431424.71173246
48,10,4,12,32,1,0.13,453736.82239183,4431424.71173246
48,10,4,12,33,0,0.136666666666667,453736.82239183,4431424.71173246
48,10,4,12,33,1,0.173333333333333,453736.82239183,4431424.71173246
48,10,4,12,34,0,0.17,453736.82239183,4431424.71173246
48,10,4,12,34,1,0.153333333333333,453736.82239183,4431424.71173246
48,10,4,12,48,1,0.12,453736.82239183,4431424.71173246
48,10,4,12,49,0,0.12,453736.82239183,4431424.71173246
48,10,4,12,49,1,0.126666666666667,453736.82239183,4431424.71173246
48,10,4,12,50,0,0.133333333333333,453736.82239183,4431424.71173246
48,10,4,12,50,1,0.143333333333333,453736.82239183,4431424.71173246
48,10,4,12,44,1,0.13,453736.82239183,4431424.71173246
48,10,4,12,45,0,0.13,453736.82239183,4431424.71173246
48,10,4,12,38,1,0.15,453736.82239183,4431424.71173246
48,10,4,12,39,0,0.133333333333333,453736.82239183,4431424.71173246
48,10,4,12,53,0,0.12,453736.82239183,4431424.71173246
48,10,4,12,53,1,0.12,453736.82239183,4431424.71173246
48,10,4,12,40,1,0.13,453736.82239183,4431424.71173246
48,10,4,12,41,0,0.13,453736.82239183,4431424.71173246
48,10,4,12,41,1,0.13,453736.82239183,4431424.71173246
48,10,4,12,42,0,0.13,453736.82239183,4431424.71173246
48,10,4,12,42,1,0.13,453736.82239183,4431424.71173246
48,10,4,12,36,0,0.19,453736.82239183,4431424.71173246
48,10,4,12,36,1,0.176666666666667,453736.82239183,4431424.71173246
48,10,4,12,51,0,0.136666666666667,453736.82239183,4431424.71173246
48,10,4,12,31,1,0.13,453736.82239183,4431424.71173246
48,10,4,12,37,1,0.16,453736.82239183,4431424.71173246
48,10,4,12,51,1,0.13,453736.82239183,4431424.71173246
48,10,4,12,59,1,0.12,453736.82239183,4431424.71173246
