"Month","Day","Hour","Minute","Half_min","fn","volt"
8,16,16,19,0,"plot57",0.27
8,16,16,19,1,"plot57",0.25
8,16,16,20,0,"plot57",0.193333333333333
8,16,16,20,1,"plot57",0.17
8,16,16,21,0,"plot57",0.18
8,16,16,21,1,"plot57",0.183333333333333
8,16,16,22,0,"plot57",0.17
8,16,16,22,1,"plot57",0.183333333333333
8,16,16,23,0,"plot57",0.146666666666667
8,16,16,23,1,"plot57",0.186666666666667
8,16,16,24,0,"plot57",0.21
8,16,16,24,1,"plot57",0.233333333333333
8,16,16,25,0,"plot57",0.25
8,16,16,25,1,"plot57",0.25
8,16,16,26,0,"plot57",0.246666666666667
8,16,16,26,1,"plot57",0.236666666666667
8,16,16,27,0,"plot57",0.236666666666667
8,16,16,27,1,"plot57",0.233333333333333
8,16,16,28,0,"plot57",0.233333333333333
8,16,16,28,1,"plot57",0.23
8,16,16,29,0,"plot57",0.23
8,16,16,29,1,"plot57",0.23
8,16,16,30,0,"plot57",0.23
8,16,16,30,1,"plot57",0.23
8,16,16,31,0,"plot57",0.23
8,16,16,31,1,"plot57",0.23
8,16,16,32,1,"plot57",0.23
8,16,16,33,0,"plot57",0.23
8,16,16,33,1,"plot57",0.22
8,16,16,34,0,"plot57",0.223333333333333
8,16,16,34,1,"plot57",0.22
8,16,16,35,0,"plot57",0.22
8,16,16,35,1,"plot57",0.22
8,16,16,36,0,"plot57",0.22
8,16,16,36,1,"plot57",0.22
8,16,16,37,0,"plot57",0.22
8,16,16,37,1,"plot57",0.22
8,16,16,38,0,"plot57",0.22
8,16,16,38,1,"plot57",0.216666666666667
8,16,16,39,0,"plot57",0.213333333333333
8,16,16,39,1,"plot57",0.21
8,16,16,40,0,"plot57",0.21
8,16,16,40,1,"plot57",0.21
8,16,16,41,0,"plot57",0.21
8,16,16,41,1,"plot57",0.21
8,16,16,42,0,"plot57",0.21
8,16,16,42,1,"plot57",0.21
8,16,16,43,0,"plot57",0.21
8,16,16,43,1,"plot57",0.21
8,16,16,44,0,"plot57",0.21
8,16,16,44,1,"plot57",0.2
8,16,16,45,0,"plot57",0.2
8,16,16,46,0,"plot57",0.2
8,16,16,46,1,"plot57",0.2
8,16,16,47,0,"plot57",0.2
8,16,16,47,1,"plot57",0.2
8,16,16,48,0,"plot57",0.2
8,16,16,48,1,"plot57",0.2
8,16,16,49,0,"plot57",0.2
8,16,16,49,1,"plot57",0.2
8,16,16,50,0,"plot57",0.2
8,16,16,50,1,"plot57",0.2
8,16,16,51,0,"plot57",0.2
8,16,16,51,1,"plot57",0.2
8,16,16,52,0,"plot57",0.2
8,16,16,52,1,"plot57",0.2
