"Month","Day","Hour","Half_hour","Minute","Half_min","plot","volt","Half_mint"
10,3,10,0,38,1,"plot6",28.3,30
10,3,10,0,30,1,"plot6",27.3333333333333,30
10,3,10,0,51,0,"plot6",29.67,0
10,3,10,0,51,1,"plot6",29.5666666666667,30
10,3,10,0,43,1,"plot6",28.8266666666667,30
10,3,10,0,59,0,"plot6",30.4733333333333,0
10,3,10,0,35,0,"plot6",27.9333333333333,0
10,3,10,0,35,1,"plot6",27.9333333333333,30
10,3,10,0,43,0,"plot6",28.8766666666667,0
10,3,10,0,30,0,"plot6",27.2433333333333,0
10,3,10,0,37,0,"plot6",28.2766666666667,0
10,3,10,0,31,0,"plot6",27.4133333333333,0
10,3,10,0,31,1,"plot6",27.3933333333333,30
10,3,10,0,45,0,"plot6",29.0033333333333,0
10,3,10,0,45,1,"plot6",28.9266666666667,30
10,3,10,0,38,0,"plot6",28.2466666666667,0
10,3,10,0,47,1,"plot6",29.2166666666667,30
10,3,10,0,59,1,"plot6",30.45,30
10,3,10,0,34,0,"plot6",27.96,0
10,3,10,0,34,1,"plot6",27.8,30
10,3,10,0,53,1,"plot6",29.9133333333333,30
10,3,10,0,36,0,"plot6",28.02,0
10,3,10,0,36,1,"plot6",28.1,30
10,3,10,0,49,1,"plot6",29.2966666666667,30
10,3,10,0,56,1,"plot6",30.1333333333333,30
10,3,10,0,57,0,"plot6",30.1133333333333,0
10,3,10,0,32,0,"plot6",27.5866666666667,0
10,3,10,0,32,1,"plot6",27.45,30
10,3,10,0,40,0,"plot6",28.5766666666667,0
10,3,10,0,40,1,"plot6",28.4066666666667,30
10,3,10,0,48,0,"plot6",29.0433333333333,0
10,3,10,0,42,0,"plot6",28.67,0
10,3,10,0,37,1,"plot6",28.1,30
10,3,10,0,44,0,"plot6",29.0666666666667,0
10,3,10,0,41,1,"plot6",28.5666666666667,30
10,3,10,0,44,1,"plot6",28.9766666666667,30
10,3,10,0,48,1,"plot6",29.2566666666667,30
10,3,10,0,49,0,"plot6",29.3266666666667,0
10,3,10,0,42,1,"plot6",28.76,30
10,3,10,0,57,1,"plot6",30.14,30
10,3,10,0,39,0,"plot6",28.26,0
10,3,10,0,39,1,"plot6",28.3833333333333,30
10,3,10,0,58,0,"plot6",30.3366666666667,0
10,3,10,0,47,0,"plot6",29.2,0
10,3,10,0,46,1,"plot6",29.04,30
10,3,10,0,41,0,"plot6",28.53,0
10,3,10,0,33,1,"plot6",27.66,30
10,3,10,0,55,1,"plot6",30.1366666666667,30
10,3,10,0,56,0,"plot6",30.2066666666667,0
10,3,10,0,58,1,"plot6",30.2566666666667,30
10,3,10,0,52,0,"plot6",29.6466666666667,0
10,3,10,0,33,0,"plot6",27.7733333333333,0
10,3,10,0,50,0,"plot6",29.4066666666667,0
10,3,10,0,50,1,"plot6",29.44,30
10,3,10,0,54,0,"plot6",30.03,0
10,3,10,0,54,1,"plot6",29.76,30
10,3,10,0,46,0,"plot6",29.1133333333333,0
10,3,10,0,53,0,"plot6",29.83,0
10,3,10,0,52,1,"plot6",29.6866666666667,30
10,3,10,0,55,0,"plot6",30.1666666666667,0
10,3,10,30,24,1,"plot6",26.5633333333333,30
10,3,10,30,22,1,"plot6",26.1633333333333,30
10,3,10,30,5,1,"plot6",24.4,30
10,3,10,30,20,1,"plot6",26.1066666666667,30
10,3,10,30,13,1,"plot6",25.2966666666667,30
10,3,10,30,22,0,"plot6",26.36,0
10,3,10,30,24,0,"plot6",26.7533333333333,0
10,3,10,30,26,0,"plot6",26.6966666666667,0
10,3,10,30,25,0,"plot6",26.8366666666667,0
10,3,10,30,23,0,"plot6",26.5333333333333,0
10,3,10,30,28,0,"plot6",27.17,0
10,3,10,30,28,1,"plot6",27.12,30
10,3,10,30,29,0,"plot6",27.3066666666667,0
10,3,10,30,23,1,"plot6",26.4833333333333,30
10,3,10,30,0,1,"plot6",23.9233333333333,30
10,3,10,30,1,1,"plot6",24.0633333333333,30
10,3,10,30,2,0,"plot6",24.0866666666667,0
10,3,10,30,0,0,"plot6",23.7733333333333,0
10,3,10,30,2,1,"plot6",24,30
10,3,10,30,25,1,"plot6",26.8333333333333,30
10,3,10,30,17,1,"plot6",25.86,30
10,3,10,30,26,1,"plot6",26.7366666666667,30
10,3,10,30,19,0,"plot6",26,0
10,3,10,30,27,1,"plot6",26.77,30
