Month,Day,Hour,Half_hour
7,15,11,
7,20,8,
7,20,9,30
7,20,15,0
7,16,8,
7,16,9,0
7,17,8,
7,17,9,
7,18,8,
7,18,9,
7,18,10,
7,19,8,
7,19,9,
7,19,10,
7,19,11,
7,19,12,
7,19,13,
7,19,14,
7,19,16,
7,19,17,0
7,25,10,30
7,25,11,0
7,25,12,30
7,25,13,0
7,26,8,
7,26,9,
7,26,10,
7,26,11,30
7,26,12,0
7,26,15,30
7,26,16,
7,26,17,0
7,27,8,
7,27,9,
7,27,10,
7,27,11,
7,27,12,
7,27,13,
7,27,14,
7,27,15,
7,27,16,
7,27,17,0
7,28,8,
7,28,9,
7,28,10,
7,28,11,0
8,5,13,30
8,5,14,0
8,8,8,
8,8,9,
8,8,10,
8,8,11,
8,8,12,
8,8,13,
8,8,14,
8,8,15,
8,8,16,
8,8,17,0
8,9,10,
8,9,11,0
8,10,8,
8,10,9,
8,10,10,
8,10,11,0
8,11,8,
8,11,9,
8,11,10,
8,11,11,
8,11,12,
8,11,13,
8,11,14,
8,11,15,
8,11,16,
8,11,17,0
8,12,8,
8,12,9,
8,12,10,
8,12,11,
8,12,12,
8,12,13,
8,13,9,0
8,13,10,0
8,14,8,0
8,16,8,
8,16,9,
8,16,10,
8,16,11,0
8,17,8,
8,17,9,
8,17,10,0
8,17,11,
8,17,12,
8,22,15,30
8,22,16,
8,23,14,30
8,23,16,
8,24,12,
8,24,13,
8,24,14,
8,24,15,
8,24,16,
8,25,8,
8,25,9,
8,25,10,
8,25,11,
8,27,10,30
8,27,11,
8,27,15,
8,27,16,
8,28,10,
8,28,11,
8,28,12,
8,29,9,
8,29,10,
8,29,11,0
8,30,8,
8,30,9,
8,30,10,
8,30,11,
8,30,12,0
9,5,8,
9,5,9,
9,5,10,
9,5,11,
9,5,12,
9,5,13,
9,5,14,
9,5,15,
9,5,16,
9,6,8,
9,6,9,
9,6,10,
9,6,11,
9,6,12,
9,6,13,
9,6,14,
9,6,15,
9,7,8,
9,7,9,
9,7,14,
9,7,15,
9,8,9,0
9,9,8,
9,9,9,
9,9,10,
9,9,11,
9,9,12,
9,9,13,
9,9,14,
9,9,15,
9,10,14,
9,10,15,
9,13,12,
9,24,8,30
9,24,9,
9,24,10,0
9,24,11,
9,24,12,30
9,24,13,0
9,25,8,
9,25,9,
9,25,10,
9,25,11,
9,25,12,
9,25,13,
9,25,14,
9,25,15,0
9,26,8,
9,26,9,
9,26,10,
9,26,11,
9,26,12,
9,26,13,
9,26,14,0
9,27,8,
9,27,9,
9,27,10,
10,3,8,
10,3,9,
10,3,10,
10,3,11,30
10,3,12,
10,3,13,
10,4,8,
10,4,9,
10,4,10,
10,4,11,
10,4,12,0
10,4,13,
10,4,14,0
10,5,8,
10,5,9,
10,5,10,
10,5,12,
10,5,13,0
10,7,12,
10,7,13,
